outcome,probability,odds,ev,date,league,home_team,away_team,source_file,stake,actual_result,won,profit
away,0.11641615016709389,17.0,0.9790745528405962,2025-04-12,N1,PSV Eindhoven,Almere City,N1.csv,1.0,home,False,-1.0
home,0.20478711939311056,8.5,0.7406905148414398,2025-04-12,SP1,Leganes,Barcelona,SP1.csv,1.0,away,False,-1.0
away,0.14476842537235488,12.0,0.7372211044682584,2025-04-12,E1,Leeds,Preston,E1.csv,1.0,home,False,-1.0
home,0.29481660514853775,5.5,0.6214913283169576,2025-04-12,P1,Casa Pia,Porto,P1.csv,1.0,away,False,-1.0
home,0.2535037576023671,6.25,0.5843984850147943,2025-04-12,P1,Santa Clara,Sp Lisbon,P1.csv,1.0,away,False,-1.0
away,0.12710366775251258,17.0,1.1607623517927141,2025-04-13,P1,Benfica,Arouca,P1.csv,1.0,draw,False,-1.0
away,0.1350782922175863,15.0,1.0261743832637946,2025-04-13,SP2,Almeria,Cartagena,SP2.csv,1.0,home,False,-1.0
home,0.22194065946368183,7.5,0.6645549459776137,2025-04-13,T1,Sivasspor,Fenerbahce,T1.csv,1.0,away,False,-1.0
home,0.20148017351582942,7.0,0.410361214610806,2025-04-13,N1,Willem II,Ajax,N1.csv,1.0,away,False,-1.0
draw,0.20054210458575916,7.0,0.40379473210031414,2025-04-13,E0,Chelsea,Ipswich,E0.csv,1.0,draw,True,6.0
away,0.10788843391917798,19.0,1.0498802444643816,2025-04-14,SP1,Ath Madrid,Valladolid,SP1.csv,1.15,home,False,-1.15
away,0.14201794405621201,12.0,0.7042153286745441,2025-04-14,T1,Eyupspor,Ad. Demirspor,T1.csv,1.14,home,False,-1.14
away,0.24469915937104425,6.0,0.4681949562262655,2025-04-14,F2,Bastia,Laval,F2.csv,1.14,home,False,-1.14
away,0.14149161619590728,9.5,0.34417035386111916,2025-04-14,I1,Napoli,Empoli,I1.csv,1.14,home,False,-1.14
away,0.23949848552538955,4.2,0.005893639206636214,2025-04-14,SP2,Huesca,Malaga,SP2.csv,0.43,home,False,-0.43
home,0.3689388971603663,3.0,0.10681669148109885,2025-04-15,E3,Salford,Doncaster,E3.csv,1.75,draw,False,-1.75
away,0.23623807310250328,5.0,0.18119036551251644,2025-04-16,E0,Newcastle,Crystal Palace,E0.csv,1.75,home,False,-1.75
home,0.4457114238085147,2.15,-0.041720438811693406,2025-04-17,E3,Bradford,Notts County,E3.csv,1.75,draw,False,-1.75
home,0.21542888735303445,8.0,0.7234310988242756,2025-04-18,E1,Oxford,Leeds,E1.csv,1.0,away,False,-1.0
away,0.13104722786258652,13.0,0.7036139622136248,2025-04-18,P1,Sp Lisbon,Moreirense,P1.csv,1.0,home,False,-1.0
away,0.25082118516878166,5.75,0.4422218147204946,2025-04-18,F2,Caen,Martigues,F2.csv,1.0,away,True,4.75
away,0.22084484370167673,6.0,0.32506906221006027,2025-04-18,P1,Porto,Famalicao,P1.csv,1.0,home,False,-1.0
away,0.18788282108628268,7.0,0.3151797476039788,2025-04-18,E1,Middlesbrough,Plymouth,E1.csv,1.0,home,False,-1.0
home,0.18099463519088285,13.0,1.3529302574814772,2025-04-19,I1,Monza,Napoli,I1.csv,1.0,away,False,-1.0
home,0.2211583143423949,9.5,1.1010039862527519,2025-04-19,T1,Ad. Demirspor,Trabzonspor,T1.csv,1.0,away,False,-1.0
home,0.18875105263890893,9.0,0.6987594737501803,2025-04-19,D1,Heidenheim,Bayern Munich,D1.csv,1.0,away,False,-1.0
away,0.09436617445587808,17.0,0.6042249657499275,2025-04-19,F1,Paris SG,Le Havre,F1.csv,1.0,home,False,-1.0
home,0.2914558067320798,5.25,0.530142985343419,2025-04-19,P1,Guimaraes,Benfica,P1.csv,1.0,away,False,-1.0
home,0.1548402954164976,11.0,0.7032432495814736,2025-04-20,E0,Leicester,Liverpool,E0.csv,1.0,away,False,-1.0
home,0.20678345831875367,8.0,0.6542676665500293,2025-04-20,E0,Ipswich,Arsenal,E0.csv,1.0,away,False,-1.0
away,0.14137329097346446,11.0,0.5551062007081091,2025-04-20,T1,Fenerbahce,Kayserispor,T1.csv,1.0,draw,False,-1.0
away,0.23027584798519035,6.5,0.49679301190373737,2025-04-20,D1,Dortmund,M'gladbach,D1.csv,1.0,home,False,-1.0
away,0.2101979419381981,7.0,0.47138559356738674,2025-04-20,F1,Lille,Auxerre,F1.csv,1.0,home,False,-1.0
home,0.277983098315105,6.0,0.6678985898906298,2025-04-21,E3,Newport County,Walsall,E3.csv,1.0,draw,False,-1.0
away,0.1406896440892726,11.0,0.5475860849819985,2025-04-21,E1,Leeds,Stoke,E1.csv,1.0,home,False,-1.0
home,0.27560973546628165,5.25,0.4469511111979787,2025-04-21,F2,Annecy,Lorient,F2.csv,1.0,draw,False,-1.0
home,0.27669954107562256,4.75,0.3143228201092072,2025-04-21,E1,Plymouth,Coventry,E1.csv,1.0,home,True,3.75
away,0.2049596225630016,6.25,0.28099764101876,2025-04-21,E2,Northampton,Shrewsbury,E2.csv,1.0,home,False,-1.0
away,0.14074183903722154,13.0,0.82964390748388,2025-04-22,SP1,Barcelona,Mallorca,SP1.csv,1.28,home,False,-1.28
home,0.21153891864345248,6.25,0.322118241521578,2025-04-22,F1,Nantes,Paris SG,F1.csv,1.29,draw,False,-1.29
away,0.2754506202866525,4.1,0.1293475431752753,2025-04-22,SP1,Valencia,Espanol,SP1.csv,0.91,draw,False,-0.91
away,0.2593119790448689,4.33,0.12282086926428248,2025-04-22,B1,Mechelen,Westerlo,B1.csv,0.88,away,True,2.93
home,0.34199019607549747,3.1,0.06016960783404213,2025-04-22,B1,Dender,Charleroi,B1.csv,0.64,home,True,1.34
home,0.30061643880776245,7.0,1.1043150716543373,2025-04-23,G1,Lamia,Volos NFC,G1.csv,1.0,away,False,-1.0
away,0.1836329406734149,7.5,0.37724705505061173,2025-04-23,E0,Arsenal,Crystal Palace,E0.csv,1.0,draw,False,-1.0
home,0.2850166517390146,4.75,0.3538290957603192,2025-04-23,SP1,Getafe,Real Madrid,SP1.csv,1.0,away,False,-1.0
home,0.2792461887504918,4.75,0.3264193965648361,2025-04-23,I1,Parma,Juventus,I1.csv,1.0,home,True,3.75
away,0.18206841591598633,7.0,0.2744789114119044,2025-04-23,SP1,Ath Bilbao,Las Palmas,SP1.csv,1.0,home,False,-1.0
away,0.1317668743738816,13.0,0.7129693668604609,2025-04-24,SP1,Betis,Valladolid,SP1.csv,1.09,home,False,-1.09
away,0.19273959892102718,7.0,0.34917719244719025,2025-04-24,N1,AZ Alkmaar,NAC Breda,N1.csv,1.1,draw,False,-1.1
home,0.3095135551456475,4.1,0.2690055760971546,2025-04-24,N1,Twente,PSV Eindhoven,N1.csv,1.1,away,False,-1.1
away,0.19390920310661366,6.5,0.26040982019298875,2025-04-24,SP1,Ath Madrid,Vallecano,SP1.csv,1.1,home,False,-1.1
home,0.3939385008273838,2.75,0.08333087727530541,2025-04-24,SP1,Leganes,Girona,SP1.csv,0.61,draw,False,-0.61
away,0.15558338047181114,12.0,0.8670005656617337,2025-04-25,N1,Feyenoord,Zwolle,N1.csv,1.0,home,False,-1.0
away,0.15821592281648095,10.0,0.5821592281648096,2025-04-25,T1,Besiktas,Hatayspor,T1.csv,1.0,home,False,-1.0
away,0.19785207217457745,7.5,0.48389054130933085,2025-04-25,F2,Guingamp,Martigues,F2.csv,1.0,home,False,-1.0
home,0.3215902310887637,4.1,0.3185199474639311,2025-04-25,B1,Beerschot VA,Kortrijk,B1.csv,1.0,home,True,3.1
away,0.22600893572619196,5.75,0.2995513804256038,2025-04-25,F2,Bastia,Grenoble,F2.csv,1.0,away,True,4.75
home,0.2302106911748007,9.0,1.071896220573206,2025-04-26,SC0,Dundee United,Celtic,SC0.csv,1.0,away,False,-1.0
away,0.16301449759199443,11.0,0.7931594735119387,2025-04-26,D1,Bayern Munich,Mainz,D1.csv,1.0,home,False,-1.0
away,0.13609175439741314,13.0,0.7691928071663707,2025-04-26,E0,Newcastle,Ipswich,E0.csv,1.0,home,False,-1.0
home,0.2503460879238494,6.5,0.627249571505021,2025-04-26,T1,Gaziantep,Fenerbahce,T1.csv,1.0,away,False,-1.0
away,0.12501797443584334,13.0,0.6252336676659633,2025-04-26,F2,Lorient,Caen,F2.csv,1.0,home,False,-1.0
away,0.10539216994982407,21.0,1.2132355689463057,2025-04-27,P1,Benfica,AVS,P1.csv,1.0,home,False,-1.0
home,0.17150413998833133,12.0,1.0580496798599759,2025-04-27,P1,Boavista,Sp Lisbon,P1.csv,1.0,away,False,-1.0
home,0.26057041714379814,6.5,0.6937077114346879,2025-04-27,T1,Eyupspor,Galatasaray,T1.csv,1.0,away,False,-1.0
away,0.1450761842038129,11.0,0.595838026241942,2025-04-27,E0,Liverpool,Tottenham,E0.csv,1.0,home,False,-1.0
away,0.131509699245141,12.0,0.578116390941692,2025-04-27,I1,Juventus,Monza,I1.csv,1.0,home,False,-1.0
away,0.2517122792440241,5.75,0.44734560565313863,2025-04-28,G1,Volos NFC,Panserraikos,G1.csv,1.07,home,False,-1.07
away,0.16298678429461683,8.5,0.38538766650424305,2025-04-28,G1,Levadeiakos,Lamia,G1.csv,1.07,draw,False,-1.07
home,0.2891169138496793,4.5,0.3010261123235569,2025-04-28,I1,Udinese,Bologna,I1.csv,1.07,draw,False,-1.07
home,0.4468814111584243,2.63,0.17529811134665585,2025-04-28,G1,Panetolikos,Athens Kallithea,G1.csv,0.95,away,False,-0.95
away,0.20002812174834653,5.75,0.15016170005299245,2025-04-28,I1,Lazio,Parma,I1.csv,0.84,draw,False,-0.84
away,0.15505085487527337,12.0,0.8606102585032804,2025-04-29,SP2,Almeria,Ferrol,SP2.csv,1.75,home,False,-1.75
away,0.2697327410368628,3.9,0.051957690043764826,2025-04-29,P1,Casa Pia,Estoril,P1.csv,1.75,away,True,5.08
away,0.29522555853840016,3.3,-0.025755656823279516,2025-04-29,E2,Burton,Wigan,E2.csv,1.5,draw,False,-1.5
home,0.3132314370673158,3.6,0.12763317344233704,2025-04-30,E2,Blackpool,Birmingham,E2.csv,1.75,away,False,-1.75
draw,0.27665253414640323,3.6,-0.004050877072948378,2025-04-30,E2,Mansfield,Peterboro,E2.csv,1.75,home,False,-1.75
