month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,3340,10,6,1.3,-0.57,-43.85,3000.0,443.0,100.0,0.0,5.0,7.339,1.167,0.5,{'draw': 10}
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,3779,15,8,3.1,1.29,41.61,3100.0,314.0,1.0,0.0,5.0,7.5307,1.5087,0.4667,"{'away': 5, 'draw': 6, 'home': 4}"
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,2943,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,2963,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2025-01-01..2025-09-30,FROZEN_MODEL_EVALUATED,2926,8,7,1.47,-0.53,-36.05,3100.0,416.0,10.0,0.25,5.0,8.6331,2.388,0.625,"{'away': 6, 'home': 2}"
2025-11,2025-02-01..2025-10-31,FROZEN_MODEL_EVALUATED,2910,6,5,1.95,0.98,50.26,3000.0,441.0,1.0,0.25,5.0,8.4373,15.1689,0.8333,"{'away': 4, 'home': 2}"
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,2888,5,5,0.62,0.12,19.35,3100.0,404.0,10.0,0.25,5.0,8.3254,15.8147,0.8,{'away': 5}
2026-01,2025-04-01..2025-12-31,FROZEN_MODEL_EVALUATED,2854,5,5,0.97,-0.02,-2.06,3100.0,431.0,10.0,0.25,5.0,8.218,5.7813,0.8,{'away': 5}
2026-02,2025-05-01..2026-01-31,FROZEN_MODEL_EVALUATED,2842,1,1,0.1,0.35,350.0,2800.0,391.0,100.0,0.25,5.0,8.2001,4.5603,1.0,{'home': 1}
2026-03,2025-06-01..2026-02-28,FROZEN_MODEL_EVALUATED,2919,1,1,0.11,-0.11,-100.0,3100.0,350.0,10.0,0.25,5.0,8.5462,-9.2174,0.0,{'away': 1}
2026-04,2025-07-01..2026-03-31,FROZEN_MODEL_EVALUATED,3265,8,6,1.2,0.93,77.5,3000.0,332.0,1.0,0.0,5.0,8.7832,5.5228,0.625,"{'away': 5, 'home': 3}"
