candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,rule_contributions,active_rules,passes_window,fail_reasons,band_low,band_high
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_OPEN,2023-08,2024-07,114,1140.0,-2.6,-0.23,197.4,55,2,4,6,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 72, 'profit': -42.7, 'roi_pct': -5.93}]",2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_OPEN,2024-02,2025-01,112,1120.0,103.6,9.25,83.7,53,3,3,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 70, 'profit': 63.5, 'roi_pct': 9.07}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}]",2,False,['positive_month_edge<minimum'],2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_OPEN,2024-08,2025-07,194,1940.0,87.8,4.53,143.1,54,4,2,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 194, 'profit': 87.8, 'roi_pct': 4.53}]",1,False,['drawdown_to_profit>maximum'],2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_OPEN,2025-02,2026-01,262,2620.0,149.7,5.71,143.1,76,5,3,8,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 262, 'profit': 149.7, 'roi_pct': 5.71}]",1,True,[],2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_CLOSE,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_CLOSE,2023-02,2024-01,74,740.0,-118.6,-16.03,217.5,22,0,2,2,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 74, 'profit': -118.6, 'roi_pct': -16.03}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_CLOSE,2023-08,2024-07,80,800.0,-134.6,-16.82,217.5,26,0,3,3,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 6, 'profit': -16.0, 'roi_pct': -26.67}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 74, 'profit': -118.6, 'roi_pct': -16.03}]",2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_CLOSE,2024-02,2025-01,12,120.0,-22.1,-18.42,30.0,9,0,2,2,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -22.1, 'roi_pct': -18.42}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_CLOSE,2024-08,2025-07,133,1330.0,94.1,7.08,138.3,41,3,2,5,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 115, 'profit': 101.3, 'roi_pct': 8.81}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 18, 'profit': -7.2, 'roi_pct': -4.0}]",2,True,[],2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_CLOSE,2025-02,2026-01,278,2780.0,227.3,8.18,165.7,84,6,3,9,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 266, 'profit': 228.4, 'roi_pct': 8.59}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -1.1, 'roi_pct': -0.92}]",2,True,[],2.8,3.5
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_OPEN,2023-02,2024-01,81,810.0,6.1,0.75,205.8,29,1,2,3,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.30)', 'bets': 81, 'profit': 6.1, 'roi_pct': 0.75}]",1,False,"['roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_OPEN,2023-08,2024-07,123,1230.0,46.2,3.76,205.8,62,3,4,7,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.30)', 'bets': 81, 'profit': 6.1, 'roi_pct': 0.75}]",2,False,"['positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_OPEN,2024-02,2025-01,42,420.0,40.1,9.55,20.8,33,2,2,4,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}]",1,False,['positive_month_edge<minimum'],2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_OPEN,2024-08,2025-07,71,710.0,56.7,7.99,95.1,29,2,1,3,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.30)', 'bets': 71, 'profit': 56.7, 'roi_pct': 7.99}]",1,False,['drawdown_to_profit>maximum'],2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_OPEN,2025-02,2026-01,104,1040.0,128.0,12.31,95.1,38,3,1,4,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.30)', 'bets': 104, 'profit': 128.0, 'roi_pct': 12.31}]",1,True,[],2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_CLOSE,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_CLOSE,2023-02,2024-01,53,530.0,-66.9,-12.62,190.6,19,0,2,2,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.30)', 'bets': 53, 'profit': -66.9, 'roi_pct': -12.62}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_CLOSE,2023-08,2024-07,59,590.0,-82.9,-14.05,190.6,23,0,3,3,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 6, 'profit': -16.0, 'roi_pct': -26.67}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.90,3.30)', 'bets': 53, 'profit': -66.9, 'roi_pct': -12.62}]",2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.3
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,AVG_CLOSE,2024-02,2025-01,12,120.0,-22.1,-18.42,30.0,9,0,2,2,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -22.1, 'roi_pct': -18.42}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.9,3.3
