test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,direct_staking_probability,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2022-02,data\historical_csv\football-data\2122\SP2.csv:284,data\historical_csv\football-data\2122\SP2.csv,284,2022-02-06,SP2,Fuenlabrada,Valladolid,home,0.2701310785941815,0.2593515113072516,3.94,4.0,2.184495455057145,0.0087795672869298,5,0.0,WH,3.0-4.0,sportsbook,0.2538071065989847,1.064316449661075,0.0107795672869298,0.032501137346434,1.3711807233098423,0.0729707996224558,0.3703985277352377,0.2,1.522842639593902,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,5.149138238476132,5.149138238476132,0.266875985376843,True,5.864780970414563,5.864780970414563,0.2686923374883618,5.506959604445347,0.7156427319384306,5.149138238476132,0.266875985376843,1.0,1.09,model_agreement_0.625_kelly,draw,-2.235111797802969,False,0.2481342340157285,4.030076720234471,False,-1.09
2022-02,data\historical_csv\football-data\2122\B1.csv:235,data\historical_csv\football-data\2122\B1.csv,235,2022-02-12,B1,Eupen,Gent,away,0.5487808885282728,0.5413274488873124,1.98,2.0,7.182834879687872,0.0054534396409603,5,0.0,WH,1.5-2.0,sportsbook,0.5050505050505051,1.08658615928598,0.0074534396409603,0.0099373716449663,0.6830968447064438,0.3011604636138805,0.3748704933888618,0.2,1.0101010101010166,away:1.5-2.0,away:sportsbook,sportsbook:1.5-2.0,7.320006654306632,7.320006654306632,0.5420202356278113,True,8.329439506014857,8.329439506014857,0.5471183813435094,7.824723080160744,1.0094328517082252,7.320006654306632,0.5420202356278113,1.0,4.67,model_agreement_0.625_kelly,away,22.04882216367352,True,0.6164081927458258,1.6223016043077598,True,4.58
2022-02,data\historical_csv\football-data\2122\I2.csv:216,data\historical_csv\football-data\2122\I2.csv,216,2022-02-12,I2,Vicenza,Cosenza,draw,0.2881650845183673,0.2825315302114359,3.646,3.7,3.0109959150895538,0.0036335543069313,5,0.0,PS,3.0-4.0,sportsbook,0.274273176083379,1.0506498981539674,0.0056335543069314,0.0126092802429705,1.293630676256471,0.0830391159354778,0.3727791931589987,0.2,1.4810751508502529,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,3.234162572348249,3.234162572348249,0.2831436164902585,True,3.57723329546753,3.57723329546753,0.28408456745877,3.4056979339078897,0.3430707231192809,3.234162572348249,0.2831436164902585,1.0,0.76,model_agreement_0.625_kelly,draw,0.0159227478156775,True,0.2743168479095328,3.645419549038383,True,2.01
2022-02,data\historical_csv\football-data\2122\B1.csv:236,data\historical_csv\football-data\2122\B1.csv,236,2022-02-12,B1,Mechelen,Oostende,home,0.5235819655100769,0.5080483258930739,1.931,1.95,-1.8958682700474292,0.0135336396170029,5,0.0,WH,1.5-2.0,sportsbook,0.5178663904712584,1.0110367753999585,0.0155336396170029,0.0258481775700933,0.6580380034463774,0.2741380746073953,0.344536831224781,0.2,0.9839461418953864,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,1.5042477625731587,1.5042477625731587,0.5256563840630407,True,1.4131602360530682,1.4131602360530682,0.5251846723772815,1.4587039993131135,0.09108752652009056,1.4131602360530682,0.5251846723772815,1.0,0.95,model_agreement_0.625_kelly,home,0.5142363785761939,True,0.5205294478434811,1.921120897468786,True,0.88
2022-02,data\historical_csv\football-data\2122\SP2.csv:297,data\historical_csv\football-data\2122\SP2.csv,297,2022-02-13,SP2,Las Palmas,Burgos,home,0.557522243825372,0.5379732735591451,3.205,3.25,72.42043417570602,0.0175489702662268,5,0.0,WH,3.0-4.0,sportsbook,0.31201248049922,1.7868587914603171,0.0195489702662268,0.0314767176746467,1.1647120903726331,0.3108310523600775,0.64935289803509,0.2,1.4040561622464809,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,62.00494056283728,62.00494056283728,0.5054756335813956,True,67.98482511116848,67.98482511116848,0.5241336196916333,64.99488283700288,5.979884548331199,62.00494056283728,0.5054756335813956,1.0,15.0,model_agreement_0.625_kelly,away,95.67995570333196,True,0.6105458836297409,1.63787853920974,False,-15.0
2022-02,data\historical_csv\football-data\2122\B1.csv:240,data\historical_csv\football-data\2122\B1.csv,240,2022-02-13,B1,St. Gilloise,St Truiden,home,0.6812181510308626,0.6642446755720056,1.6076,1.62,6.783974044955632,0.0149734754588569,5,0.0,WH,1.5-2.0,sportsbook,0.6220452848967404,1.0951262995972149,0.0169734754588569,0.0219804411203637,0.4747423835929091,0.4640581692939071,0.323403128767146,0.2,0.771336153271962,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,9.807071202060085,9.807071202060085,0.6830497088956212,True,10.019840178188776,10.019840178188776,0.6843732282793529,9.91345569012443,0.21276897612869128,9.807071202060085,0.6830497088956212,1.0,10.09,model_agreement_0.625_kelly,away,4.335118732199472,True,0.6490116865650626,1.5408043039911443,False,-10.09
2022-02,data\historical_csv\football-data\2122\B1.csv:239,data\historical_csv\football-data\2122\B1.csv,239,2022-02-13,B1,Genk,Standard,home,0.5631690651038209,0.5510857689691911,1.8624,1.88,2.634213612822145,0.0100832961346298,5,0.0,WH,1.5-2.0,sportsbook,0.5369415807560138,1.048846066849356,0.0120832961346297,0.0179045632287543,0.6218659785549815,0.3171593958899117,0.3502156817626817,0.2,0.9450171821305808,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,5.3296082209419255,5.3296082209419255,0.5655584633856419,True,5.476660765591301,5.476660765591301,0.5663480496434241,5.403134493266613,0.14705254464937578,5.3296082209419255,0.5655584633856419,1.0,3.86,model_agreement_0.625_kelly,home,5.818652169932315,True,0.5681843436959425,1.7599921770022209,True,3.33
2022-02,data\historical_csv\football-data\2122\SP2.csv:299,data\historical_csv\football-data\2122\SP2.csv,299,2022-02-18,SP2,Cartagena,Valladolid,away,0.471618301895688,0.4550706829437315,2.4210000000000003,2.45,10.17261234067741,0.0145476189519564,5,0.0,WH,2.0-3.0,sportsbook,0.413052457662123,1.1417879088894607,0.0165476189519565,0.0308461713497584,0.8841806779559216,0.2224238226829722,0.4169957899065499,0.2,1.1978521272201448,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,9.620667734239362,9.620667734239362,0.4527908621819055,True,11.071094721276232,11.071094721276232,0.4587818864984561,10.345881227757797,1.4504269870368702,9.620667734239362,0.4527908621819055,1.0,4.23,model_agreement_0.625_kelly,away,4.103390313713096,True,0.4300016122003845,2.325572676071715,True,6.01
2022-02,data\historical_csv\football-data\2122\SP2.csv:303,data\historical_csv\football-data\2122\SP2.csv,303,2022-02-19,SP2,Sociedad B,Malaga,home,0.4319217041276469,0.4234469909037365,2.764,2.8,17.040748285792784,0.0064747132239103,5,0.0,WH,2.0-3.0,sportsbook,0.361794500723589,1.193831590208816,0.0084747132239103,0.0149904789734689,1.016678905905423,0.1865563584965305,0.439125685589302,0.2,1.302460202604916,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,15.98543081544257,15.98543081544257,0.4196289103308342,True,17.66325354878211,17.66325354878211,0.4256991807119469,16.82434218211234,1.6778227333395392,15.98543081544257,0.4196289103308342,1.0,5.66,model_agreement_0.625_kelly,home,19.841861166643305,True,0.4335812632657138,2.306372725767822,True,9.98
2022-02,data\historical_csv\football-data\2122\SP2.csv:300,data\historical_csv\football-data\2122\SP2.csv,300,2022-02-19,SP2,Zaragoza,Las Palmas,home,0.3794501867216367,0.3713135615228519,2.8326,2.87,5.178279436963051,0.0061366251987847,5,0.0,WH,2.0-3.0,sportsbook,0.3530325496010731,1.0748305989077085,0.0081366251987847,0.0161724131744506,1.041195017798159,0.1439824442030849,0.3950816439171493,0.2,1.3203417355080127,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,6.295188407643908,6.295188407643908,0.3752566137387697,True,6.9510107357587,6.9510107357587,0.3775718800245664,6.623099571701305,0.6558223281147919,6.295188407643908,0.3752566137387697,1.0,2.15,model_agreement_0.625_kelly,home,11.184385336083324,True,0.3925170703102567,2.5476598997581723,True,3.94
