date,league,home_team,away_team,outcome,actual_result,odds_bucket,fav_relation,market_shape,model_delta_bucket,pure_delta_bucket,strength_gap,goal_env,league_draw_rate_bucket,draw_market_prob_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-12-21,SP2,Eibar,Granada,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.363239,0.021079,2.9,1.0,True,1.9,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,I2,Brescia,Modena,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.367155,0.029041,2.9,1.0,True,1.9,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-28,I1,Empoli,Genoa,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.368041,0.031372,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-29,I2,Bari,Spezia,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.357289,0.00043,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-29,E1,Preston,Sheffield Weds,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.352215,-0.008178,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-29,E1,Sheffield United,West Brom,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.318267,-0.014207,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-30,P1,Famalicao,Santa Clara,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,moderate_gap,normal_goal,low_draw_league,mid_draw_prob,0.365707,0.020348,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2025-03-01,I2,Juve Stabia,Cittadella,draw,away,"[2.8,3.5)",market_non_favorite,heavy_favorite,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.321697,-0.008067,3.2,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-07,I2,Cosenza,Reggiana,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.374207,0.033093,2.85,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-08,SP2,Zaragoza,Eldense,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.321091,-0.006754,3.2,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-15,I2,Juve Stabia,Modena,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.363034,0.011791,2.88,1.0,False,-1.0,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-16,I2,Reggiana,Sampdoria,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,high_draw_prob,0.375986,0.01995,2.8,1.0,True,1.8,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.01",2025-03
2025-03-29,SP2,Eldense,Burgos,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.375771,0.051399,2.88,1.0,True,1.88,"DRAW_HEAVY_EU|draw|[2.8,3.5)|ev>=-0.01",2025-03
