test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability_x,closing_fair_odds_x,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability_y,closing_fair_odds_y,won,profit
2025-04,data\historical_csv\football-data\2425\I1.csv:318,data\historical_csv\football-data\2425\I1.csv,318,2025-04-13,I1,Verona,Genoa,draw,0.3306328336043428,0.3266054366884371,3.107,3.15,1.4763091790974237,0.0020273969159056,4,0.0,1XB,3.0-4.0,sportsbook,2.957497117196504,2.957497117196504,0.14,0.331372697512702,True,0.3473035410568966,2.8793256669852845,existing_one_tenth_kelly,draw,7.9072102063777905,True,0.3473035410568966,2.8793256669852845,True,0.29
2025-04,data\historical_csv\football-data\2425\SP1.csv:306,data\historical_csv\football-data\2425\SP1.csv,306,2025-04-13,SP1,Osasuna,Girona,draw,0.3046582765097005,0.3008910664268072,3.3716,3.42,1.4484319564623371,0.0017672100828933,4,0.0,1XB,3.0-4.0,sportsbook,2.8714963527347024,2.8714963527347024,0.12,0.3051118055307115,True,0.3088816638268353,3.237485798317307,existing_one_tenth_kelly,home,4.142541775855801,True,0.3088816638268353,3.237485798317307,False,-0.12
2025-04,data\historical_csv\football-data\2425\SP1.csv:311,data\historical_csv\football-data\2425\SP1.csv,311,2025-04-18,SP1,Espanol,Getafe,draw,0.3520139881138036,0.3481233408819592,2.9208,2.96,1.6798654048026274,0.0018906472318444,4,0.0,1XB,2.0-3.0,sportsbook,3.732004173758965,3.732004173758965,0.19,0.3551492884612399,True,0.3612768961701826,2.767960006855631,existing_one_tenth_kelly,home,5.521755833386943,True,0.3612768961701826,2.767960006855631,False,-0.19
2025-04,data\historical_csv\football-data\2425\F1.csv:269,data\historical_csv\football-data\2425\F1.csv,269,2025-04-20,F1,Reims,Toulouse,draw,0.2911977074084623,0.2868672355607224,3.5382,3.59,1.4993652860948004,0.0023304718477399,4,0.0,1XB,3.0-4.0,sportsbook,3.1192593428577746,3.1192593428577746,0.12,0.291445535421564,True,0.2716257576426134,3.68153598052999,existing_one_tenth_kelly,home,-3.8933744308905394,False,0.2716257576426134,3.68153598052999,False,-0.12
2025-04,data\historical_csv\football-data\2425\SP1.csv:316,data\historical_csv\football-data\2425\SP1.csv,316,2025-04-20,SP1,Valladolid,Osasuna,draw,0.2801570660586736,0.2658386925956044,3.695,3.75,-1.7726030859241848,0.0123183734630692,4,0.0,1XB,3.0-4.0,sportsbook,2.8580202619769555,2.8580202619769555,0.11,0.2783708261487874,True,0.269714129999405,3.7076292591797326,existing_one_tenth_kelly,away,-0.3406289652198691,False,0.269714129999405,3.7076292591797326,False,-0.11
2025-04,data\historical_csv\football-data\2425\SP1.csv:318,data\historical_csv\football-data\2425\SP1.csv,318,2025-04-20,SP1,Sevilla,Alaves,draw,0.3162626093522685,0.309806902351751,3.2442,3.29,0.5075552609550948,0.0044557070005174,4,0.0,1XB,3.0-4.0,sportsbook,2.718473826354442,2.718473826354442,0.12,0.3166218908401283,True,0.3207884681782984,3.117319041045412,existing_one_tenth_kelly,draw,4.070194846403585,True,0.3207884681782984,3.117319041045412,True,0.27
2025-04,data\historical_csv\football-data\2425\B1.csv:283,data\historical_csv\football-data\2425\B1.csv,283,2025-04-27,B1,Gent,Anderlecht,draw,0.3057195969867792,0.2872760903506611,3.4794,3.53,-0.0451571233909708,0.0164435066361181,4,0.0,1XB,3.0-4.0,sportsbook,5.874728463905867,5.874728463905867,0.24,0.3042901892967347,True,0.2851175721719709,3.5073250392187054,existing_one_tenth_kelly,away,-0.7961919384844474,False,0.2851175721719709,3.5073250392187054,False,-0.24
2025-04,data\historical_csv\football-data\2425\I1.csv:332,data\historical_csv\football-data\2425\I1.csv,332,2025-04-27,I1,Como,Genoa,draw,0.2772667776235947,0.270349670153821,3.7342,3.79,0.953973828839838,0.0049171074697737,4,0.0,1XB,3.0-4.0,sportsbook,3.387227370273761,3.387227370273761,0.12,0.2768658008951684,True,0.2659317178387601,3.760363781075264,existing_one_tenth_kelly,home,-0.6957779246502094,False,0.2659317178387601,3.760363781075264,False,-0.12
2025-04,data\historical_csv\football-data\2425\I1.csv:341,data\historical_csv\football-data\2425\I1.csv,341,2025-04-28,I1,Verona,Cagliari,draw,0.3485998444925297,0.3414857625270284,2.9208,2.96,-0.2588384811055499,0.0051140819655012,4,0.0,1XB,2.0-3.0,sportsbook,2.7264196119712816,2.7264196119712816,0.14,0.351706448959091,True,0.3464518617946518,2.886403885434213,existing_one_tenth_kelly,away,1.1916597929819028,True,0.3464518617946518,2.886403885434213,False,-0.14
2025-05,data\historical_csv\football-data\2425\I2.csv:349,data\historical_csv\football-data\2425\I2.csv,349,2025-05-01,I2,Spezia,Salernitana,draw,0.3047452385779514,0.2873519205770747,3.45,3.5,-0.8635874009092048,0.0153933180008766,4,0.0,B365,3.0-4.0,sportsbook,4.18985762121081,2.3696155321432046,0.1,0.2967235232815745,True,0.2840748226305683,3.5201993289650773,existing_one_tenth_kelly,home,-1.9941861924539284,False,0.2840748226305683,3.5201993289650773,False,-0.1
