odds_source,max_rules,allowed_outcomes,max_odds,min_market_probability,candidate_filters,decision,decision_reasons,bets,total_staked,profit,roi_pct,max_drawdown,positive_months,negative_months,positive_years,negative_years
MAX_CLOSE,1,all,3.5,0.2,odds<=3.5;market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,207,2070.0,-163.3,-7.89,228.0,8,9,2,4
MAX_CLOSE,1,all,3.5,0.28,odds<=3.5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,207,2070.0,-163.3,-7.89,228.0,8,9,2,4
AVG_CLOSE,1,all,3.5,0.2,odds<=3.5;market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,131,1310.0,-165.4,-12.63,181.5,5,14,1,5
MAX_CLOSE,2,all,5.0,0.28,odds<=5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,233,2330.0,-184.5,-7.92,263.2,8,11,1,5
MAX_CLOSE,2,all,,0.28,market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,233,2330.0,-184.5,-7.92,263.2,8,11,1,5
AVG_CLOSE,1,all,5.0,0.2,odds<=5;market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,180,1800.0,-215.3,-11.96,351.4,5,14,0,6
AVG_CLOSE,1,all,,0.2,market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,180,1800.0,-215.3,-11.96,351.4,5,14,0,6
MAX_CLOSE,2,all,3.5,0.2,odds<=3.5;market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,247,2470.0,-297.3,-12.04,362.0,8,11,1,5
MAX_CLOSE,2,all,3.5,0.28,odds<=3.5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,247,2470.0,-297.3,-12.04,362.0,8,11,1,5
MAX_CLOSE,1,all,5.0,0.2,odds<=5;market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,224,2240.0,-320.0,-14.29,325.0,7,11,1,5
MAX_CLOSE,1,all,,0.2,market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,232,2320.0,-353.4,-15.23,358.4,6,11,1,5
MAX_CLOSE,2,all,,0.2,market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,258,2580.0,-460.2,-17.84,465.2,5,13,0,6
MAX_CLOSE,2,all,5.0,0.2,odds<=5;market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,280,2769.95,-472.04,-17.04,477.04,6,13,0,6
