test_month,date,league,match,outcome,probability,conservative_probability,odds,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,stake,actual_outcome,profit,won,source_file,source_row
2025-10,2025-10-19,D2,Darmstadt v Magdeburg,away,0.24051483502637558,0.22450827714627458,4.7,0.03408512453574075,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.011006557880101004,0.37,draw,-0.37,False,data\historical_csv\football-data\2526\D2.csv,80
2025-10,2025-10-19,T1,Gaziantep v Antalyaspor,away,0.2405111522911209,0.2277342085992281,4.6,0.026625812365320245,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB', 'PS']",0.007776943691892812,0.33,home,-0.33,False,data\historical_csv\football-data\2526\T1.csv,78
2025-10,2025-10-19,SP1,Celta v Sociedad,away,0.27643810473219926,0.2673125115354306,3.9,0.02166841908841577,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004125593196768617,0.37,draw,-0.37,False,data\historical_csv\football-data\2526\SP1.csv,88
2025-10,2025-10-19,I1,Atalanta v Lazio,away,0.20510086829382457,0.1987621977386284,5.2,0.012892159676050285,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.0013386705551961425,0.2,draw,-0.2,False,data\historical_csv\football-data\2526\I1.csv,69
2025-10,2025-10-20,B1,Standard v Antwerp,away,0.2555302070719659,0.24074740038825782,4.4,0.03810279047416776,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.009782806683708066,0.44,home,-0.44,False,data\historical_csv\football-data\2526\B1.csv,89
2025-10,2025-10-24,B1,Charleroi v Anderlecht,home,0.35787007973018364,0.34461233893046544,3.13,0.05706388843530963,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.008257740799718175,0.92,home,1.96,True,data\historical_csv\football-data\2526\B1.csv,90
2025-10,2025-10-24,SP2,Huesca v Las Palmas,home,0.32319428685601914,0.31432456180317503,3.33,0.025766774988481345,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0038697250528441176,0.5,draw,-0.5,False,data\historical_csv\football-data\2526\SP2.csv,111
2025-10,2025-10-24,T1,Karagumruk v Kayserispor,away,0.2992674596942841,0.28933059271958783,3.6,0.02075833111470593,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004936866974696274,0.4,draw,-0.4,False,data\historical_csv\football-data\2526\T1.csv,83
2025-10,2025-10-25,T1,Kocaelispor v Alanyaspor,away,0.32169394615266306,0.3070436026550287,3.45,0.03811442057665215,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.009650343497634346,0.61,home,-0.61,False,data\historical_csv\football-data\2526\T1.csv,84
2025-10,2025-10-25,F2,Annecy v St Etienne,home,0.27113676132105435,0.25471439556229947,4.11,0.025938642445829663,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.01142236575875488,0.38,home,1.18,True,data\historical_csv\football-data\2526\F2.csv,99
2025-10,2025-10-26,SP2,Malaga v Andorra,away,0.3006769352956935,0.29112970211070516,3.71,0.05848937093410189,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0045472331849883176,0.74,home,-0.74,False,data\historical_csv\football-data\2526\SP2.csv,118
2025-10,2025-10-26,SP2,Almeria v Castellon,away,0.2682081161683699,0.257297829288861,4.15,0.04643027171779779,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005910286879508872,0.54,home,-0.54,False,data\historical_csv\football-data\2526\SP2.csv,119
2025-10,2025-10-26,B1,Cercle Brugge v Waregem,away,0.23695068698475075,0.2248776260830548,4.7,0.03578634573855055,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.007073060901695927,0.38,draw,-0.38,False,data\historical_csv\football-data\2526\B1.csv,95
2025-10,2025-10-26,P1,Famalicao v Guimaraes,away,0.23500273536610783,0.22480558127878647,4.7,0.035454507370090704,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005197154087321366,0.38,home,-0.38,False,data\historical_csv\football-data\2526\P1.csv,79
2025-10,2025-10-26,E0,Wolves v Burnley,away,0.2330429934673496,0.22241903135579802,4.7,0.024462058424805866,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005623962111551595,0.31,away,1.15,True,data\historical_csv\football-data\2526\E0.csv,90
2025-10,2025-10-26,I1,Lazio v Juventus,home,0.29524253470767514,0.28675117624128926,3.6,0.01165814977926849,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.0034913584663858765,0.31,home,0.81,True,data\historical_csv\football-data\2526\I1.csv,81
2025-10,2025-10-27,T1,Samsunspor v Rizespor,away,0.24361228438114552,0.236091889228562,4.7,0.08743924178675666,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.002520395152583516,0.74,draw,-0.74,False,data\historical_csv\football-data\2526\T1.csv,91
2025-10,2025-10-28,I2,Empoli v Sampdoria,away,0.2987605772504019,0.28930678665341814,3.6,0.020674343313259014,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.004453790596983766,0.4,draw,-0.4,False,data\historical_csv\football-data\2526\I2.csv,93
2025-10,2025-10-31,F2,Guingamp v Laval,away,0.2391304347826087,0.22223892862392947,4.9,0.06719133525210941,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.011891506158679246,0.57,home,-0.57,False,data\historical_csv\football-data\2526\F2.csv,111
2025-10,2025-10-31,T1,Buyuksehyr v Kocaelispor,away,0.22111544769312239,0.21228341116845953,5.1,0.06099248901996046,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0038320365246628445,0.5,home,-0.5,False,data\historical_csv\football-data\2526\T1.csv,92
2025-11,2025-11-01,D2,Nurnberg v Braunschweig,away,0.22446689779675905,0.21357126291144335,4.9,0.025569204500751175,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005895634885315692,0.3,home,-0.3,False,data\historical_csv\football-data\2526\D2.csv,96
2025-11,2025-11-01,D2,Hertha v Dresden,away,0.26751539980115147,0.2552222065646775,4.1,0.025482825976874013,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.007293193236473988,0.37,home,-0.37,False,data\historical_csv\football-data\2526\D2.csv,94
2025-11,2025-11-01,B1,Waregem v St. Gilloise,home,0.21262425986870595,0.20394765436332324,5.1,0.01933037650788938,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.003676605505382699,0.24,away,-0.24,False,data\historical_csv\football-data\2526\B1.csv,99
2025-11,2025-11-02,B1,St Truiden v Antwerp,away,0.277940908734857,0.2668996094017852,4.1,0.07240263057637297,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB']",0.006041299333071819,0.76,home,-0.76,False,data\historical_csv\football-data\2526\B1.csv,104
2025-11,2025-11-02,T1,Konyaspor v Samsunspor,away,0.3231109129525245,0.3142889092478377,3.35,0.031810489060651204,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB']",0.0038220037046867565,0.56,away,1.32,True,data\historical_csv\football-data\2526\T1.csv,95
2025-11,2025-11-02,P1,AVS v Tondela,home,0.3038710457384687,0.29120637878116046,3.55,0.013106991779657129,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB', 'PS']",0.007664666957308229,0.33,draw,-0.33,False,data\historical_csv\football-data\2526\P1.csv,88
2025-11,2025-11-02,I1,Milan v Roma,home,0.450421235118143,0.44424790720447116,2.32,0.010042041820085501,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.001173327913671883,0.58,home,0.77,True,data\historical_csv\football-data\2526\I1.csv,99
2025-11,2025-11-03,T1,Rizespor v Karagumruk,away,0.2057316166823758,0.19917553305882407,5.2,0.014998516467767509,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0015560836235517111,0.21,home,-0.21,False,data\historical_csv\football-data\2526\T1.csv,100
2025-11,2025-11-04,E1,Oxford v Stoke,home,0.31947960204862547,0.3078868085121752,3.35,0.010792392345471136,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.006592793536450241,0.33,away,-0.33,False,data\historical_csv\football-data\2526\E1.csv,163
2025-11,2025-11-05,SP2,Sociedad B v Huesca,away,0.37394986885485526,0.3617781455667003,2.91,0.03171891552711581,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.00717172328815498,0.69,home,-0.69,False,data\historical_csv\football-data\2526\SP2.csv,133
2025-11,2025-11-08,B1,Cercle Brugge v Oud-Heverlee Leuven,away,0.2777651820408236,0.2716541114915779,4.0,0.06488411704698538,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.001111070549245704,0.72,away,2.16,True,data\historical_csv\football-data\2526\B1.csv,107
2025-11,2025-11-08,B1,Antwerp v RAAL La Louviere,away,0.2796610169491525,0.2716487044340094,4.0,0.06486292138131677,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0030123125151431027,0.72,home,-0.72,False,data\historical_csv\football-data\2526\B1.csv,109
2025-11,2025-11-08,D2,Hannover v Darmstadt,away,0.2853043251844767,0.2717705301769943,3.95,0.05202372231514518,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.00853379500748234,0.62,away,1.83,True,data\historical_csv\football-data\2526\D2.csv,104
2025-11,2025-11-08,D1,Hamburg v Dortmund,home,0.21630505645635517,0.20702196806384432,5.1,0.034695796383093835,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.0042830883925108545,0.34,draw,-0.34,False,data\historical_csv\football-data\2526\D1.csv,84
2025-11,2025-11-08,B1,Charleroi v Westerlo,away,0.29270593663802896,0.2841555410548818,3.7,0.030347991865001367,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0035503955831471716,0.48,home,-0.48,False,data\historical_csv\football-data\2526\B1.csv,108
2025-11,2025-11-08,F1,Le Havre v Nantes,away,0.22295001969525885,0.2138537690524949,4.9,0.02692579899008063,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.00409625064276395,0.31,draw,-0.31,False,data\historical_csv\football-data\2526\F1.csv,103
2025-11,2025-11-08,SP2,Eibar v Albacete,away,0.24103447983685694,0.22610307582020656,4.6,0.019272665797491095,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.009931404016650394,0.28,home,-0.28,False,data\historical_csv\football-data\2526\SP2.csv,136
2025-11,2025-11-08,I2,Mantova v Padova,away,0.29831564801396165,0.2799277652988933,3.7,0.015018076973787098,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.013387882715068345,0.33,home,-0.33,False,data\historical_csv\football-data\2526\I2.csv,114
2025-11,2025-11-09,B1,St Truiden v Standard,away,0.27454526786235295,0.26509349079537836,4.0,0.03916648391788313,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.004451777066974606,0.5,home,-0.5,False,data\historical_csv\football-data\2526\B1.csv,111
2025-11,2025-11-09,T1,Samsunspor v Eyupspor,away,0.2129125402400751,0.20661058573056953,5.1,0.03263970748138645,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0013019545095055694,0.33,home,-0.33,False,data\historical_csv\football-data\2526\T1.csv,109
2025-11,2025-11-09,P1,AVS v Gil Vicente,home,0.20091858805182594,0.18629346533620503,5.6,0.02237853776509291,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.009625122715620922,0.24,draw,-0.24,False,data\historical_csv\football-data\2526\P1.csv,96
2025-11,2025-11-22,E1,Bristol City v Swansea,away,0.28614341124896564,0.2771450594625245,3.8,0.032088201438441155,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.003998351786441127,0.47,home,-0.47,False,data\historical_csv\football-data\2526\E1.csv,182
