test_month,date,league,match,outcome,probability,conservative_probability,odds,raw_odds,execution_cost_rate,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,stake,actual_outcome,profit,won,source_file,source_row
2026-03,2026-03-01,B1,Westerlo v St. Gilloise,home,0.21199661264742165,0.20204072078883012,5.018,5.1,0.0,0.013840336918349516,BMGM,"['B365', 'BFD', 'BFE', 'BV', 'BW', 'CL', 'LB']",0.004955891858591517,0.09,draw,-0.09,False,data\historical_csv\football-data\2526\B1.csv,215
2026-03,2026-03-07,E2,Blackpool v Wigan,away,0.34170178598295375,0.33552653626644474,3.058,3.1,0.0,0.026040147902787858,BMGM,"['B365', 'BFD', 'BFE', 'BV', 'BW']",0.001175249716509009,0.32,draw,-0.32,False,data\historical_csv\football-data\2526\E2.csv,411
2026-03,2026-03-07,I2,Modena v Cesena,away,0.21260947044799602,0.19556667235590633,5.22576,5.4,0.02,0.021984493730601073,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.012042798092089696,0.13,draw,-0.13,False,data\historical_csv\football-data\2526\I2.csv,286
2026-03,2026-03-07,I2,Avellino v Padova,away,0.2648297952755176,0.2565573043611504,3.97724,4.1,0.02,0.020389973197341815,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.0032724909143672,0.17,home,-0.17,False,data\historical_csv\football-data\2526\I2.csv,282
2026-03,2026-03-07,E1,Hull v Millwall,home,0.31078504189552547,0.2937744488072999,3.4490199999999995,3.55,0.02,0.013233949425353497,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.012010593088225562,0.14,away,-0.14,False,data\historical_csv\football-data\2526\E1.csv,423
2026-03,2026-03-07,T1,Buyuksehyr v Goztep,away,0.2354550714578097,0.22247028487424664,4.5534799999999995,4.7,0.02,0.01301399276918458,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.007984786583563053,0.09,home,-0.09,False,data\historical_csv\football-data\2526\T1.csv,218
2026-03,2026-03-08,T1,Konyaspor v Kasimpasa,away,0.25734124442500017,0.2496988345019886,4.3614,4.5,0.02,0.08903649679697301,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.0026424099230115752,0.66,draw,-0.66,False,data\historical_csv\football-data\2526\T1.csv,222
2026-03,2026-03-08,B1,Gent v Mechelen,away,0.2695269982574083,0.2621249448773181,4.0732800000000005,4.2,0.02,0.06770829546988222,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0024020533800901936,0.55,home,-0.55,False,data\historical_csv\football-data\2526\B1.csv,223
2026-03,2026-03-08,B1,Waregem v Standard,away,0.2633501406726146,0.2476652077749471,4.16932,4.3,0.02,0.032595504080242366,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.01068493289766749,0.26,away,0.82,True,data\historical_csv\football-data\2526\B1.csv,224
2026-03,2026-03-08,T1,Gaziantep v Karagumruk,away,0.25307748565511373,0.2473430983356478,4.16932,4.3,0.02,0.031252526752783005,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.0007343873194659355,0.25,draw,-0.25,False,data\historical_csv\football-data\2526\T1.csv,220
2026-03,2026-03-08,I1,Milan v Inter,home,0.2831858407079646,0.27357584239942134,3.73714,3.85,0.02,0.02239122366457358,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0046099983085432705,0.2,home,0.55,True,data\historical_csv\football-data\2526\I1.csv,280
2026-03,2026-03-08,E1,QPR v Middlesbrough,home,0.2658504591167468,0.2550885076979725,3.97724,4.1,0.02,0.01454821635668413,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005761951418774334,0.12,away,-0.12,False,data\historical_csv\football-data\2526\E1.csv,430
2026-03,2026-03-08,B1,St Truiden v Cercle Brugge,away,0.26159103773239983,0.2548988286253046,3.97724,4.1,0.02,0.013793817161706468,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.001692209107095213,0.12,home,-0.12,False,data\historical_csv\football-data\2526\B1.csv,225
2026-03,2026-03-09,P1,Tondela v Rio Ave,away,0.2706393745293617,0.2604264241534999,4.0732800000000005,4.2,0.02,0.06078974497596823,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005212950375861788,0.49,away,1.51,True,data\historical_csv\football-data\2526\P1.csv,226
2026-03,2026-03-10,E1,Stoke v Ipswich,home,0.20341374949595292,0.19709249851874666,5.12972,5.3,0.02,0.011029331501585027,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.0013212509772062531,0.07,draw,-0.07,False,data\historical_csv\football-data\2526\E1.csv,436
2026-03,2026-03-14,T1,Goztep v Alanyaspor,away,0.2671120694222485,0.2596950618106812,3.97724,4.1,0.02,0.032869587635913744,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.0024170076115673485,0.28,draw,-0.28,False,data\historical_csv\football-data\2526\T1.csv,231
2026-03,2026-03-14,T1,Kocaelispor v Konyaspor,away,0.2860219225650136,0.2780140129412088,3.6411,3.75,0.02,0.01227682252023543,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.0030079096238047743,0.12,away,0.32,True,data\historical_csv\football-data\2526\T1.csv,229
2026-03,2026-03-15,T1,Samsunspor v Kayserispor,away,0.243697832668504,0.23356339492248043,4.45744,4.6,0.02,0.04109481906326118,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0051344377460235706,0.3,home,-0.3,False,data\historical_csv\football-data\2526\T1.csv,235
2026-03,2026-03-15,B1,Cercle Brugge v RAAL La Louviere,away,0.2459242989415485,0.23537524405234544,4.3614,4.5,0.02,0.026565589409899282,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.005549054889203052,0.2,away,0.67,True,data\historical_csv\football-data\2526\B1.csv,233
2026-03,2026-03-15,T1,Kasimpasa v Eyupspor,away,0.2290570114744954,0.2186177675471164,4.649520000000001,4.8,0.02,0.016467682565668884,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.005439243927378987,0.11,home,-0.11,False,data\historical_csv\football-data\2526\T1.csv,233
2026-03,2026-03-15,I1,Como v Roma,home,0.4504923328984877,0.44470375299129117,2.274,2.3,0.0,0.01125633430219608,LB,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL']",0.0007885799071965764,0.22,home,0.28,True,data\historical_csv\football-data\2526\I1.csv,289
2026-03,2026-03-18,I2,Pescara v Virtus Entella,away,0.293414775922646,0.28134276072310116,3.59308,3.7,0.02,0.010887046698960345,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.007072015199544839,0.1,home,-0.1,False,data\historical_csv\football-data\2526\I2.csv,310
2026-03,2026-03-19,T1,Konyaspor v Genclerbirligi,away,0.22184300341296928,0.20070827113357168,5.3218,5.5,0.02,0.06812927731864171,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.016134732279397598,0.39,home,-0.39,False,data\historical_csv\football-data\2526\T1.csv,242
2026-03,2026-03-19,T1,Kayserispor v Karagumruk,away,0.2544720119041691,0.24411863762680136,4.3614,4.5,0.02,0.06469902614553136,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.00535337427736775,0.48,home,-0.48,False,data\historical_csv\football-data\2526\T1.csv,240
2026-03,2026-03-21,SC0,Falkirk v St Mirren,away,0.23685947778075817,0.22559107382935403,4.5534799999999995,4.7,0.02,0.027224442860486864,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.006268403951404135,0.19,away,0.68,True,data\historical_csv\football-data\2526\SC0.csv,182
2026-03,2026-03-21,P1,Famalicao v Nacional,away,0.20052159046484772,0.19291403658687048,5.3218,5.5,0.02,0.026649919908007247,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.0026075538779772403,0.15,home,-0.15,False,data\historical_csv\football-data\2526\P1.csv,235
2026-03,2026-03-22,B1,St Truiden v St. Gilloise,home,0.27939359251991425,0.27088492252015967,3.78516,3.9,0.02,0.025342773326407553,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW']",0.0035086699997545893,0.23,away,-0.23,False,data\historical_csv\football-data\2526\B1.csv,239
