month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2019-12,ABSTAIN,no_positive_feature_edge,1881.0,30.0,"{'passed': True, 'reason': None, 'fit_rows': 1419, 'validation_rows': 462, 'market': {'matches': 154, 'log_loss': 1.017991, 'brier': 0.609455}, 'model': {'matches': 154, 'log_loss': 1.016897, 'brier': 0.609026}, 'log_loss_improvement': 0.001094, 'brier_improvement': 0.000429}",0.0,0.0
2020-01,ABSTAIN,no_candidates,,,,,
2020-02,ABSTAIN,no_candidates,,,,,
2020-03,ABSTAIN,no_candidates,,,,,
2020-04,ABSTAIN,no_candidates,,,,,
2020-05,ABSTAIN,no_candidates,,,,,
2020-06,ABSTAIN,insufficient_prior_validation_rows,1452.0,96.0,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 1422, 'validation_rows': 30}",,
2020-07,ABSTAIN,insufficient_prior_validation_rows,1545.0,168.0,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 1449, 'validation_rows': 96}",,
2020-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1713.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 264, 'market': {'matches': 88, 'log_loss': 0.964618, 'brier': 0.57219}, 'model': {'matches': 88, 'log_loss': 0.964206, 'brier': 0.573282}, 'log_loss_improvement': 0.000412, 'brier_improvement': -0.001092}",,
2020-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1836.0,69.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 387, 'market': {'matches': 129, 'log_loss': 0.968139, 'brier': 0.574862}, 'model': {'matches': 129, 'log_loss': 0.973864, 'brier': 0.578753}, 'log_loss_improvement': -0.005725, 'brier_improvement': -0.003891}",,
2020-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1869.0,75.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1413, 'validation_rows': 456, 'market': {'matches': 152, 'log_loss': 0.963465, 'brier': 0.570485}, 'model': {'matches': 152, 'log_loss': 0.969648, 'brier': 0.574287}, 'log_loss_improvement': -0.006183, 'brier_improvement': -0.003802}",,
