month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2022-12,2021-12-01..2022-11-30,FROZEN_MODEL_EVALUATED,5242,1,1,0.11,-0.11,-100.0,3100.0,259.0,10.0,0.0,ridge,5.0,8.4102,,,0.0,9.3001,1.0,{'away': 1}
2023-01,2022-01-01..2022-12-31,FROZEN_MODEL_EVALUATED,4994,4,4,0.55,0.47,85.45,3100.0,500.0,100.0,0.0,ridge,5.0,8.3572,,,0.0,1.8075,0.5,"{'away': 3, 'home': 1}"
2023-02,2022-02-01..2023-01-31,FROZEN_MODEL_EVALUATED,5043,8,7,1.08,0.01,0.93,2800.0,560.0,100.0,0.0,ridge,5.0,8.3695,,,0.0,3.5124,0.5,"{'draw': 2, 'away': 2, 'home': 4}"
2023-03,2022-03-01..2023-02-28,FROZEN_MODEL_EVALUATED,4958,7,5,1.89,-0.65,-34.39,3100.0,437.0,100.0,0.0,ridge,5.0,8.1767,,,0.0,-2.113,0.4286,"{'away': 5, 'draw': 1, 'home': 1}"
2023-04,2022-04-01..2023-03-31,ABSTAIN_INNER_VALIDATION,4906,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2023-05,2022-05-01..2023-04-30,FROZEN_MODEL_EVALUATED,4885,3,3,1.31,0.26,19.85,3100.0,431.0,1.0,0.25,ridge,5.0,8.2282,,,0.0,2.5907,0.6667,"{'draw': 1, 'home': 2}"
2023-08,2022-08-01..2023-07-31,ABSTAIN_INNER_VALIDATION,4963,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2023-09,2022-09-01..2023-08-31,FROZEN_MODEL_EVALUATED,4782,2,2,0.24,-0.24,-100.0,3000.0,536.0,10.0,0.0,ridge,5.0,9.1214,,,0.0,8.5889,1.0,"{'draw': 1, 'home': 1}"
2023-10,2022-10-01..2023-09-30,FROZEN_MODEL_EVALUATED,4895,1,1,0.5,0.32,64.0,3100.0,484.0,10.0,0.0,ridge,5.0,9.0223,,,0.0,4.707,1.0,{'home': 1}
2023-11,2022-11-01..2023-10-31,FROZEN_MODEL_EVALUATED,4647,0,0,0.0,0.0,0.0,3000.0,371.0,100.0,0.0,ridge,5.0,8.7485,,,0.0,,,{}
2023-12,2022-12-01..2023-11-30,FROZEN_MODEL_EVALUATED,4678,2,2,0.48,-0.48,-100.0,3100.0,575.0,10.0,0.0,ridge,5.0,8.0245,,,0.0,-1.9086,0.5,"{'home': 1, 'draw': 1}"
