month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity
2025-01,2024-04-01..2024-12-31,ABSTAIN_INNER_VALIDATION,12018,0,0,0.0,0.0,0.0,3100.0
2025-02,2024-05-01..2025-01-31,ABSTAIN_INNER_VALIDATION,11778,0,0,0.0,0.0,0.0,2800.0
2025-03,2024-06-01..2025-02-28,ABSTAIN_INNER_VALIDATION,12598,0,0,0.0,0.0,0.0,3100.0
2025-04,2024-07-01..2025-03-31,ABSTAIN_INNER_VALIDATION,14539,0,0,0.0,0.0,0.0,3000.0
2025-05,2024-08-01..2025-04-30,ABSTAIN_INNER_VALIDATION,16581,0,0,0.0,0.0,0.0,3100.0
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,13003,0,0,0.0,0.0,0.0,3100.0
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,12979,0,0,0.0,0.0,0.0,3000.0
2025-10,2025-01-01..2025-09-30,ABSTAIN_INNER_VALIDATION,12588,0,0,0.0,0.0,0.0,3100.0
2025-11,2025-02-01..2025-10-31,ABSTAIN_INNER_VALIDATION,12502,0,0,0.0,0.0,0.0,3000.0
2025-12,2025-03-01..2025-11-30,ABSTAIN_INNER_VALIDATION,12415,0,0,0.0,0.0,0.0,3100.0
2026-01,2025-04-01..2025-12-31,ABSTAIN_INNER_VALIDATION,12282,0,0,0.0,0.0,0.0,3100.0
2026-02,2025-05-01..2026-01-31,ABSTAIN_INNER_VALIDATION,12237,0,0,0.0,0.0,0.0,2800.0
2026-03,2025-06-01..2026-02-28,ABSTAIN_INNER_VALIDATION,12912,0,0,0.0,0.0,0.0,3100.0
2026-04,2025-07-01..2026-03-31,ABSTAIN_INNER_VALIDATION,14762,0,0,0.0,0.0,0.0,3000.0
2026-05,2025-08-01..2026-04-30,ABSTAIN_INNER_VALIDATION,16788,0,0,0.0,0.0,0.0,3100.0
