month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,3889,1,1,0.13,-0.13,-100.0,3000.0,524.0,100.0,0.0,5.0,0.0203,-0.8005,0.0,{'draw': 1}
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,4407,1,1,0.12,0.42,350.0,3100.0,353.0,10.0,0.0,5.0,0.0214,16.1735,1.0,{'away': 1}
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,3409,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,3435,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2025-01-01..2025-09-30,FROZEN_MODEL_EVALUATED,3372,35,14,9.29,-2.87,-30.89,3100.0,482.0,1.0,0.0,5.0,0.0238,2.3022,0.6,"{'away': 25, 'draw': 5, 'home': 5}"
2025-11,2025-02-01..2025-10-31,FROZEN_MODEL_EVALUATED,3355,3,3,1.62,-1.62,-100.0,3000.0,525.0,10.0,0.25,5.0,0.0232,19.4585,1.0,"{'away': 1, 'home': 2}"
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,3361,9,8,1.37,0.62,45.26,3100.0,480.0,100.0,0.0,5.0,0.0217,3.0112,0.6667,"{'away': 7, 'home': 2}"
2026-01,2025-04-01..2025-12-31,FROZEN_MODEL_EVALUATED,3342,3,1,3.45,4.02,116.52,3100.0,541.0,100.0,0.25,5.0,0.0214,7.508,1.0,"{'away': 2, 'home': 1}"
2026-02,2025-05-01..2026-01-31,FROZEN_MODEL_EVALUATED,3359,0,0,0.0,0.0,0.0,2800.0,527.0,10.0,0.25,5.0,0.0215,,,{}
2026-03,2025-06-01..2026-02-28,FROZEN_MODEL_EVALUATED,3533,1,1,0.39,-0.39,-100.0,3100.0,471.0,100.0,0.25,5.0,0.0208,7.986,1.0,{'away': 1}
2026-04,2025-07-01..2026-03-31,FROZEN_MODEL_EVALUATED,3997,4,4,1.59,1.6,100.63,3000.0,429.0,100.0,0.0,5.0,0.0211,7.1446,0.75,"{'away': 2, 'home': 2}"
