test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,predicted_closing_edge_pct,lower_closing_edge_pct,predicted_closing_probability,stake,estimated_probability_from_lower_clv,staking_probability_profile,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2025-01,data\historical_csv\football-data\2425\I1.csv:197,data\historical_csv\football-data\2425\I1.csv,197,2025-01-14,I1,Como,Milan,draw,0.2709822019154258,0.2668293475000473,3.7734,3.83,0.6853859856678524,0.002152854415378533,6,0.0,1XB,3.0-4.0,sportsbook,0.26501298563629616,1.0225242407076678,0.0041528544153785485,0.007944634002385306,1.3279764517953756,0.07343135375493261,0.35985798299934524,0.16666666666666666,1.4999734987014346,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,2.9677685644542207,2.9677685644542207,0.27287795771573176,0.11,0.2731323565833303,validation_platt,True,0.26869696545794874,3.7216646577890016,1.3901129459023887,True,away,False,-0.11
2025-01,data\historical_csv\football-data\2425\E0.csv:201,data\historical_csv\football-data\2425\E0.csv,201,2025-01-14,E0,Brentford,Man City,draw,0.21783271808167945,0.2115057345315789,4.6652000000000005,4.74,-1.3283447263278014,0.004326983550100567,6,0.0,1XB,4.0-5.0,sportsbook,0.21435308239732484,1.0162331963946512,0.006326983550100557,0.01986379084007988,1.5401307058347578,0.04745109306685244,0.3354908578530408,0.16666666666666666,1.6033610563319867,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,2.234811526061864,2.234811526061864,0.21914346978920915,0.1,0.22241297585879455,validation_platt,True,0.21464180028561705,4.658924769869297,0.1346926692460837,True,draw,True,0.37
2025-01,data\historical_csv\football-data\2425\F1.csv:156,data\historical_csv\football-data\2425\F1.csv,156,2025-01-17,F1,Lille,Nice,draw,0.27949449662330195,0.27595831374460034,3.6754,3.73,1.4257186336904093,0.0015361828787015847,6,0.0,1XB,3.0-4.0,sportsbook,0.27207922947162216,1.0272540728892838,0.0035361828787016103,0.005496290257092348,1.301661970279187,0.07811717364271294,0.3638073571568768,0.16666666666666666,1.4855525929150515,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,3.3253152836028255,3.3253152836028255,0.2811267216727508,0.12,0.2808781311142065,validation_platt,True,0.27975572019967315,3.5745471059046046,2.8214174021878646,True,home,False,-0.12
2025-01,data\historical_csv\football-data\2425\T1.csv:175,data\historical_csv\football-data\2425\T1.csv,175,2025-01-18,T1,Gaziantep,Bodrumspor,draw,0.28703453593299133,0.27834467351842074,3.6557999999999997,3.71,1.7572457448642442,0.006689862414570579,6,0.0,1XB,3.0-4.0,sportsbook,0.2735379397122381,1.0493408564638296,0.008689862414570593,0.023306820528845133,1.2963149475003666,0.08238882481826769,0.37208715937876774,0.16666666666666666,1.4825756332403461,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,5.3382227542049465,5.3382227542049465,0.28814000425134023,0.19,0.2874572093079693,validation_platt,True,0.293643180756494,3.4054936928001003,7.350074020959063,True,draw,True,0.5
2025-01,data\historical_csv\football-data\2425\F1.csv:157,data\historical_csv\football-data\2425\F1.csv,157,2025-01-18,F1,Lens,Paris SG,draw,0.2363409161776228,0.22758428528251495,4.381,4.45,-0.29532461773019714,0.006756630895107828,6,0.0,1XB,4.0-5.0,sportsbook,0.2282583884957772,1.0354095537741654,0.008756630895107836,0.028588494131206038,1.4772770088317615,0.05585702865967812,0.34914100171543666,0.16666666666666666,1.5749828806208566,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,3.8095608636111056,3.8095608636111056,0.23695403073182175,0.14,0.23928200474494563,validation_platt,True,0.2481741479110778,4.029428562230041,8.725094199843198,True,away,False,-0.14
2025-01,data\historical_csv\football-data\2425\SP2.csv:250,data\historical_csv\football-data\2425\SP2.csv,250,2025-01-19,SP2,Castellon,Cordoba,away,0.2420263991330209,0.23351349299864288,4.4398,4.6,3.675320621537459,0.006512906134378034,6,0.025,BFE,4.0-5.0,exchange,0.22523537096265597,1.0745488068707862,0.008512906134378023,0.02690989973700536,1.4906093303845298,0.05857677787729634,0.36076680874705125,0.16666666666666666,3.6082706428217426,away:4.0-5.0,away:exchange,exchange:4.0-5.0,4.410306480924175,4.410306480924175,0.2351689411255556,0.16,0.23759417824508505,validation_platt,True,0.23722451527372412,4.2154159271698335,5.32294029122804,True,away,True,0.55
2025-01,data\historical_csv\football-data\2425\SP1.csv:199,data\historical_csv\football-data\2425\SP1.csv,199,2025-01-19,SP1,Osasuna,Vallecano,draw,0.3121141013640858,0.30281876925311974,3.2931999999999997,3.34,-0.2757229095626146,0.007295332110966039,6,0.0,1XB,3.0-4.0,sportsbook,0.30365601846228596,1.0278541586122072,0.00929533211096606,0.023373926647600983,1.1918597364421337,0.09741521227031082,0.3719962305916727,0.16666666666666666,1.4211101664034942,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,3.288782930446632,3.288782930446632,0.3136426057647475,0.11,0.31133766413804387,validation_platt,True,0.3104351934889767,3.2212842518305167,2.2325179197898004,True,draw,True,0.25
2025-01,data\historical_csv\football-data\2425\F2.csv:176,data\historical_csv\football-data\2425\F2.csv,176,2025-01-24,F2,Martigues,Amiens,home,0.2482422038676143,0.23591198698083032,4.204599999999999,4.27,-0.8084459540401046,0.010330216886783978,6,0.0,PS,4.0-5.0,sportsbook,0.23783475241402277,1.043759170381771,0.012330216886783985,0.04161345945950836,1.4361791640488881,0.061624191781050185,0.35652028083224396,0.16666666666666666,1.5554392807877182,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,3.1991943408912427,3.1991943408912427,0.24544354835392487,0.12,0.24730081537206833,validation_platt,True,0.24788807598930246,4.034078670420414,4.227020430462103,True,home,True,0.38
2025-01,data\historical_csv\football-data\2425\F1.csv:165,data\historical_csv\football-data\2425\F1.csv,165,2025-01-25,F1,Monaco,Rennes,away,0.2064972499921974,0.20127952704758725,4.92,5.0,-0.9704726925870766,0.003217722944610146,6,0.0,BF,4.0-5.0,sportsbook,0.2032520325203252,1.015966469961611,0.005217722944610148,0.01558240095077164,1.5933085305042167,0.04264111425434007,0.3290138299382299,0.16666666666666666,1.6260162601626105,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,2.4848938530359854,2.4848938530359854,0.20830262978259348,0.11,0.2121111031259111,validation_platt,True,0.1863478911060613,5.366307040367001,-8.316837575817848,False,home,False,-0.11
2025-01,data\historical_csv\football-data\2425\SP1.csv:204,data\historical_csv\football-data\2425\SP1.csv,204,2025-01-25,SP1,Ath Madrid,Villarreal,away,0.2052269255201021,0.19923095730498494,4.92,5.0,-1.9783690059474113,0.003995968215117167,6,0.0,BF,4.0-5.0,sportsbook,0.2032520325203252,1.0097164735589024,0.0059959682151171645,0.01947097441035221,1.5933085305042167,0.04211809095843354,0.3269898111203322,0.16666666666666666,1.6260162601626105,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,1.8990557163924837,1.8990557163924837,0.20711190186258635,0.1,0.21097785642862618,validation_platt,True,0.2454616640583704,4.073955922348027,20.767138716718225,True,draw,False,-0.1
