date,bets,staked,settled_bets,settled_profit,equity,cooldown_active,skipped_reason
2024-02-16,1,10.0,0,0.0,235.9,False,
2024-02-17,6,60.0,1,22.1,258.0,False,
2024-02-18,0,0.0,6,3.6,261.6,False,
2024-02-19,0,0.0,0,0.0,261.6,False,
2024-02-20,0,0.0,0,0.0,261.6,False,
2024-02-21,0,0.0,0,0.0,261.6,False,
2024-02-22,0,0.0,0,0.0,261.6,False,
2024-02-23,1,10.0,0,0.0,261.6,False,
2024-02-24,5,50.0,1,-10.0,251.6,False,
2024-02-25,1,10.0,5,12.2,263.8,False,
2024-02-26,0,0.0,1,22.4,286.2,False,
2024-02-27,3,30.0,0,0.0,286.2,False,
2024-02-28,1,10.0,3,-0.8,285.4,False,
2024-02-29,0,0.0,1,21.1,306.5,False,
2024-03-01,0,0.0,0,0.0,306.5,False,
2024-03-02,2,20.0,0,0.0,306.5,False,
2024-03-03,7,70.0,2,-20.0,286.5,False,
2024-03-04,0,0.0,7,-9.4,277.1,False,
2024-03-05,0,0.0,0,0.0,277.1,False,
2024-03-06,0,0.0,0,0.0,277.1,False,
2024-03-07,0,0.0,0,0.0,277.1,False,
2024-03-08,0,0.0,0,0.0,277.1,False,
2024-03-09,3,30.0,0,0.0,277.1,False,
2024-03-10,0,0.0,3,-0.2,276.9,False,
2024-03-11,1,10.0,0,0.0,276.9,False,
2024-03-12,0,0.0,1,-10.0,266.9,False,
2024-03-13,0,0.0,0,0.0,266.9,False,
2024-03-14,0,0.0,0,0.0,266.9,False,
2024-03-15,1,10.0,0,0.0,266.9,False,
2024-03-16,7,70.0,1,-10.0,256.9,False,
2024-03-17,1,10.0,7,19.5,276.4,False,
2024-03-18,0,0.0,1,-10.0,266.4,False,
2024-03-19,0,0.0,0,0.0,266.4,False,
2024-03-20,0,0.0,0,0.0,266.4,False,
2024-03-21,0,0.0,0,0.0,266.4,False,
2024-03-22,0,0.0,0,0.0,266.4,False,
2024-03-23,0,0.0,0,0.0,266.4,False,
2024-03-24,0,0.0,0,0.0,266.4,False,
2024-03-25,0,0.0,0,0.0,266.4,False,
2024-03-26,0,0.0,0,0.0,266.4,False,
2024-03-27,0,0.0,0,0.0,266.4,False,
2024-03-28,0,0.0,0,0.0,266.4,False,
2024-03-29,0,0.0,0,0.0,266.4,False,
2024-03-30,0,0.0,0,0.0,266.4,False,
2024-03-31,0,0.0,0,0.0,266.4,False,
2024-04-01,0,0.0,0,0.0,266.4,False,
2024-04-02,0,0.0,0,0.0,266.4,False,
2024-04-03,0,0.0,0,0.0,266.4,False,
2024-04-04,0,0.0,0,0.0,266.4,False,
2024-04-05,0,0.0,0,0.0,266.4,False,
2024-04-06,0,0.0,0,0.0,266.4,False,
2024-04-07,0,0.0,0,0.0,266.4,False,
2024-04-08,0,0.0,0,0.0,266.4,False,
2024-04-09,0,0.0,0,0.0,266.4,False,
2024-04-10,0,0.0,0,0.0,266.4,False,
2024-04-11,0,0.0,0,0.0,266.4,False,
2024-04-12,0,0.0,0,0.0,266.4,False,
2024-04-13,0,0.0,0,0.0,266.4,False,
2024-04-14,0,0.0,0,0.0,266.4,False,
2024-04-15,0,0.0,0,0.0,266.4,False,
2024-04-16,0,0.0,0,0.0,266.4,False,
2024-04-17,0,0.0,0,0.0,266.4,False,
2024-04-18,0,0.0,0,0.0,266.4,False,
2024-04-19,0,0.0,0,0.0,266.4,False,
2024-04-20,0,0.0,0,0.0,266.4,False,
2024-04-21,0,0.0,0,0.0,266.4,False,
2024-04-22,0,0.0,0,0.0,266.4,False,
2024-04-23,0,0.0,0,0.0,266.4,False,
2024-04-24,0,0.0,0,0.0,266.4,False,
2024-04-25,0,0.0,0,0.0,266.4,False,
2024-04-26,0,0.0,0,0.0,266.4,False,
2024-04-27,0,0.0,0,0.0,266.4,False,
2024-04-28,0,0.0,0,0.0,266.4,False,
2024-04-29,0,0.0,0,0.0,266.4,False,
2024-04-30,0,0.0,0,0.0,266.4,False,
2024-05-01,0,0.0,0,0.0,266.4,False,
2024-05-02,0,0.0,0,0.0,266.4,False,
2024-05-03,0,0.0,0,0.0,266.4,False,
2024-05-04,0,0.0,0,0.0,266.4,False,
2024-05-05,0,0.0,0,0.0,266.4,False,
2024-05-06,0,0.0,0,0.0,266.4,False,
2024-05-07,0,0.0,0,0.0,266.4,False,
2024-05-08,0,0.0,0,0.0,266.4,False,
2024-05-09,0,0.0,0,0.0,266.4,False,
2024-05-10,0,0.0,0,0.0,266.4,False,
2024-05-11,0,0.0,0,0.0,266.4,False,
2024-05-12,0,0.0,0,0.0,266.4,False,
2024-05-13,0,0.0,0,0.0,266.4,False,
2024-05-14,0,0.0,0,0.0,266.4,False,
2024-05-15,0,0.0,0,0.0,266.4,False,
2024-05-16,0,0.0,0,0.0,266.4,False,
2024-05-17,0,0.0,0,0.0,266.4,False,
2024-05-18,0,0.0,0,0.0,266.4,False,
2024-05-19,0,0.0,0,0.0,266.4,False,
2024-05-20,0,0.0,0,0.0,266.4,False,
2024-05-21,0,0.0,0,0.0,266.4,False,
2024-05-22,0,0.0,0,0.0,266.4,False,
2024-05-23,0,0.0,0,0.0,266.4,False,
2024-05-24,0,0.0,0,0.0,266.4,False,
2024-05-25,0,0.0,0,0.0,266.4,False,
2024-05-26,0,0.0,0,0.0,266.4,False,
2024-05-27,0,0.0,0,0.0,266.4,False,
2024-05-28,0,0.0,0,0.0,266.4,False,
2024-05-29,0,0.0,0,0.0,266.4,False,
2024-05-30,0,0.0,0,0.0,266.4,False,
2024-05-31,0,0.0,0,0.0,266.4,False,
2024-06-01,0,0.0,0,0.0,266.4,False,
2024-06-02,0,0.0,0,0.0,266.4,False,
