month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2022-10,2022-01-01..2022-09-30,ABSTAIN_INNER_VALIDATION,13110,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2022-11,2022-02-01..2022-10-31,FROZEN_MODEL_EVALUATED,14060,3,3,0.34,-0.34,-100.0,3000.0,1252.0,100.0,0.0,ridge,5.0,0.1115,,,0.0,,0.0,2.4687,0.6667,"{'draw': 1, 'home': 2}"
2022-12,2022-03-01..2022-11-30,FROZEN_MODEL_EVALUATED,13025,1,1,0.1,-0.1,-100.0,3100.0,1022.0,10.0,0.0,ridge,5.0,0.1083,,,0.0,,0.0,9.3001,1.0,{'away': 1}
2023-01,2022-04-01..2022-12-31,FROZEN_MODEL_EVALUATED,12243,2,2,0.24,0.27,112.5,3100.0,1884.0,10.0,0.0,ridge,5.0,0.1075,,,0.0,,0.0,8.3715,1.0,"{'home': 1, 'away': 1}"
2023-02,2022-05-01..2023-01-31,FROZEN_MODEL_EVALUATED,11712,0,0,0.0,0.0,0.0,2800.0,2095.0,10.0,0.0,ridge,5.0,0.106,,,0.0,,0.0,,,{}
2023-03,2022-06-01..2023-02-28,FROZEN_MODEL_EVALUATED,12643,3,2,0.59,-0.15,-25.42,3100.0,1650.0,1.0,0.0,ridge,5.0,0.1027,,,0.0,,0.0,-8.5572,0.3333,"{'away': 2, 'home': 1}"
2023-04,2022-07-01..2023-03-31,ABSTAIN_INNER_VALIDATION,14293,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-05,2022-08-01..2023-04-30,FROZEN_MODEL_EVALUATED,16532,4,4,1.09,0.18,16.51,3100.0,1541.0,100.0,0.0,ridge,5.0,0.1041,,,0.0,,0.0,-4.2506,0.5,"{'draw': 1, 'home': 2, 'away': 1}"
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,12123,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,12327,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-10,2023-01-01..2023-09-30,ABSTAIN_INNER_VALIDATION,13304,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-11,2023-02-01..2023-10-31,ABSTAIN_INNER_VALIDATION,13302,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-12,2023-03-01..2023-11-30,ABSTAIN_INNER_VALIDATION,12753,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,13261,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-02,2023-05-01..2024-01-31,ABSTAIN_INNER_VALIDATION,12335,0,0,0.0,0.0,0.0,2900.0,,,,,,,,,,,,,,
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,12790,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,14327,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-05,2023-08-01..2024-04-30,ABSTAIN_INNER_VALIDATION,16345,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,12207,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,12173,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-10,2024-01-01..2024-09-30,ABSTAIN_INNER_VALIDATION,11707,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-11,2024-02-01..2024-10-31,FROZEN_MODEL_EVALUATED,11948,1,1,0.15,0.29,193.33,3000.0,1694.0,100.0,0.25,ridge,5.0,0.1267,,,0.0,,0.0,3.4052,1.0,{'draw': 1}
2024-12,2024-03-01..2024-11-30,FROZEN_MODEL_EVALUATED,11646,3,2,0.45,0.88,195.56,3100.0,2022.0,100.0,0.0,ridge,5.0,0.1153,,,0.0,,0.0,5.9011,0.6667,"{'draw': 1, 'home': 1, 'away': 1}"
2025-01,2024-04-01..2024-12-31,FROZEN_MODEL_EVALUATED,11986,5,4,0.58,0.8,137.93,3100.0,1828.0,100.0,0.0,ridge,5.0,0.1151,,,0.0,,0.0,3.4047,0.8,"{'draw': 4, 'away': 1}"
2025-02,2024-05-01..2025-01-31,FROZEN_MODEL_EVALUATED,11748,15,10,2.38,1.72,72.27,2800.0,1964.0,100.0,0.0,ridge,5.0,0.1127,,,0.0,,0.0,4.5427,0.8667,"{'away': 1, 'draw': 12, 'home': 2}"
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,12570,10,8,1.32,-0.51,-38.64,3100.0,1973.0,10.0,0.0,ridge,5.0,0.1114,,,0.0,,0.0,5.098,0.8,"{'draw': 8, 'away': 1, 'home': 1}"
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,14507,10,6,1.25,-0.29,-23.2,3000.0,2055.0,100.0,0.0,ridge,5.0,0.1075,,,0.0,,0.0,0.8734,0.4,"{'home': 1, 'draw': 9}"
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,16541,11,6,2.41,0.99,41.08,3100.0,1382.0,100.0,0.0,ridge,5.0,0.1111,,,0.0,,0.0,4.4261,0.5455,"{'draw': 4, 'away': 3, 'home': 4}"
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,12968,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,12951,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2025-10,2025-01-01..2025-09-30,FROZEN_MODEL_EVALUATED,12557,12,9,1.77,-0.91,-51.41,3100.0,1739.0,100.0,0.0,ridge,5.0,0.1182,,,0.0,,0.0,4.8803,0.6667,"{'away': 11, 'home': 1}"
2025-11,2025-02-01..2025-10-31,FROZEN_MODEL_EVALUATED,12468,9,6,1.32,0.92,69.7,3000.0,1867.0,100.0,0.0,ridge,5.0,0.1112,,,0.0,,0.0,5.7903,0.7778,"{'away': 8, 'home': 1}"
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,12371,4,4,0.47,0.11,23.4,3100.0,1838.0,10.0,0.0,ridge,5.0,0.1007,,,0.0,,0.0,8.7748,0.75,{'away': 4}
2026-01,2025-04-01..2025-12-31,FROZEN_MODEL_EVALUATED,12236,7,6,1.25,0.51,40.8,3100.0,2004.0,1.0,0.0,ridge,5.0,0.0979,,,0.0,,0.0,5.286,0.8571,{'away': 7}
2026-02,2025-05-01..2026-01-31,FROZEN_MODEL_EVALUATED,12185,3,3,0.3,0.57,190.0,2800.0,2056.0,1.0,0.0,ridge,5.0,0.1,,,0.0,,0.0,15.055,1.0,"{'away': 2, 'home': 1}"
2026-03,2025-06-01..2026-02-28,FROZEN_MODEL_EVALUATED,12859,7,5,0.96,0.19,19.79,3100.0,1870.0,100.0,0.0,ridge,5.0,0.0997,,,0.0,,0.0,6.1424,0.7143,{'away': 7}
2026-04,2025-07-01..2026-03-31,FROZEN_MODEL_EVALUATED,14703,7,5,0.89,0.24,26.97,3000.0,2071.0,1.0,0.0,ridge,5.0,0.1006,,,0.0,,0.0,1.7048,0.5714,"{'away': 5, 'home': 2}"
2026-05,2025-08-01..2026-04-30,FROZEN_MODEL_EVALUATED,16732,3,2,0.43,0.43,100.0,3100.0,1343.0,10.0,0.0,ridge,5.0,0.1041,,,0.0,,0.0,5.5509,0.3333,"{'home': 1, 'away': 2}"
