date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2025-10-02,0,0.0,0.0,991.9,56.7,NORMAL,1.0,100.0,,
2025-10-03,0,0.0,0.0,991.9,56.7,NORMAL,1.0,100.0,,
2025-10-04,6,60.0,-15.9,976.0,72.6,NORMAL,1.0,100.0,,
2025-10-05,1,10.0,9.0,985.0,63.6,NORMAL,1.0,100.0,,
2025-10-06,0,0.0,0.0,985.0,63.6,NORMAL,1.0,100.0,,
2025-10-10,0,0.0,0.0,985.0,63.6,NORMAL,1.0,100.0,,
2025-10-11,2,20.0,3.0,988.0,60.6,NORMAL,1.0,100.0,,
2025-10-12,0,0.0,0.0,988.0,60.6,NORMAL,1.0,100.0,,
2025-10-13,0,0.0,0.0,988.0,60.6,NORMAL,1.0,100.0,,
2025-10-16,0,0.0,0.0,988.0,60.6,NORMAL,1.0,100.0,,
2025-10-17,1,10.0,8.4,996.4,52.2,NORMAL,1.0,100.0,,
2025-10-18,6,60.0,-18.5,977.9,70.7,NORMAL,1.0,100.0,,
2025-10-19,0,0.0,0.0,977.9,70.7,NORMAL,1.0,100.0,,
2025-10-20,1,10.0,10.5,988.4,60.2,NORMAL,1.0,100.0,,
2025-10-21,1,10.0,9.1,997.5,51.1,NORMAL,1.0,100.0,,
2025-10-22,2,20.0,3.7,1001.2,47.4,NORMAL,1.0,100.0,,
2025-10-23,0,0.0,0.0,1001.2,47.4,NORMAL,1.0,100.0,,
2025-10-24,1,10.0,12.3,1013.5,35.1,NORMAL,1.0,100.0,,
2025-10-25,5,50.0,-2.4,1011.1,37.5,NORMAL,1.0,100.0,,
2025-10-26,2,20.0,3.8,1014.9,33.7,NORMAL,1.0,100.0,,
2025-10-27,0,0.0,0.0,1014.9,33.7,NORMAL,1.0,100.0,,
2025-10-28,1,10.0,-10.0,1004.9,43.7,NORMAL,1.0,100.0,,
2025-10-29,0,0.0,0.0,1004.9,43.7,NORMAL,1.0,100.0,,
2025-10-30,0,0.0,0.0,1004.9,43.7,NORMAL,1.0,100.0,,
2025-10-31,3,30.0,11.2,1016.1,32.5,NORMAL,1.0,100.0,,
2025-11-01,2,20.0,-2.3,1013.8,34.8,NORMAL,1.0,100.0,,
2025-11-02,2,20.0,4.3,1018.1,30.5,NORMAL,1.0,100.0,,
2025-11-03,1,10.0,13.8,1031.9,16.7,NORMAL,1.0,100.0,,
2025-11-04,1,10.0,-10.0,1021.9,26.7,NORMAL,1.0,100.0,,
2025-11-05,0,0.0,0.0,1021.9,26.7,NORMAL,1.0,100.0,,
2025-11-06,0,0.0,0.0,1021.9,26.7,NORMAL,1.0,100.0,,
2025-11-07,3,30.0,14.2,1036.1,12.5,NORMAL,1.0,100.0,,
2025-11-08,8,80.0,-31.8,1004.3,44.3,NORMAL,1.0,100.0,,
2025-11-09,5,50.0,47.5,1051.8,0.0,NORMAL,1.0,100.0,,
2025-11-10,0,0.0,0.0,1051.8,0.0,NORMAL,1.0,100.0,,
2025-11-14,0,0.0,0.0,1051.8,0.0,NORMAL,1.0,100.0,,
2025-11-15,4,40.0,27.8,1079.6,0.0,NORMAL,1.0,100.0,,
2025-11-16,0,0.0,0.0,1079.6,0.0,NORMAL,1.0,100.0,,
2025-11-17,0,0.0,0.0,1079.6,0.0,NORMAL,1.0,100.0,,
2025-11-20,0,0.0,0.0,1079.6,0.0,NORMAL,1.0,100.0,,
2025-11-21,1,10.0,12.3,1091.9,0.0,NORMAL,1.0,100.0,,
2025-11-22,6,60.0,27.7,1119.6,0.0,NORMAL,1.0,100.0,,
2025-11-23,2,20.0,-20.0,1099.6,20.0,NORMAL,1.0,100.0,,
