month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev,probability_validation
2019-05,ABSTAIN,selected_tail_did_not_show_prior_edge,6801.0,447.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5994, 'validation_rows': 807, 'market': {'matches': 269, 'log_loss': 0.979889, 'brier': 0.583072}, 'model': {'matches': 269, 'log_loss': 0.978257, 'brier': 0.581885}, 'log_loss_improvement': 0.001632, 'brier_improvement': 0.001187, 'selected_tail': {'bets': 22, 'profit_units': 2.18, 'hit_rate': 0.318182, 'average_market_probability': 0.299262, 'edge_vs_market_probability': 0.01892, 'passed': False}}"
2019-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,7080.0,279.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 6123, 'validation_rows': 957, 'market': {'matches': 319, 'log_loss': 0.999085, 'brier': 0.596179}, 'model': {'matches': 319, 'log_loss': 0.999179, 'brier': 0.596152}, 'log_loss_improvement': -9.4e-05, 'brier_improvement': 2.7e-05, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-07,ABSTAIN,selected_tail_did_not_show_prior_edge,7323.0,330.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 6123, 'validation_rows': 1200, 'market': {'matches': 400, 'log_loss': 0.98612, 'brier': 0.586883}, 'model': {'matches': 400, 'log_loss': 0.98451, 'brier': 0.585811}, 'log_loss_improvement': 0.00161, 'brier_improvement': 0.001072, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-08,ABSTAIN,selected_tail_did_not_show_prior_edge,7653.0,411.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 6123, 'validation_rows': 1530, 'market': {'matches': 510, 'log_loss': 0.984075, 'brier': 0.587125}, 'model': {'matches': 510, 'log_loss': 0.983541, 'brier': 0.586896}, 'log_loss_improvement': 0.000534, 'brier_improvement': 0.000229, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-09,ABSTAIN,selected_tail_did_not_show_prior_edge,8064.0,444.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 6123, 'validation_rows': 1941, 'market': {'matches': 647, 'log_loss': 0.982492, 'brier': 0.586432}, 'model': {'matches': 647, 'log_loss': 0.98156, 'brier': 0.585933}, 'log_loss_improvement': 0.000932, 'brier_improvement': 0.000499, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-10,ABSTAIN,selected_tail_did_not_show_prior_edge,8403.0,363.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 6192, 'validation_rows': 2211, 'market': {'matches': 737, 'log_loss': 0.994825, 'brier': 0.594402}, 'model': {'matches': 737, 'log_loss': 0.994305, 'brier': 0.594134}, 'log_loss_improvement': 0.00052, 'brier_improvement': 0.000268, 'selected_tail': {'bets': 7, 'profit_units': 0.58, 'hit_rate': 0.285714, 'average_market_probability': 0.253283, 'edge_vs_market_probability': 0.032431, 'passed': False}}"
2019-11,ABSTAIN,selected_tail_did_not_show_prior_edge,8460.0,267.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 6186, 'validation_rows': 2274, 'market': {'matches': 758, 'log_loss': 0.994683, 'brier': 0.594152}, 'model': {'matches': 758, 'log_loss': 0.994562, 'brier': 0.594062}, 'log_loss_improvement': 0.000121, 'brier_improvement': 9e-05, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-12,ABSTAIN,selected_tail_did_not_show_prior_edge,8358.0,114.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 6264, 'validation_rows': 2094, 'market': {'matches': 698, 'log_loss': 0.987706, 'brier': 0.590134}, 'model': {'matches': 698, 'log_loss': 0.987543, 'brier': 0.59003}, 'log_loss_improvement': 0.000163, 'brier_improvement': 0.000104, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-01,ABSTAIN,no_candidates,,,,,
2020-02,ABSTAIN,model_did_not_beat_market_on_prior_validation,7635.0,18.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 6036, 'validation_rows': 1599, 'market': {'matches': 533, 'log_loss': 0.995896, 'brier': 0.595591}, 'model': {'matches': 533, 'log_loss': 0.996801, 'brier': 0.595992}, 'log_loss_improvement': -0.000905, 'brier_improvement': -0.000401, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-03,ABSTAIN,model_did_not_beat_market_on_prior_validation,7281.0,60.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 6075, 'validation_rows': 1206, 'market': {'matches': 402, 'log_loss': 1.00558, 'brier': 0.601757}, 'model': {'matches': 402, 'log_loss': 1.009207, 'brier': 0.603475}, 'log_loss_improvement': -0.003627, 'brier_improvement': -0.001718, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-04,ABSTAIN,no_candidates,,,,,
2020-05,ABSTAIN,no_candidates,,,,,
2020-06,ABSTAIN,insufficient_prior_validation_rows,6333.0,96.0,,,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 6141, 'validation_rows': 192}"
2020-07,ABSTAIN,insufficient_prior_validation_rows,6390.0,303.0,,,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 6216, 'validation_rows': 174}"
2020-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,6693.0,405.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 6216, 'validation_rows': 477, 'market': {'matches': 159, 'log_loss': 1.017129, 'brier': 0.609457}, 'model': {'matches': 159, 'log_loss': 1.016649, 'brier': 0.60996}, 'log_loss_improvement': 0.00048, 'brier_improvement': -0.000503, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,7098.0,492.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 6234, 'validation_rows': 864, 'market': {'matches': 288, 'log_loss': 1.024374, 'brier': 0.615241}, 'model': {'matches': 288, 'log_loss': 1.025477, 'brier': 0.616045}, 'log_loss_improvement': -0.001103, 'brier_improvement': -0.000804, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,7437.0,513.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 6141, 'validation_rows': 1296, 'market': {'matches': 432, 'log_loss': 1.029731, 'brier': 0.618354}, 'model': {'matches': 432, 'log_loss': 1.031652, 'brier': 0.619069}, 'log_loss_improvement': -0.001921, 'brier_improvement': -0.000715, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,7590.0,366.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5781, 'validation_rows': 1809, 'market': {'matches': 603, 'log_loss': 1.01908, 'brier': 0.610439}, 'model': {'matches': 603, 'log_loss': 1.01975, 'brier': 0.610592}, 'log_loss_improvement': -0.00067, 'brier_improvement': -0.000153, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
