test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2025-09,data\historical_csv\football-data\2526\B1.csv:55,data\historical_csv\football-data\2526\B1.csv,55,2025-09-17,B1,Genk,Charleroi,away,0.21721305406493102,0.21169329172018264,4.917549999999999,5.1,4.101234669858411,0.0035197623447483866,8,0.025,BFE,4.0-5.0,exchange,0.20335329584854248,1.0681560540170014,0.00551976234474838,0.01620419343533668,1.5928104389975604,0.047181510856214644,0.3459792200011636,0.125,3.710180882756653,away:4.0-5.0,away:exchange,exchange:4.0-5.0,5.171305881522188,5.171305881522188,0.13,0.2138693167970274,True,0.1948390647524759,5.132440977739258,-4.186915712646233,False,away,True,0.51
2025-09,data\historical_csv\football-data\2526\G1.csv:23,data\historical_csv\football-data\2526\G1.csv,23,2025-09-20,G1,Panserraikos,Atromitos,home,0.2750747927137586,0.2663978983200803,4.0968,4.16,9.137890983770514,0.006676894393678318,8,0.0,PS,4.0-5.0,sportsbook,0.2440929505955868,1.1269264107897263,0.008676894393678303,0.024273014360229873,1.4102061811662034,0.07566614158651727,0.38791217296795455,0.125,1.5426674477641011,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,8.200567140558157,8.200567140558157,0.26,0.2641099568945473,True,0.2988548202053349,3.346106311127683,22.43484274172158,True,draw,False,-0.26
2025-09,data\historical_csv\football-data\2526\B1.csv:58,data\historical_csv\football-data\2526\B1.csv,58,2025-09-20,B1,Charleroi,Waregem,away,0.22351135308363226,0.2183853179773654,4.822,5.0,5.3054003286856055,0.003126035106266855,8,0.025,BFE,4.0-5.0,exchange,0.20738282870178348,1.0777717445692747,0.005126035106266857,0.013986023811046288,1.5731887797589794,0.04995732495727613,0.35162555281991786,0.125,3.691414350891753,away:4.0-5.0,away:exchange,exchange:4.0-5.0,6.08056661599793,6.08056661599793,0.16,0.21999287975113632,True,0.23462858572554696,4.2620552687886635,13.13790403685875,True,away,True,0.61
2025-09,data\historical_csv\football-data\2526\B1.csv:57,data\historical_csv\football-data\2526\B1.csv,57,2025-09-20,B1,Oud-Heverlee Leuven,RAAL La Louviere,away,0.2518060324517341,0.24333340719341034,4.153149999999999,4.3,1.060014008531196,0.006472625258323773,8,0.025,BFE,4.0-5.0,exchange,0.2407810938685095,1.0457882236769194,0.008472625258323763,0.025704806176811663,1.423867082464937,0.06340627797908377,0.3585383207741219,0.125,3.5358703634590816,away:4.0-5.0,away:exchange,exchange:4.0-5.0,2.99660433084368,2.99660433084368,0.1,0.24799635055522604,True,0.25576068358239284,3.9099050956276153,6.221248302021465,True,away,True,0.32
2025-09,data\historical_csv\football-data\2526\T1.csv:46,data\historical_csv\football-data\2526\T1.csv,46,2025-09-20,T1,Antalyaspor,Kayserispor,away,0.2736114534219472,0.26298050502797143,3.818725,3.95,0.42502290629402584,0.008630948393975752,8,0.025,BFE,3.0-4.0,exchange,0.26186750813425946,1.0448468974687253,0.01063094839397577,0.031544543497839694,1.3399165972714946,0.07486322744367038,0.36661652764364355,0.125,3.4376657130325006,away:3.0-4.0,away:exchange,exchange:3.0-4.0,2.7797735646885844,2.7797735646885844,0.1,0.26914683189988436,True,0.3192267777138128,3.1325692887095493,21.903927672517987,True,draw,False,-0.1
2025-09,data\historical_csv\football-data\2526\B1.csv:61,data\historical_csv\football-data\2526\B1.csv,61,2025-09-21,B1,Westerlo,Standard,away,0.24203861784551037,0.23056856380770613,4.4398,4.6,2.367830959345363,0.009470054037804237,8,0.025,BFE,4.0-5.0,exchange,0.22523537096265597,1.0746030555104968,0.01147005403780424,0.03912621102409712,1.4906093303845298,0.05858269252856501,0.3607850220738933,0.125,3.6082706428217426,away:4.0-5.0,away:exchange,exchange:4.0-5.0,5.039450933809373,5.039450933809373,0.15,0.23658599696790256,True,0.2520433102135905,3.96757207780109,11.902188868629903,True,away,True,0.52
2025-09,data\historical_csv\football-data\2526\T1.csv:48,data\historical_csv\football-data\2526\T1.csv,48,2025-09-21,T1,Buyuksehyr,Alanyaspor,away,0.23354214640374885,0.2302629192294282,4.535349999999999,4.7,4.432293072718707,0.0012792271743206408,8,0.025,BFE,4.0-5.0,exchange,0.22049014960256655,1.0591953736922421,0.003279227174320637,0.005477500288573637,1.511902258097338,0.05454193414687006,0.353092898508727,0.125,3.630370313206277,away:4.0-5.0,away:exchange,exchange:4.0-5.0,4.75467032112043,4.75467032112043,0.13,0.23097372930671378,True,0.2332823181853199,4.286651503546866,5.80169617817905,True,draw,False,-0.13
2025-09,data\historical_csv\football-data\2526\I2.csv:39,data\historical_csv\football-data\2526\I2.csv,39,2025-09-21,I2,Carrarese,Avellino,away,0.27632890246729724,0.2658606503755425,3.9497999999999998,4.01,5.009639685331768,0.008468252091754747,8,0.0,PS,3.0-4.0,sportsbook,0.25317737606967444,1.0914438989653306,0.010468252091754726,0.030645553237982195,1.3736649447197489,0.07635766233878108,0.3795833265322087,0.125,1.5241278039394457,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,2.946863902927886,2.946863902927886,0.1,0.26063816877545165,True,0.2756684944863358,3.6275454758199346,8.883541952212903,True,away,True,0.29
2025-09,data\historical_csv\football-data\2526\B1.csv:64,data\historical_csv\football-data\2526\B1.csv,64,2025-09-23,B1,Anderlecht,Gent,away,0.21984559721821373,0.21041470474894802,4.822,5.0,1.4619706299427326,0.007430892469265692,8,0.025,BFE,4.0-5.0,exchange,0.20738282870178348,1.0600954697862266,0.009430892469265706,0.03380050618839529,1.5731887797589794,0.04833208661623306,0.34585862682310575,0.125,3.691414350891753,away:4.0-5.0,away:exchange,exchange:4.0-5.0,4.038877958678559,4.038877958678559,0.11,0.21575876806030395,True,0.22197758157409186,4.504959432879573,7.037589835027092,True,home,False,-0.11
2025-09,data\historical_csv\football-data\2526\B1.csv:72,data\historical_csv\football-data\2526\B1.csv,72,2025-09-28,B1,Charleroi,Mechelen,away,0.28409167913910094,0.27519971500531387,3.962049999999999,4.1,9.035503083680352,0.006891964133787079,8,0.025,BFE,3.0-4.0,exchange,0.2523945937078028,1.1255854373330747,0.008891964133787067,0.024259647993465305,1.3767615680856737,0.08070808215607388,0.3911265056516407,0.125,3.481783420199158,away:3.0-4.0,away:exchange,exchange:3.0-4.0,9.887887730811311,9.887887730811311,0.33,0.2773510877722677,True,0.2772832578073573,3.6064204088901413,9.861013159563981,True,away,True,0.98
