date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2012-06-06,2012-06,BRA,Sport Recife,Palmeiras,away,home,2.9,"[2.8,3.5)",0.33757240372774683,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Santos,Fluminense,home,draw,2.15,"[1.8,2.2)",0.45589652815506754,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Santos,Fluminense,draw,draw,3.45,"[2.8,3.5)",0.2841094305893899,"[0.28,0.34)",market_non_favorite,PS_CLOSE,True,2.45
2012-06-07,2012-06,BRA,Santos,Fluminense,away,draw,3.77,"[3.5,4.0)",0.25999404125554254,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Vasco,Nautico,home,home,1.4,"[1.0,1.8)",0.6997013983370001,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.3999999999999999
2012-06-07,2012-06,BRA,Vasco,Nautico,draw,home,4.99,"[4.0,5.0)",0.19630900955346692,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Vasco,Nautico,away,home,9.42,"[7.0,inf)",0.10398959210953292,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Ponte Preta,Flamengo RJ,home,draw,2.52,"[2.2,2.8)",0.38895010231386745,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Ponte Preta,Flamengo RJ,draw,draw,3.53,"[3.5,4.0)",0.2776640957028176,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,2.53
2012-06-07,2012-06,BRA,Ponte Preta,Flamengo RJ,away,draw,2.94,"[2.8,3.5)",0.33338580198331497,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Atletico-MG,Bahia,home,draw,1.46,"[1.0,1.8)",0.6699521895787139,"[0.55,1.00]",market_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Atletico-MG,Bahia,draw,draw,4.55,"[4.0,5.0)",0.21497366962305986,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,3.55
2012-06-07,2012-06,BRA,Atletico-MG,Bahia,away,draw,8.5,"[7.0,inf)",0.11507414079822617,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Coritiba,Portuguesa,home,home,1.7,"[1.0,1.8)",0.5761740822904022,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.7
2012-06-07,2012-06,BRA,Coritiba,Portuguesa,draw,home,3.94,"[3.5,4.0)",0.24860303042986895,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Coritiba,Portuguesa,away,home,5.59,"[5.0,7.0)",0.17522288727972876,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Internacional,Sao Paulo,home,home,1.83,"[1.8,2.2)",0.5345666002967244,"[0.42,0.55)",market_favorite,PS_CLOSE,True,0.8300000000000001
2012-06-07,2012-06,BRA,Internacional,Sao Paulo,draw,home,3.77,"[3.5,4.0)",0.25948458316790607,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Internacional,Sao Paulo,away,home,4.75,"[4.0,5.0)",0.20594881653536962,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-08,2012-06,BRA,Botafogo RJ,Cruzeiro,home,away,2.17,"[1.8,2.2)",0.4519411721253522,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-06-08,2012-06,BRA,Botafogo RJ,Cruzeiro,draw,away,3.39,"[2.8,3.5)",0.28929567655221655,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-08,2012-06,BRA,Botafogo RJ,Cruzeiro,away,away,3.79,"[3.5,4.0)",0.25876315132243116,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,2.79
2012-06-08,2012-06,BRA,Corinthians,Figueirense,home,draw,1.61,"[1.0,1.8)",0.6081541283209395,"[0.55,1.00]",market_favorite,PS_CLOSE,False,-1.0
2012-06-08,2012-06,BRA,Corinthians,Figueirense,draw,draw,4.12,"[4.0,5.0)",0.2376524627661924,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,3.12
2012-06-08,2012-06,BRA,Corinthians,Figueirense,away,draw,6.35,"[5.0,7.0)",0.15419340891286815,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-09,2012-06,BRA,Flamengo RJ,Coritiba,home,home,2.06,"[1.8,2.2)",0.47429024941759235,"[0.42,0.55)",market_favorite,PS_CLOSE,True,1.06
2012-06-09,2012-06,BRA,Flamengo RJ,Coritiba,draw,home,3.51,"[3.5,4.0)",0.2783583800000684,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-09,2012-06,BRA,Flamengo RJ,Coritiba,away,home,3.95,"[3.5,4.0)",0.24735137058233925,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Sao Paulo,Santos,home,home,1.85,"[1.8,2.2)",0.5290178571428572,"[0.42,0.55)",market_favorite,PS_CLOSE,True,0.8500000000000001
2012-06-10,2012-06,BRA,Sao Paulo,Santos,draw,home,3.7,"[3.5,4.0)",0.2645089285714286,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Sao Paulo,Santos,away,home,4.74,"[4.0,5.0)",0.2064732142857143,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Portuguesa,Atletico GO,home,home,2.19,"[1.8,2.2)",0.4473844141720362,"[0.42,0.55)",market_favorite,PS_CLOSE,True,1.19
2012-06-10,2012-06,BRA,Portuguesa,Atletico GO,draw,home,3.43,"[2.8,3.5)",0.28564777464628544,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-10,2012-06,BRA,Portuguesa,Atletico GO,away,home,3.67,"[3.5,4.0)",0.2669678111816783,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
