month,decision,reason,prior_candidates,candidate_count,probability_validation
2019-05,ABSTAIN,selected_tail_did_not_show_prior_edge,2457.0,150.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2217, 'validation_rows': 240, 'market': {'matches': 80, 'log_loss': 0.927696, 'brier': 0.544457}, 'model': {'matches': 80, 'log_loss': 0.923187, 'brier': 0.54061}, 'log_loss_improvement': 0.004509, 'brier_improvement': 0.003847, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-06,ABSTAIN,selected_tail_did_not_show_prior_edge,2487.0,87.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2277, 'validation_rows': 210, 'market': {'matches': 70, 'log_loss': 0.943434, 'brier': 0.554763}, 'model': {'matches': 70, 'log_loss': 0.942387, 'brier': 0.554041}, 'log_loss_improvement': 0.001047, 'brier_improvement': 0.000722, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-07,ABSTAIN,selected_tail_did_not_show_prior_edge,2547.0,90.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2280, 'validation_rows': 267, 'market': {'matches': 89, 'log_loss': 0.910814, 'brier': 0.533006}, 'model': {'matches': 89, 'log_loss': 0.905365, 'brier': 0.529612}, 'log_loss_improvement': 0.005449, 'brier_improvement': 0.003394, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-08,ABSTAIN,selected_tail_did_not_show_prior_edge,2637.0,132.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2280, 'validation_rows': 357, 'market': {'matches': 119, 'log_loss': 0.927946, 'brier': 0.548483}, 'model': {'matches': 119, 'log_loss': 0.922396, 'brier': 0.545606}, 'log_loss_improvement': 0.00555, 'brier_improvement': 0.002877, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-09,ABSTAIN,selected_tail_did_not_show_prior_edge,2769.0,156.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2280, 'validation_rows': 489, 'market': {'matches': 163, 'log_loss': 0.951611, 'brier': 0.566651}, 'model': {'matches': 163, 'log_loss': 0.947112, 'brier': 0.564535}, 'log_loss_improvement': 0.004499, 'brier_improvement': 0.002116, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-10,ABSTAIN,selected_tail_did_not_show_prior_edge,2925.0,219.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2280, 'validation_rows': 645, 'market': {'matches': 215, 'log_loss': 0.955962, 'brier': 0.569495}, 'model': {'matches': 215, 'log_loss': 0.953596, 'brier': 0.56838}, 'log_loss_improvement': 0.002366, 'brier_improvement': 0.001115, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-11,ABSTAIN,selected_tail_did_not_show_prior_edge,3144.0,192.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2310, 'validation_rows': 834, 'market': {'matches': 278, 'log_loss': 0.9653, 'brier': 0.575511}, 'model': {'matches': 278, 'log_loss': 0.963783, 'brier': 0.574659}, 'log_loss_improvement': 0.001517, 'brier_improvement': 0.000852, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2019-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,3246.0,84.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2370, 'validation_rows': 876, 'market': {'matches': 292, 'log_loss': 0.971921, 'brier': 0.581011}, 'model': {'matches': 292, 'log_loss': 0.971785, 'brier': 0.581059}, 'log_loss_improvement': 0.000136, 'brier_improvement': -4.8e-05, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2020-01,ABSTAIN,no_candidates,,,
2020-02,ABSTAIN,no_candidates,,,
