league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train18_n80_ev0p02_top1_ridge35_cap0.08,29,0.0,18.0,80.0,0.02,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train18_n120_ev0p0_top1_ridge10_cap0.08,29,0.0,18.0,120.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train18_n120_ev0p0_top1_ridge35_cap0.08,29,0.0,18.0,120.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train18_n120_ev0p02_top1_ridge10_cap0.08,29,0.0,18.0,120.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train18_n120_ev0p02_top1_ridge35_cap0.08,29,0.0,18.0,120.0,0.02,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n80_ev0p0_top1_ridge10_cap0.08,29,0.0,30.0,80.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n80_ev0p0_top1_ridge35_cap0.08,29,0.0,30.0,80.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n80_ev0p02_top1_ridge10_cap0.08,29,0.0,30.0,80.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n80_ev0p02_top1_ridge35_cap0.08,29,0.0,30.0,80.0,0.02,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n120_ev0p0_top1_ridge10_cap0.08,29,0.0,30.0,120.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n120_ev0p0_top1_ridge35_cap0.08,29,0.0,30.0,120.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n120_ev0p02_top1_ridge10_cap0.08,29,0.0,30.0,120.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n120_ev0p02_top1_ridge35_cap0.08,29,0.0,30.0,120.0,0.02,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train18_n80_ev0p0_top1_ridge10_cap0.08,47,0.0,18.0,80.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train18_n80_ev0p0_top1_ridge35_cap0.08,47,0.0,18.0,80.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train18_n80_ev0p02_top1_ridge10_cap0.08,47,0.0,18.0,80.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train18_n80_ev0p02_top1_ridge35_cap0.08,47,0.0,18.0,80.0,0.02,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train18_n120_ev0p0_top1_ridge10_cap0.08,47,0.0,18.0,120.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train18_n120_ev0p0_top1_ridge35_cap0.08,47,0.0,18.0,120.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train18_n120_ev0p02_top1_ridge10_cap0.08,47,0.0,18.0,120.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train18_n120_ev0p02_top1_ridge35_cap0.08,47,0.0,18.0,120.0,0.02,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n80_ev0p0_top1_ridge10_cap0.08,47,0.0,30.0,80.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n80_ev0p0_top1_ridge35_cap0.08,47,0.0,30.0,80.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n80_ev0p02_top1_ridge10_cap0.08,47,0.0,30.0,80.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n80_ev0p02_top1_ridge35_cap0.08,47,0.0,30.0,80.0,0.02,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n120_ev0p0_top1_ridge10_cap0.08,47,0.0,30.0,120.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n120_ev0p0_top1_ridge35_cap0.08,47,0.0,30.0,120.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n120_ev0p02_top1_ridge10_cap0.08,47,0.0,30.0,120.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n120_ev0p02_top1_ridge35_cap0.08,47,0.0,30.0,120.0,0.02,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge10_cap0.08,579,95.0,18.0,120.0,0.0,10.0,95.0,-28.1,-2.96,68.9,15.0,18.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge10_cap0.08,579,81.0,18.0,120.0,0.02,10.0,81.0,-25.1,-3.1,72.2,15.0,16.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge10_cap0.08,579,99.0,18.0,80.0,0.0,10.0,99.0,-39.4,-3.98,68.9,15.0,19.0,11.0,0.0,11.0,0.0,0.0,REJECT_TOO_FEW_BETS
