test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2025-01,data\historical_csv\football-data\2425\D1.csv:172,data\historical_csv\football-data\2425\D1.csv,172,2025-01-26,__UNKNOWN_LIVE_LEAGUE__,St Pauli,Union Berlin,draw,0.3065613292368431,0.30179392103679864,3.3324,3.38,0.569806246302762,0.002767408200044478,6,0.0,1XB,3.0-4.0,sportsbook,2.990577981144226,2.990577981144226,0.13,0.3090582702591052,True,0.30564173810212786,3.27180445383365,1.8520528051530816,True,home,False,-0.13
2025-01,data\historical_csv\football-data\2425\T1.csv:191,data\historical_csv\football-data\2425\T1.csv,191,2025-01-31,__UNKNOWN_LIVE_LEAGUE__,Eyupspor,Sivasspor,draw,0.2701295256295146,0.25968915890855615,3.842,3.9,-0.22742514733272712,0.008440366720958442,6,0.0,1XB,3.0-4.0,sportsbook,4.1405065377314,4.1405065377314,0.15,0.2710580597025804,True,0.25785424358406756,3.878159948428278,-0.9323996150012448,False,home,False,-0.15
2025-02,data\historical_csv\football-data\2425\P1.csv:175,data\historical_csv\football-data\2425\P1.csv,175,2025-02-01,__UNKNOWN_LIVE_LEAGUE__,Santa Clara,Casa Pia,away,0.24656547367959247,0.2422690597690615,4.2585,4.5,3.1702791026548383,0.0022964139105309677,6,0.05,BFE,4.0-5.0,exchange,3.2680089662209344,3.2680089662209344,0.1,0.24249855340195123,True,0.2342654956429889,4.268661064470029,-0.23803868043318355,False,home,False,-0.1
2025-02,data\historical_csv\football-data\2425\E0.csv:237,data\historical_csv\football-data\2425\E0.csv,237,2025-02-02,__UNKNOWN_LIVE_LEAGUE__,Brentford,Tottenham,draw,0.24297231796310126,0.23753859510877923,4.2634,4.33,1.2722046386769215,0.0034337228543220417,6,0.0,1XB,4.0-5.0,sportsbook,4.3474724235825715,4.3474724235825715,0.13,0.24475177657170938,True,0.235792255706017,4.241021389806747,0.5276702977032866,True,away,False,-0.13
2025-02,data\historical_csv\football-data\2425\SP1.csv:218,data\historical_csv\football-data\2425\SP1.csv,218,2025-02-02,__UNKNOWN_LIVE_LEAGUE__,Valencia,Celta,draw,0.3058379980076529,0.2991060465859152,3.3324,3.38,-0.32590103570961926,0.004731951421737681,6,0.0,1XB,3.0-4.0,sportsbook,2.6918664614058097,2.6918664614058097,0.12,0.3081618847119368,True,0.3121006216567876,3.204094867518992,4.004411160907884,True,home,False,-0.12
2025-02,data\historical_csv\football-data\2425\I1.csv:230,data\historical_csv\football-data\2425\I1.csv,230,2025-02-06,__UNKNOWN_LIVE_LEAGUE__,Fiorentina,Inter,draw,0.2718794036819876,0.2684945257528818,3.7538,3.81,0.7874750771167616,0.0013848779291057974,6,0.0,1XB,3.0-4.0,sportsbook,2.855858289528754,2.855858289528754,0.1,0.2740046307462538,True,0.2754741472560756,3.6301047120418843,3.4074853969856544,True,home,False,-0.1
2025-02,data\historical_csv\football-data\2425\D2.csv:184,data\historical_csv\football-data\2425\D2.csv,184,2025-02-08,__UNKNOWN_LIVE_LEAGUE__,Darmstadt,Elversberg,draw,0.27688209971282457,0.25869852317646574,3.7636,3.82,-2.636223817305361,0.016183576536358844,6,0.0,1XB,3.0-4.0,sportsbook,4.227154955788951,4.227154955788951,0.15,0.27693472992823087,True,0.2748628553871536,3.6381780236964585,3.4473842535091226,True,away,False,-0.15
2025-02,data\historical_csv\football-data\2425\D1.csv:183,data\historical_csv\football-data\2425\D1.csv,183,2025-02-08,__UNKNOWN_LIVE_LEAGUE__,Dortmund,Stuttgart,draw,0.24453731092689904,0.23964014785124416,4.204599999999999,4.27,0.7590965655341009,0.0028971630756548915,6,0.0,1XB,4.0-5.0,sportsbook,3.673801617311261,3.673801617311261,0.11,0.24657232939473736,True,0.24936685434233835,4.010156051562369,4.848787576779556,True,away,False,-0.11
2025-02,data\historical_csv\football-data\2425\D1.csv:187,data\historical_csv\football-data\2425\D1.csv,187,2025-02-08,__UNKNOWN_LIVE_LEAGUE__,Wolfsburg,Leverkusen,draw,0.25340737743101055,0.24534447906137344,4.038,4.1,-0.929899355017394,0.006062898369637121,6,0.0,1XB,4.0-5.0,sportsbook,3.0021397888375922,3.0021397888375922,0.1,0.2550820698089093,True,0.28910319145058033,3.4589725384299026,16.739868707744353,True,draw,True,0.3
2025-02,data\historical_csv\football-data\2425\D1.csv:184,data\historical_csv\football-data\2425\D1.csv,184,2025-02-08,__UNKNOWN_LIVE_LEAGUE__,Freiburg,Heidenheim,draw,0.24854536948351597,0.24351720367810198,4.1066,4.17,0.0027748624493728613,0.003028165805413987,6,0.0,1XB,4.0-5.0,sportsbook,2.964061845801524,2.964061845801524,0.1,0.25072824683631595,True,0.25311241134285084,3.9508137696395305,3.943142842055125,True,home,False,-0.1
