league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge10_cap0.08,579,81,18,120,0.02,10.0,81,-25.1,-3.1,72.2,15,16,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge10_cap0.08,579,99,18,80,0.0,10.0,99,-39.4,-3.98,68.9,15,19,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge10_cap0.08,579,85,18,80,0.02,10.0,85,-36.4,-4.28,73.1,15,17,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge35_cap0.08,579,94,18,120,0.0,35.0,94,-46.7,-4.97,77.2,14,20,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge35_cap0.08,579,98,18,80,0.0,35.0,98,-58.0,-5.92,77.2,14,21,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge35_cap0.08,1528,120,18,120,0.0,35.0,120,-144.9,-12.08,218.5,15,21,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge35_cap0.08,1528,127,18,80,0.0,35.0,127,-181.0,-14.25,254.6,15,22,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge35_cap0.08,1528,101,18,120,0.02,35.0,101,-214.0,-21.19,317.6,13,23,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge35_cap0.08,1528,106,18,80,0.02,35.0,106,-230.1,-21.71,333.7,13,24,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge10_cap0.08,1528,118,18,120,0.0,10.0,118,-290.4,-24.61,340.1,13,22,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge10_cap0.08,1528,125,18,80,0.0,10.0,125,-326.5,-26.12,376.2,13,23,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge10_cap0.08,1528,108,18,120,0.02,10.0,108,-289.3,-26.79,349.0,11,23,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge10_cap0.08,1528,113,18,80,0.02,10.0,113,-305.4,-27.03,365.1,11,24,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge10_cap0.08,108,13,18,80,0.0,10.0,13,-63.0,-48.46,63.0,2,11,11,0,10,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge10_cap0.08,108,13,18,120,0.0,10.0,13,-63.0,-48.46,63.0,2,11,11,0,10,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p0_top1_ridge35_cap0.08,108,11,18,80,0.0,35.0,11,-76.3,-69.36,76.3,1,10,11,0,9,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge10_cap0.08,108,11,18,80,0.02,10.0,11,-76.3,-69.36,76.3,1,10,11,0,10,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n80_ev0p02_top1_ridge35_cap0.08,108,11,18,80,0.02,35.0,11,-76.3,-69.36,76.3,1,10,11,0,9,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p0_top1_ridge35_cap0.08,108,11,18,120,0.0,35.0,11,-76.3,-69.36,76.3,1,10,11,0,9,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge10_cap0.08,108,11,18,120,0.02,10.0,11,-76.3,-69.36,76.3,1,10,11,0,10,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train18_n120_ev0p02_top1_ridge35_cap0.08,108,11,18,120,0.02,35.0,11,-76.3,-69.36,76.3,1,10,11,0,9,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n80_ev0p0_top1_ridge35_cap0.08,108,15,30,80,0.0,35.0,15,-115.1,-76.73,115.1,1,12,11,0,10,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p0_top1_ridge35_cap0.08,108,15,30,120,0.0,35.0,15,-115.1,-76.73,115.1,1,12,11,0,10,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n80_ev0p0_top1_ridge10_cap0.08,108,16,30,80,0.0,10.0,16,-125.1,-78.19,125.1,1,13,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n80_ev0p02_top1_ridge10_cap0.08,108,16,30,80,0.02,10.0,16,-125.1,-78.19,125.1,1,13,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p0_top1_ridge10_cap0.08,108,16,30,120,0.0,10.0,16,-125.1,-78.19,125.1,1,13,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,108,16,30,120,0.02,10.0,16,-125.1,-78.19,125.1,1,13,11,0,11,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n80_ev0p02_top1_ridge35_cap0.08,108,14,30,80,0.02,35.0,14,-140.0,-100.0,140.0,0,12,11,0,10,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge35_cap0.08,108,14,30,120,0.02,35.0,14,-140.0,-100.0,140.0,0,12,11,0,10,0,0.0,"['bets<150', 'profit_or_roi<=0', 'positive_months<=negative_months', 'max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
