bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2018-05-22,2018-05-23,DNK,Sonderjyske,Aarhus,draw,away,3.3,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-05,2017-18
2018-05-24,2018-05-25,DNK,Vendsyssel,Lyngby,draw,home,3.24,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-05,2017-18
2018-05-27,2018-05-28,DNK,Esbjerg,Silkeborg,draw,home,3.42,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-05,2017-18
2018-07-13,2018-07-14,DNK,Sonderjyske,Aalborg,draw,away,3.26,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-07,2018-19
2018-07-20,2018-07-21,DNK,Aalborg,Midtjylland,draw,home,3.39,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-07,2018-19
2018-07-22,2018-07-23,DNK,Horsens,Randers FC,draw,draw,3.28,10.0,True,22.8,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-07,2018-19
2018-07-30,2018-07-31,DNK,Vejle,Aarhus,draw,draw,3.23,10.0,True,22.3,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-07,2018-19
2018-08-04,2018-08-05,DNK,Esbjerg,Randers FC,draw,draw,3.23,10.0,True,22.3,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-08,2018-19
2018-08-06,2018-08-07,DNK,Vendsyssel,Aalborg,draw,away,3.42,10.0,False,-10.0,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-08,2018-19
2018-08-10,2018-08-11,DNK,Vendsyssel,Vejle,draw,draw,3.38,10.0,True,23.8,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-08,2018-19
2018-08-19,2018-08-20,DNK,Odense,Midtjylland,draw,draw,3.45,10.0,True,24.5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-08,2018-19
2018-08-20,2018-08-21,DNK,Horsens,Aalborg,draw,draw,3.07,10.0,True,20.7,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08|DNK_draw_odds2p8_3p5,2018-08,2018-19
