league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p0_top1_ridge10_cap0.08,1398,373,30,80,0.0,10.0,373,625.5,16.77,148.6,57,43,10,1,2025-26,39,92.3,20,10,20,10,0.5,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p0_top1_ridge10_cap0.08,1398,373,30,120,0.0,10.0,373,625.5,16.77,148.6,57,43,10,1,2025-26,39,92.3,20,10,20,10,0.5,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p0_top1_ridge35_cap0.08,869,268,30,120,0.0,35.0,268,686.1,25.6,121.9,42,35,7,3,2024-25,4,-5.8,20,8,18,8,0.4444,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p02_top1_ridge35_cap0.08,533,115,18,80,0.02,35.0,115,265.7,23.1,90.0,19,15,4,0,2019-20,15,19.0,20,4,9,4,0.4444,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p0_top1_ridge10_cap0.08,533,115,18,80,0.0,10.0,115,199.8,17.37,117.5,19,16,3,1,2019-20,14,29.6,20,4,9,4,0.4444,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p0_top1_ridge35_cap0.08,869,286,30,80,0.0,35.0,286,678.5,23.72,121.9,46,41,9,2,2025-26,5,18.8,20,8,20,8,0.4,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge35_cap0.08,869,260,30,120,0.02,35.0,260,663.0,25.5,136.2,40,37,8,2,2024-25,4,-5.8,20,7,18,7,0.3889,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,869,249,30,120,0.02,10.0,249,542.1,21.77,166.2,38,36,8,2,2024-25,4,-5.8,20,7,18,7,0.3889,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge35_cap0.08,869,277,30,80,0.02,35.0,277,665.4,24.02,136.2,44,43,10,1,2025-26,5,18.8,20,7,20,7,0.35,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08,869,264,30,80,0.02,10.0,264,530.1,20.08,166.2,42,43,10,1,2025-26,5,18.8,20,7,20,7,0.35,"['positive_months<=negative_months', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p0_top1_ridge35_cap0.08,533,119,18,80,0.0,35.0,119,259.9,21.84,102.2,18,16,3,1,2019-20,15,19.0,20,3,9,3,0.3333,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p0_top1_ridge10_cap0.08,869,254,30,120,0.0,10.0,254,492.1,19.37,196.2,38,36,8,2,2024-25,4,-5.8,20,6,18,6,0.3333,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p02_top1_ridge10_cap0.08,533,110,18,80,0.02,10.0,110,183.8,16.71,117.5,18,17,3,1,2019-20,14,29.6,20,3,9,3,0.3333,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,533,136,30,120,0.02,10.0,136,330.6,24.31,90.0,23,18,4,2,2020-21,3,3.4,20,3,10,3,0.3,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p0_top1_ridge10_cap0.08,533,139,30,120,0.0,10.0,139,335.3,24.12,90.0,23,18,5,1,2020-21,3,3.4,20,3,10,3,0.3,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge35_cap0.08,533,133,30,120,0.02,35.0,133,293.3,22.05,105.3,20,19,3,2,2020-21,4,-6.6,20,3,10,3,0.3,"['bets<150', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p0_top1_ridge35_cap0.08,533,136,30,120,0.0,35.0,136,298.0,21.91,90.0,21,18,3,2,2020-21,4,-6.6,20,3,10,3,0.3,"['bets<150', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p0_top1_ridge10_cap0.08,869,272,30,80,0.0,10.0,272,450.1,16.55,196.2,42,43,9,2,2025-26,5,18.8,20,6,20,6,0.3,"['positive_months<=negative_months', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p02_top1_ridge10_cap0.08,1398,333,18,80,0.02,10.0,333,437.0,13.12,160.0,43,39,8,2,2024-25,5,53.5,20,5,18,5,0.2778,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p0_top1_ridge10_cap0.08,1398,342,18,80,0.0,10.0,342,411.8,12.04,172.8,44,38,8,2,2024-25,5,53.5,20,5,18,5,0.2778,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p0_top1_ridge35_cap0.08,1398,346,18,80,0.0,35.0,346,371.1,10.73,170.0,43,40,8,2,2024-25,5,53.5,20,5,18,5,0.2778,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p02_top1_ridge35_cap0.08,1398,340,18,80,0.02,35.0,340,329.1,9.68,170.0,42,40,7,3,2024-25,5,53.5,20,5,18,5,0.2778,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge10_cap0.08,533,166,30,80,0.02,10.0,166,541.9,32.64,110.5,29,21,4,3,2021-22,1,-10.0,20,3,12,3,0.25,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p0_top1_ridge10_cap0.08,533,169,30,80,0.0,10.0,169,546.6,32.34,102.0,29,21,5,2,2021-22,1,-10.0,20,3,12,3,0.25,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p02_top1_ridge35_cap0.08,533,166,30,80,0.02,35.0,166,440.4,26.53,137.3,25,22,4,3,2021-22,2,-20.0,20,3,12,3,0.25,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n80_ev0p0_top1_ridge35_cap0.08,533,169,30,80,0.0,35.0,169,445.1,26.34,112.6,26,21,4,3,2021-22,2,-20.0,20,3,12,3,0.25,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p0_top1_ridge35_cap0.08,869,187,18,80,0.0,35.0,187,162.0,8.66,215.5,25,25,3,5,2022-23,10,-0.3,20,3,15,3,0.2,"['drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p02_top1_ridge35_cap0.08,869,183,18,80,0.02,35.0,183,133.3,7.28,264.2,24,25,4,4,2022-23,10,-0.3,20,3,15,3,0.2,"['drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p02_top1_ridge10_cap0.08,869,181,18,80,0.02,10.0,181,124.5,6.88,286.9,25,25,3,5,2022-23,11,-10.3,20,3,15,3,0.2,"['drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n80_ev0p0_top1_ridge10_cap0.08,869,184,18,80,0.0,10.0,184,94.5,5.14,296.9,25,25,3,5,2022-23,11,-10.3,20,3,15,3,0.2,"['drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p02_top1_ridge10_cap0.08,1398,247,18,120,0.02,10.0,247,205.2,8.31,164.3,30,31,5,4,2023-24,12,11.3,20,3,16,3,0.1875,"['positive_months<=negative_months', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p0_top1_ridge10_cap0.08,1398,255,18,120,0.0,10.0,255,190.0,7.45,174.3,31,30,6,3,2023-24,13,31.8,20,3,16,3,0.1875,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p0_top1_ridge35_cap0.08,1398,257,18,120,0.0,35.0,257,169.3,6.59,170.0,30,32,7,2,2023-24,13,31.8,20,3,16,3,0.1875,"['drawdown>profit', 'positive_months<=negative_months', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p02_top1_ridge35_cap0.08,1398,251,18,120,0.02,35.0,251,127.3,5.07,170.0,29,32,6,3,2023-24,13,31.8,20,3,16,3,0.1875,"['drawdown>profit', 'positive_months<=negative_months', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p0_top1_ridge10_cap0.08,533,0,18,120,0.0,10.0,0,0.0,0.0,0.0,0,0,0,0,,0,0.0,0,0,0,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p0_top1_ridge35_cap0.08,533,0,18,120,0.0,35.0,0,0.0,0.0,0.0,0,0,0,0,,0,0.0,0,0,0,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p02_top1_ridge10_cap0.08,533,0,18,120,0.02,10.0,0,0.0,0.0,0.0,0,0,0,0,,0,0.0,0,0,0,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train18_n120_ev0p02_top1_ridge35_cap0.08,533,0,18,120,0.02,35.0,0,0.0,0.0,0.0,0,0,0,0,,0,0.0,0,0,0,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
