test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,direct_staking_probability,staking_probability_profile,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,minimum_lower_clv_staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2024-04,data\historical_csv\football-data\2324\E3.csv:509,data\historical_csv\football-data\2324\E3.csv,509,2024-04-09,E3,Newport County,Accrington,away,0.3771995874401233,0.3723467012196274,2.764,2.8,2.91662821710501,0.0028528862204958,4,0.0,BW,2.0-3.0,sportsbook,0.361794500723589,1.0425796596845007,0.0048528862204959,0.0075633333531913,1.016678905905423,0.1422795287649992,0.3834908638666016,0.25,1.302460202604916,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,2.221481455591197,2.221481455591197,0.3698316984645123,lower_clv,True,2.5297006106980824,2.5297006106980824,0.3709468184178657,2.37559103314464,0.30821915510688536,2.221481455591197,0.3698316984645123,0.3698316984645123,0.5,0.39,model_agreement_0.625_kelly,away,10.308266763533403,True,0.3990892429939703,2.505705221463733,True,0.69
2024-05,data\historical_csv\football-data\2324\T1.csv:347,data\historical_csv\football-data\2324\T1.csv,347,2024-05-05,T1,Buyuksehyr,Kasimpasa,away,0.2751771732005432,0.2679091105751124,3.94,4.0,5.556189566594316,0.0052680626254308,4,0.0,B365,3.0-4.0,sportsbook,0.2538071065989847,1.0841980624101404,0.0072680626254307,0.0191442573675671,1.3711807233098423,0.0757224766506417,0.3773176353874787,0.25,1.522842639593902,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,3.3827930536563287,3.3827930536563287,0.2623928757707013,lower_clv,True,3.7608748917045576,3.7608748917045576,0.2633524743444278,3.571833972680443,0.3780818380482289,3.3827930536563287,0.2623928757707013,0.2623928757707013,0.5,0.36,model_agreement_0.625_kelly,home,1.761942179061915,True,0.2582790410636089,3.8717814495591223,False,-0.36
2024-05,data\historical_csv\football-data\2324\T1.csv:368,data\historical_csv\football-data\2324\T1.csv,368,2024-05-18,T1,Kayserispor,Konyaspor,draw,0.385651878196462,0.3779462600688857,2.862,2.9,8.1682196317151,0.0057056181275762,4,0.0,VC,2.0-3.0,sportsbook,0.3494060097833683,1.1037356753982743,0.0077056181275763,0.0147947370417568,1.0515206811342592,0.1487273711564588,0.4055209256418501,0.25,1.327742837176782,draw:2.0-3.0,draw:sportsbook,sportsbook:2.0-3.0,7.7373853332460785,7.7373853332460785,0.3764408991378269,lower_clv,True,6.98902802900947,6.98902802900947,0.3738260937421714,7.3632066811277745,0.7483573042366087,6.98902802900947,0.3738260937421714,0.3738260937421714,0.5,1.17,model_agreement_0.625_kelly,draw,7.776660180049544,True,0.3765781278128914,2.655491453547364,True,2.18
2024-08,data\historical_csv\football-data\2425\D2.csv:6,data\historical_csv\football-data\2425\D2.csv,6,2024-08-03,D2,Magdeburg,Elversberg,away,0.2661815123976132,0.2576316369336999,3.8665,4.0,-0.3867275795849223,0.0065498754639132,6,0.025,BFE,3.0-4.0,exchange,0.258631837579206,1.0291908176853717,0.0085498754639132,0.0246068008439642,1.352349705066953,0.0708525975422807,0.3599704897851877,0.1666666666666666,3.452735031682397,away:3.0-4.0,away:exchange,exchange:3.0-4.0,4.222454423151861,4.222454423151861,0.2695524490447481,lower_clv,True,3.363573011955068,3.363573011955068,0.2673311082683436,3.793013717553465,0.8588814111967928,3.363573011955068,0.2673311082683436,0.2673311082683436,1.0,0.73,model_agreement_0.625_kelly,draw,17.799329951587815,True,0.3046665717097835,3.282276734162259,False,-0.73
2024-08,data\historical_csv\football-data\2425\E2.csv:8,data\historical_csv\football-data\2425\E2.csv,8,2024-08-10,E2,Leyton Orient,Bolton,home,0.2718250498998656,0.2675937571108823,3.818725,3.95,2.1866970123254115,0.0022312927889833,6,0.025,BFE,3.0-4.0,exchange,0.2618675081342594,1.0380251136788643,0.0042312927889833,0.0082085620505002,1.3399165972714946,0.0738888577530644,0.3642228959149822,0.1666666666666666,3.437665713032501,home:3.0-4.0,home:exchange,exchange:3.0-4.0,6.034643250444845,6.034643250444845,0.2776702780389917,lower_clv,True,5.246129621964002,5.246129621964002,0.2756054170487898,5.640386436204423,0.7885136284808434,5.246129621964002,0.2756054170487898,0.2756054170487898,1.0,1.16,model_agreement_0.625_kelly,away,-4.908659704556129,False,0.2490133232831478,4.015849380327819,False,-1.16
2024-08,data\historical_csv\football-data\2425\P1.csv:6,data\historical_csv\football-data\2425\P1.csv,6,2024-08-11,P1,Estoril,Santa Clara,away,0.2705534494001255,0.2610552073614329,3.818725,3.95,-0.3101953268712099,0.0074982420386926,6,0.025,BFE,3.0-4.0,exchange,0.2618675081342594,1.0331692210604944,0.0094982420386925,0.0277144573662535,1.3399165972714946,0.0731991689823062,0.3625190573002816,0.1666666666666666,3.437665713032501,away:3.0-4.0,away:exchange,exchange:3.0-4.0,4.3510116624380215,4.3510116624380215,0.2732613939533169,lower_clv,True,3.4769065914142416,3.4769065914142416,0.2709723967853517,3.9139591269261316,0.8741050710237799,3.4769065914142416,0.2709723967853517,0.2709723967853517,1.0,0.77,model_agreement_0.625_kelly,away,28.56056733167083,True,0.3366583541147132,2.9703703703703703,True,2.17
2024-08,data\historical_csv\football-data\2425\I2.csv:7,data\historical_csv\football-data\2425\I2.csv,7,2024-08-18,I2,Catanzaro,Sassuolo,home,0.2792208182491818,0.2652220095352568,3.6754,3.8,-2.520302615411718,0.011998808713925,6,0.025,BFE,3.0-4.0,exchange,0.2720792294716221,1.026248195393043,0.013998808713925,0.0429724717131122,1.301661970279187,0.0779642653437426,0.3634511204251968,0.1666666666666666,3.390107199216419,home:3.0-4.0,home:exchange,exchange:3.0-4.0,4.091834765752942,4.091834765752942,0.2832122619735347,lower_clv,True,3.095557764835166,3.095557764835166,0.2805015991860346,3.5936962652940543,0.9962770009177762,3.095557764835166,0.2805015991860346,0.2805015991860346,1.0,0.72,model_agreement_0.625_kelly,draw,2.8298761907741943,True,0.2797787348064814,3.5742530635564003,False,-0.72
2024-08,data\historical_csv\football-data\2425\F2.csv:13,data\historical_csv\football-data\2425\F2.csv,13,2024-08-23,F2,Laval,Guingamp,home,0.294769622197872,0.285548434504295,3.436525,3.55,-1.8705666115127475,0.007221187693577,6,0.025,BFE,3.0-4.0,exchange,0.2909916267159413,1.012983175923542,0.0092211876935769,0.0244977336529257,1.234460786396652,0.0868891301706762,0.3638815396242292,0.1666666666666666,3.302027484159153,home:3.0-4.0,home:exchange,exchange:3.0-4.0,3.7721067382362423,3.7721067382362423,0.3019681414749965,lower_clv,True,2.4541897530614643,2.4541897530614643,0.2981331134010708,3.113148245648853,1.317916985174778,2.4541897530614643,0.2981331134010708,0.2981331134010708,1.0,0.63,model_agreement_0.625_kelly,away,-1.853408385350841,False,0.2855983635057192,3.5014206234412635,False,-0.63
2024-08,data\historical_csv\football-data\2425\T1.csv:21,data\historical_csv\football-data\2425\T1.csv,21,2024-08-24,T1,Sivasspor,Eyupspor,away,0.3088809723755851,0.304211025304162,3.2932,3.4,0.1827748531666451,0.002669947071423,6,0.025,BFE,3.0-4.0,exchange,0.3036560184622859,1.0172068182272769,0.004669947071423,0.0086439350759896,1.1918597364421335,0.095407455095687,0.3681427943275549,0.1666666666666666,3.2430462771772195,away:3.0-4.0,away:exchange,exchange:3.0-4.0,3.799250052346438,3.799250052346438,0.3151926699026675,lower_clv,True,2.4226970544601434,2.4226970544601434,0.3110126838772627,3.1109735534032907,1.3765529978862947,2.4226970544601434,0.3110126838772627,0.3110126838772627,1.0,0.66,model_agreement_0.625_kelly,away,11.305767153617309,True,0.3379866608575771,2.958696646378556,True,1.51
2024-08,data\historical_csv\football-data\2425\N1.csv:23,data\historical_csv\football-data\2425\N1.csv,23,2024-08-25,N1,Groningen,AZ Alkmaar,home,0.2549838830480945,0.2473306342362368,3.962049999999999,4.1,-2.006366062431797,0.0056532488118576,6,0.025,BFE,3.0-4.0,exchange,0.2523945937078028,1.0102588938307029,0.0076532488118576,0.0221710044740016,1.3767615680856735,0.0650167806142843,0.3510520106618686,0.1666666666666666,3.481783420199158,home:3.0-4.0,home:exchange,exchange:3.0-4.0,3.89247420069244,3.89247420069244,0.2622189881518215,lower_clv,True,3.1081490050856475,3.1081490050856475,0.2602393937610218,3.5003116028890435,0.7843251956067925,3.1081490050856475,0.2602393937610218,0.2602393937610218,1.0,0.66,model_agreement_0.625_kelly,draw,7.211243303795345,True,0.2705953819456982,3.69555456863146,False,-0.66
