test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability_x,closing_fair_odds_x,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability_y,closing_fair_odds_y,won,profit
2025-02,data\historical_csv\football-data\2425\I1.csv:250,data\historical_csv\football-data\2425\I1.csv,250,2025-02-17,I1,Genoa,Venezia,draw,0.2807517703015229,0.2685027202164663,3.695,3.75,-0.7882448800156983,0.0102490500850566,5,0.0,1XB,3.0-4.0,sportsbook,2.899098571609991,2.899098571609991,0.54,0.2784819988406224,True,0.2842278487972035,3.518304079743783,half_kelly,home,5.022190130566684,True,0.2842278487972035,3.518304079743783,False,-0.54
2025-02,data\historical_csv\football-data\2425\B1.csv:210,data\historical_csv\football-data\2425\B1.csv,210,2025-02-21,B1,Mechelen,St Truiden,home,0.5298674055938342,0.5263690888220407,1.98,2.0,4.221079586764054,0.0014983167717934,5,0.0,WH,1.5-2.0,sportsbook,2.7267527540207515,2.7267527540207515,1.39,0.5188219836061654,True,0.5187408727349371,1.9277447615179024,half_kelly,draw,2.7106928015175447,True,0.5187408727349371,1.9277447615179024,False,-1.39
2025-02,data\historical_csv\football-data\2425\T1.csv:220,data\historical_csv\football-data\2425\T1.csv,220,2025-02-22,T1,Sivasspor,Konyaspor,draw,0.3030887971165121,0.287428058447005,3.3912,3.44,-2.527396819451677,0.0136607386695071,5,0.0,1XB,3.0-4.0,sportsbook,2.6522600301443298,2.6522600301443298,0.55,0.3027018755312112,True,0.3047571140346444,3.281301580662433,half_kelly,draw,3.349232511428601,True,0.3047571140346444,3.281301580662433,True,1.32
2025-02,data\historical_csv\football-data\2425\I1.csv:257,data\historical_csv\football-data\2425\I1.csv,257,2025-02-23,I1,Verona,Fiorentina,draw,0.2778006020365483,0.2718290027116946,3.7146,3.77,0.9736013472860572,0.0039715993248537,5,0.0,1XB,3.0-4.0,sportsbook,2.6190705128484355,2.6190705128484355,0.48,0.2762587371799075,True,0.290300412638772,3.444707470134825,half_kelly,home,7.834991278798231,True,0.290300412638772,3.444707470134825,False,-0.48
2025-02,data\historical_csv\football-data\2425\T1.csv:226,data\historical_csv\football-data\2425\T1.csv,226,2025-02-24,T1,Galatasaray,Fenerbahce,draw,0.2640733738454227,0.2565133064787879,4.0576,4.12,4.082839236832969,0.0055600673666347,5,0.0,1XB,4.0-5.0,sportsbook,6.843458873993308,6.843458873993308,1.12,0.2633168840545971,True,0.274459519380381,3.6435245615003513,half_kelly,draw,11.364694583783418,True,0.274459519380381,3.6435245615003513,True,3.42
2025-02,data\historical_csv\football-data\2425\P1.csv:208,data\historical_csv\football-data\2425\P1.csv,208,2025-02-24,P1,Porto,Guimaraes,draw,0.2553107788171416,0.249296068445147,4.1654,4.4,3.8417843501415305,0.0040147103719946,5,0.05,BFE,4.0-5.0,exchange,4.902801341961367,4.902801341961367,0.77,0.2518432835789153,True,0.2714056399740427,3.6845218105844815,half_kelly,draw,13.051305274787753,True,0.2714056399740427,3.6845218105844815,True,2.44
2025-03,data\historical_csv\football-data\2425\SP1.csv:255,data\historical_csv\football-data\2425\SP1.csv,255,2025-03-01,SP1,Betis,Real Madrid,draw,0.236684957877038,0.2312021769707155,4.3516,4.42,0.6099393305765588,0.0034827809063225,5,0.0,1XB,4.0-5.0,sportsbook,3.5577671688365653,3.5577671688365653,0.53,0.2379763010590048,True,0.2559168453270943,3.907519251895563,half_kelly,home,11.364774412538337,True,0.2559168453270943,3.907519251895563,False,-0.53
2025-03,data\historical_csv\football-data\2425\D1.csv:211,data\historical_csv\football-data\2425\D1.csv,211,2025-03-01,D1,Heidenheim,M'gladbach,draw,0.2716326465660794,0.2662492536972576,3.793,3.85,0.9883419273698292,0.0033833928688217,5,0.0,1XB,3.0-4.0,sportsbook,2.8992128521560634,2.8992128521560634,0.52,0.2712871417140945,True,0.2792960191646825,3.58043055175221,half_kelly,away,5.936980069164077,True,0.2792960191646825,3.58043055175221,False,-0.52
2025-03,data\historical_csv\football-data\2425\N1.csv:216,data\historical_csv\football-data\2425\N1.csv,216,2025-03-02,N1,Heracles,Zwolle,draw,0.2927048220998431,0.2802678666237266,3.5284,3.58,-1.1102859404842902,0.0104369554761165,5,0.0,1XB,3.0-4.0,sportsbook,2.9750022722956624,2.9750022722956624,0.59,0.2918461690066196,True,0.2847405455660923,3.5119691086209768,half_kelly,home,0.4678540975400214,True,0.2847405455660923,3.5119691086209768,False,-0.59
2025-03,data\historical_csv\football-data\2425\T1.csv:243,data\historical_csv\football-data\2425\T1.csv,243,2025-03-09,T1,Alanyaspor,Galatasaray,draw,0.229964934827646,0.2228922395507706,4.724,5.0,5.294293963784047,0.0050726952768753,5,0.05,BFE,4.0-5.0,exchange,8.61432027051763,8.61432027051763,1.16,0.2299202376598595,True,0.2190281489158435,4.565623208477311,half_kelly,away,3.468897547844496,True,0.2190281489158435,4.565623208477311,False,-1.16
