date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2024-04-21,8,80.0,12.6,1071.81,36.72,NORMAL,1.0,100.0,0.0445,0.0715
2024-04-22,1,10.0,10.4,1082.21,26.32,NORMAL,1.0,100.0,0.0331,0.0715
2024-04-23,7,70.0,29.8,1112.01,0.0,NORMAL,1.0,100.0,0.0237,0.0715
2024-04-24,3,30.0,11.7,1123.71,0.0,NORMAL,1.0,100.0,0.0,0.0713
2024-04-25,2,20.0,17.9,1141.61,0.0,NORMAL,1.0,100.0,0.0,0.0706
2024-04-26,7,70.0,-8.9,1132.71,8.9,NORMAL,1.0,100.0,0.0,0.0695
2024-04-27,10,100.0,-0.2,1132.51,9.1,NORMAL,1.0,100.0,0.0078,0.0695
2024-04-28,10,75.0,-6.29,1126.22,15.39,CAUTION,0.75,75.0,0.008,0.0695
2024-04-29,2,15.0,2.78,1129.0,12.61,CAUTION,0.75,75.0,0.0135,0.0695
2024-04-30,0,0.0,0.0,1129.0,12.61,NORMAL,1.0,100.0,0.011,0.0695
2024-05-01,1,10.0,-10.0,1119.0,22.61,NORMAL,1.0,100.0,0.011,0.0695
2024-05-02,1,10.0,12.5,1131.5,10.11,NORMAL,1.0,100.0,0.0198,0.0695
2024-05-03,4,40.0,23.1,1154.6,0.0,NORMAL,1.0,100.0,0.0089,0.0695
2024-05-04,6,60.0,33.3,1187.9,0.0,NORMAL,1.0,100.0,0.0,0.0687
2024-05-05,6,60.0,-19.6,1168.3,19.6,NORMAL,1.0,100.0,0.0,0.0668
2024-05-06,2,20.0,-20.0,1148.3,39.6,NORMAL,1.0,100.0,0.0165,0.0668
2024-05-07,1,7.5,7.05,1155.35,32.55,CAUTION,0.75,75.0,0.0333,0.0668
2024-05-10,5,50.0,-12.7,1142.65,45.25,NORMAL,1.0,100.0,0.0274,0.0668
2024-05-11,9,90.0,60.9,1203.55,0.0,NORMAL,1.0,100.0,0.0381,0.0668
2024-05-12,10,100.0,45.1,1248.65,0.0,NORMAL,1.0,100.0,0.0,0.0659
2024-05-13,0,0.0,0.0,1248.65,0.0,NORMAL,1.0,100.0,0.0,0.0635
2024-05-14,0,0.0,0.0,1248.65,0.0,NORMAL,1.0,100.0,0.0,0.0635
2024-05-15,4,40.0,-3.8,1244.85,3.8,NORMAL,1.0,100.0,0.0,0.0635
2024-05-16,2,20.0,-2.9,1241.95,6.7,NORMAL,1.0,100.0,0.003,0.0635
2024-05-17,4,30.0,-30.0,1211.95,36.7,CAUTION,0.75,75.0,0.0054,0.0635
2024-05-18,6,45.0,1.72,1213.67,34.98,CAUTION,0.75,75.0,0.0294,0.0629
2024-05-19,10,100.0,13.6,1227.27,21.38,NORMAL,1.0,100.0,0.028,0.0629
2024-05-20,0,0.0,0.0,1227.27,21.38,NORMAL,1.0,100.0,0.0171,0.0501
2024-05-23,0,0.0,0.0,1227.27,21.38,NORMAL,1.0,100.0,0.0171,0.0501
2024-05-24,1,10.0,-10.0,1217.27,31.38,NORMAL,1.0,100.0,0.0171,0.0501
2024-05-25,3,30.0,12.2,1229.47,19.18,NORMAL,1.0,100.0,0.0251,0.0362
2024-05-26,7,70.0,-7.7,1221.77,26.88,NORMAL,1.0,100.0,0.0154,0.0362
2024-06-02,0,0.0,0.0,1221.77,26.88,NORMAL,1.0,100.0,0.0215,0.0362
2024-07-26,0,0.0,0.0,1221.77,26.88,NORMAL,1.0,100.0,0.0215,0.0362
2024-07-27,0,0.0,0.0,1221.77,26.88,NORMAL,1.0,100.0,0.0215,0.0362
2024-07-28,2,20.0,-3.4,1218.37,30.28,NORMAL,1.0,100.0,0.0215,0.0362
2024-08-02,0,0.0,0.0,1218.37,30.28,CAUTION,0.75,75.0,0.0243,0.0362
2024-08-03,2,15.0,0.22,1218.59,30.06,CAUTION,0.75,75.0,0.0243,0.0362
2024-08-04,0,0.0,0.0,1218.59,30.06,NORMAL,1.0,100.0,0.0241,0.0362
2024-08-05,0,0.0,0.0,1218.59,30.06,NORMAL,1.0,100.0,0.0241,0.0362
2024-08-09,4,40.0,20.5,1239.09,9.56,NORMAL,1.0,100.0,0.0241,0.0362
2024-08-10,7,70.0,12.6,1251.69,0.0,NORMAL,1.0,100.0,0.0077,0.0362
2024-08-11,4,40.0,-24.9,1226.79,24.9,NORMAL,1.0,100.0,0.0,0.0362
2024-08-12,1,10.0,-10.0,1216.79,34.9,NORMAL,1.0,100.0,0.0199,0.0362
2024-08-15,1,7.5,-7.5,1209.29,42.4,CAUTION,0.75,75.0,0.0279,0.0362
2024-08-16,2,15.0,17.77,1227.06,24.63,CAUTION,0.75,75.0,0.0339,0.0362
2024-08-17,10,100.0,-10.7,1216.36,35.33,NORMAL,1.0,100.0,0.0197,0.0362
2024-08-18,8,80.0,-16.0,1200.36,51.33,NORMAL,1.0,100.0,0.0282,0.0362
2024-08-19,2,15.0,0.82,1201.18,50.51,CAUTION,0.75,75.0,0.041,0.041
2024-08-22,0,0.0,0.0,1201.18,50.51,NORMAL,1.0,100.0,0.0404,0.041
2024-08-23,4,40.0,16.8,1217.98,33.71,NORMAL,1.0,100.0,0.0404,0.041
2024-08-24,9,90.0,-33.9,1184.08,67.61,NORMAL,1.0,100.0,0.0269,0.041
2024-08-25,8,40.0,21.5,1205.58,46.11,RECOVERY,0.5,50.0,0.054,0.054
2024-08-26,1,10.0,10.4,1215.98,35.71,NORMAL,1.0,100.0,0.0368,0.054
2024-08-27,3,30.0,-12.7,1203.28,48.41,NORMAL,1.0,100.0,0.0285,0.054
2024-08-28,0,0.0,0.0,1203.28,48.41,NORMAL,1.0,100.0,0.0387,0.054
2024-08-29,1,10.0,7.9,1211.18,40.51,NORMAL,1.0,100.0,0.0387,0.054
2024-08-30,4,40.0,3.2,1214.38,37.31,NORMAL,1.0,100.0,0.0324,0.054
2024-08-31,7,70.0,-32.2,1182.18,69.51,NORMAL,1.0,100.0,0.0298,0.054
