month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,2894,13,8,1.68,-0.35,-20.83,3100.0,437.0,100.0,0.0,5.0,0.0198,5.577,0.9231,"{'draw': 10, 'away': 3}"
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,3326,10,6,1.42,-0.66,-46.48,3000.0,431.0,100.0,0.0,5.0,0.0187,1.1736,0.5,{'draw': 10}
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,3753,17,9,2.91,1.23,42.27,3100.0,312.0,1.0,0.0,5.0,0.0194,2.2121,0.4706,"{'draw': 10, 'away': 5, 'home': 2}"
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,2925,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,2943,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2025-01-01..2025-09-30,FROZEN_MODEL_EVALUATED,2912,16,10,2.93,-0.66,-22.53,3100.0,416.0,100.0,0.0,5.0,0.0224,2.2798,0.5625,"{'away': 11, 'draw': 2, 'home': 3}"
2025-11,2025-02-01..2025-10-31,FROZEN_MODEL_EVALUATED,2893,15,8,3.75,1.96,52.27,3000.0,441.0,1.0,0.0,5.0,0.022,12.3196,0.8667,"{'away': 12, 'home': 2, 'draw': 1}"
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,2874,4,4,0.51,0.23,45.1,3100.0,404.0,100.0,0.25,5.0,0.0211,16.7184,0.75,{'away': 4}
2026-01,2025-04-01..2025-12-31,FROZEN_MODEL_EVALUATED,2841,6,5,1.21,0.36,29.75,3100.0,431.0,10.0,0.25,5.0,0.0211,5.8798,0.8333,{'away': 6}
2026-02,2025-05-01..2026-01-31,FROZEN_MODEL_EVALUATED,2841,1,1,0.1,0.35,350.0,2800.0,391.0,100.0,0.25,5.0,0.021,4.5603,1.0,{'home': 1}
2026-03,2025-06-01..2026-02-28,FROZEN_MODEL_EVALUATED,2920,2,2,0.24,-0.24,-100.0,3100.0,350.0,10.0,0.25,5.0,0.0213,-0.6266,0.5,{'away': 2}
2026-04,2025-07-01..2026-03-31,FROZEN_MODEL_EVALUATED,3265,9,6,1.29,0.43,33.33,3000.0,332.0,10.0,0.0,5.0,0.0217,4.3001,0.5556,"{'away': 6, 'home': 3}"
