month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,14507,10,6,1.22,-0.28,-22.95,3000.0,2055.0,10.0,0.0,ridge,5.0,0.1075,,,0.0,,0.0,0.8734,0.4,"{'home': 1, 'draw': 9}"
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,16541,11,6,2.41,0.99,41.08,3100.0,1382.0,100.0,0.0,ridge,5.0,0.1111,,,0.0,,0.0,4.4261,0.5455,"{'draw': 4, 'away': 3, 'home': 4}"
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,12968,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2025-09,2024-12-01..2025-08-31,FROZEN_MODEL_EVALUATED,12951,5,4,0.68,0.76,111.76,3000.0,1628.0,10.0,0.0,ridge,5.0,0.1333,,,0.0,,0.0,13.3345,1.0,"{'away': 4, 'home': 1}"
2025-10,2025-01-01..2025-09-30,FROZEN_MODEL_EVALUATED,12557,12,9,1.73,-0.99,-57.23,3100.0,1739.0,10.0,0.0,ridge,5.0,0.1184,,,0.0,,0.0,4.8803,0.6667,"{'away': 11, 'home': 1}"
2025-11,2025-02-01..2025-10-31,FROZEN_MODEL_EVALUATED,12468,9,6,1.33,0.99,74.44,3000.0,1867.0,10.0,0.0,ridge,5.0,0.1126,,,0.0,,0.0,5.7903,0.7778,"{'away': 8, 'home': 1}"
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,12371,4,4,0.47,0.11,23.4,3100.0,1838.0,10.0,0.0,ridge,5.0,0.1007,,,0.0,,0.0,8.7748,0.75,{'away': 4}
2026-01,2025-04-01..2025-12-31,FROZEN_MODEL_EVALUATED,12236,7,5,1.41,0.96,68.09,3100.0,2004.0,100.0,0.0,ridge,5.0,0.0978,,,0.0,,0.0,5.7092,0.8571,"{'away': 6, 'home': 1}"
2026-02,2025-05-01..2026-01-31,FROZEN_MODEL_EVALUATED,12185,1,1,0.1,0.35,350.0,2800.0,2056.0,100.0,0.0,ridge,5.0,0.0998,,,0.0,,0.0,4.5603,1.0,{'home': 1}
2026-03,2025-06-01..2026-02-28,FROZEN_MODEL_EVALUATED,12859,1,1,0.12,-0.12,-100.0,3100.0,1870.0,10.0,0.25,ridge,5.0,0.1002,,,0.0,,0.0,-7.4484,0.0,{'away': 1}
