bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2024-02-16,2024-02-17,I2,Ascoli,Cremonese,draw,draw,3.21,10.0,True,22.1,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-02-17,2024-02-18,I2,Spezia,Cittadella,draw,home,3.1,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-02-24,2024-02-25,I2,Brescia,Reggiana,draw,draw,3.04,10.0,True,20.4,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-02-25,2024-02-26,I2,Modena,Spezia,draw,draw,3.24,10.0,True,22.4,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-02-27,2024-02-28,I2,Ascoli,Brescia,draw,draw,2.92,10.0,True,19.2,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-02-28,2024-02-29,I2,Spezia,FeralpiSalo,draw,away,3.46,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-02,2023-24
2024-03-02,2024-03-03,I2,Sudtirol,Lecco,draw,home,3.11,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-03,2023-24
2024-03-03,2024-03-04,I2,Ascoli,Reggiana,draw,draw,2.94,10.0,True,19.4,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-03,2023-24
2024-03-09,2024-03-10,I2,Pisa,Ternana,draw,home,3.49,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-03,2023-24
2024-03-11,2024-03-12,I2,Sampdoria,Ascoli,draw,home,3.03,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-03,2023-24
2024-03-16,2024-03-17,I2,Ternana,Cosenza,draw,home,3.12,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-03,2023-24
2024-04-01,2024-04-02,I2,Como,Sudtirol,draw,home,3.37,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-04,2023-24
2024-04-05,2024-04-06,I2,Bari,Cremonese,draw,away,3.14,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-04,2023-24
2024-04-06,2024-04-07,I2,Ternana,Modena,draw,draw,3.16,10.0,True,21.6,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-04,2023-24
2024-04-07,2024-04-08,I2,Ascoli,Venezia,draw,draw,3.2,10.0,True,22.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2024-04,2023-24
