month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2017-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,1908.0,3.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 456, 'market': {'matches': 152, 'log_loss': 0.992207, 'brier': 0.591649}, 'model': {'matches': 152, 'log_loss': 0.992121, 'brier': 0.591722}, 'log_loss_improvement': 8.6e-05, 'brier_improvement': -7.3e-05}",,
2018-01,ABSTAIN,no_candidates,,,,,
2018-02,ABSTAIN,no_candidates,,,,,
2018-03,ABSTAIN,model_did_not_beat_market_on_prior_validation,1650.0,36.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1401, 'validation_rows': 249, 'market': {'matches': 83, 'log_loss': 0.964897, 'brier': 0.5728}, 'model': {'matches': 83, 'log_loss': 0.966322, 'brier': 0.574784}, 'log_loss_improvement': -0.001425, 'brier_improvement': -0.001984}",,
2018-04,INVEST,,1611.0,132.0,"{'passed': True, 'reason': None, 'fit_rows': 1407, 'validation_rows': 204, 'market': {'matches': 68, 'log_loss': 0.995544, 'brier': 0.597106}, 'model': {'matches': 68, 'log_loss': 0.990259, 'brier': 0.595147}, 'log_loss_improvement': 0.005285, 'brier_improvement': 0.001959}",10.0,0.062
2018-05,INVEST,,1671.0,120.0,"{'passed': True, 'reason': None, 'fit_rows': 1428, 'validation_rows': 243, 'market': {'matches': 81, 'log_loss': 1.043372, 'brier': 0.627534}, 'model': {'matches': 81, 'log_loss': 1.041968, 'brier': 0.626999}, 'log_loss_improvement': 0.001404, 'brier_improvement': 0.000535}",6.0,0.0767
2018-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,1737.0,51.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1446, 'validation_rows': 291, 'market': {'matches': 97, 'log_loss': 0.99864, 'brier': 0.595954}, 'model': {'matches': 97, 'log_loss': 0.99852, 'brier': 0.597034}, 'log_loss_improvement': 0.00012, 'brier_improvement': -0.00108}",,
2018-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1788.0,45.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 339, 'market': {'matches': 113, 'log_loss': 1.018152, 'brier': 0.610452}, 'model': {'matches': 113, 'log_loss': 1.017101, 'brier': 0.610777}, 'log_loss_improvement': 0.001051, 'brier_improvement': -0.000325}",,
2018-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1833.0,96.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 384, 'market': {'matches': 128, 'log_loss': 1.005132, 'brier': 0.600088}, 'model': {'matches': 128, 'log_loss': 1.005164, 'brier': 0.600917}, 'log_loss_improvement': -3.2e-05, 'brier_improvement': -0.000829}",,
2018-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1929.0,93.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 480, 'market': {'matches': 160, 'log_loss': 1.0139, 'brier': 0.606518}, 'model': {'matches': 160, 'log_loss': 1.014661, 'brier': 0.607379}, 'log_loss_improvement': -0.000761, 'brier_improvement': -0.000861}",,
2018-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1974.0,75.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1437, 'validation_rows': 537, 'market': {'matches': 179, 'log_loss': 1.010204, 'brier': 0.603543}, 'model': {'matches': 179, 'log_loss': 1.011406, 'brier': 0.60425}, 'log_loss_improvement': -0.001202, 'brier_improvement': -0.000707}",,
2018-11,INVEST,,1923.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1443, 'validation_rows': 480, 'market': {'matches': 160, 'log_loss': 1.016325, 'brier': 0.609168}, 'model': {'matches': 160, 'log_loss': 1.013879, 'brier': 0.607485}, 'log_loss_improvement': 0.002446, 'brier_improvement': 0.001683}",3.0,0.1033
2018-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,1857.0,3.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1425, 'validation_rows': 432, 'market': {'matches': 144, 'log_loss': 1.028808, 'brier': 0.618822}, 'model': {'matches': 144, 'log_loss': 1.029829, 'brier': 0.618718}, 'log_loss_improvement': -0.001021, 'brier_improvement': 0.000104}",,
2019-01,ABSTAIN,no_candidates,,,,,
2019-02,ABSTAIN,no_candidates,,,,,
2019-03,ABSTAIN,model_did_not_beat_market_on_prior_validation,1644.0,21.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1401, 'validation_rows': 243, 'market': {'matches': 81, 'log_loss': 1.026621, 'brier': 0.618687}, 'model': {'matches': 81, 'log_loss': 1.028676, 'brier': 0.619276}, 'log_loss_improvement': -0.002055, 'brier_improvement': -0.000589}",,
2019-04,INVEST,,1590.0,105.0,"{'passed': True, 'reason': None, 'fit_rows': 1419, 'validation_rows': 171, 'market': {'matches': 57, 'log_loss': 1.02183, 'brier': 0.615192}, 'model': {'matches': 57, 'log_loss': 1.020586, 'brier': 0.61432}, 'log_loss_improvement': 0.001244, 'brier_improvement': 0.000872}",8.0,0.0672
2019-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,1602.0,108.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1401, 'validation_rows': 201, 'market': {'matches': 67, 'log_loss': 0.995445, 'brier': 0.597493}, 'model': {'matches': 67, 'log_loss': 0.994668, 'brier': 0.597659}, 'log_loss_improvement': 0.000777, 'brier_improvement': -0.000166}",,
2019-06,INVEST,,1683.0,69.0,"{'passed': True, 'reason': None, 'fit_rows': 1446, 'validation_rows': 237, 'market': {'matches': 79, 'log_loss': 1.031161, 'brier': 0.614538}, 'model': {'matches': 79, 'log_loss': 1.027531, 'brier': 0.61286}, 'log_loss_improvement': 0.00363, 'brier_improvement': 0.001678}",6.0,0.0878
2019-07,INVEST,,1749.0,54.0,"{'passed': True, 'reason': None, 'fit_rows': 1446, 'validation_rows': 303, 'market': {'matches': 101, 'log_loss': 1.021087, 'brier': 0.607405}, 'model': {'matches': 101, 'log_loss': 1.019156, 'brier': 0.606901}, 'log_loss_improvement': 0.001931, 'brier_improvement': 0.000504}",5.0,0.0741
2019-08,INVEST,,1803.0,105.0,"{'passed': True, 'reason': None, 'fit_rows': 1446, 'validation_rows': 357, 'market': {'matches': 119, 'log_loss': 1.007784, 'brier': 0.599139}, 'model': {'matches': 119, 'log_loss': 1.004237, 'brier': 0.597478}, 'log_loss_improvement': 0.003547, 'brier_improvement': 0.001661}",10.0,0.0606
2019-09,INVEST,,1908.0,90.0,"{'passed': True, 'reason': None, 'fit_rows': 1446, 'validation_rows': 462, 'market': {'matches': 154, 'log_loss': 1.020831, 'brier': 0.608192}, 'model': {'matches': 154, 'log_loss': 1.017368, 'brier': 0.606438}, 'log_loss_improvement': 0.003463, 'brier_improvement': 0.001754}",6.0,0.094
2019-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1998.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1467, 'validation_rows': 531, 'market': {'matches': 177, 'log_loss': 1.028112, 'brier': 0.615156}, 'model': {'matches': 177, 'log_loss': 1.027916, 'brier': 0.615796}, 'log_loss_improvement': 0.000196, 'brier_improvement': -0.00064}",,
2019-11,INVEST,,1929.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1431, 'validation_rows': 498, 'market': {'matches': 166, 'log_loss': 1.046556, 'brier': 0.626818}, 'model': {'matches': 166, 'log_loss': 1.044075, 'brier': 0.62559}, 'log_loss_improvement': 0.002481, 'brier_improvement': 0.001228}",8.0,0.0712
2019-12,INVEST,,1878.0,30.0,"{'passed': True, 'reason': None, 'fit_rows': 1416, 'validation_rows': 462, 'market': {'matches': 154, 'log_loss': 1.018984, 'brier': 0.610868}, 'model': {'matches': 154, 'log_loss': 1.018468, 'brier': 0.610605}, 'log_loss_improvement': 0.000516, 'brier_improvement': 0.000263}",2.0,0.0406
2020-01,ABSTAIN,no_candidates,,,,,
2020-02,ABSTAIN,no_candidates,,,,,
2020-03,ABSTAIN,no_candidates,,,,,
2020-04,ABSTAIN,no_candidates,,,,,
2020-05,ABSTAIN,no_candidates,,,,,
2020-06,ABSTAIN,insufficient_prior_validation_rows,1452.0,96.0,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 1422, 'validation_rows': 30}",,
2020-07,ABSTAIN,insufficient_prior_validation_rows,1545.0,168.0,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 1449, 'validation_rows': 96}",,
2020-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,1713.0,123.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 264, 'market': {'matches': 88, 'log_loss': 0.964272, 'brier': 0.572226}, 'model': {'matches': 88, 'log_loss': 0.965939, 'brier': 0.57462}, 'log_loss_improvement': -0.001667, 'brier_improvement': -0.002394}",,
2020-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1836.0,69.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1449, 'validation_rows': 387, 'market': {'matches': 129, 'log_loss': 0.967487, 'brier': 0.574606}, 'model': {'matches': 129, 'log_loss': 0.975182, 'brier': 0.579636}, 'log_loss_improvement': -0.007695, 'brier_improvement': -0.00503}",,
2020-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1869.0,75.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1413, 'validation_rows': 456, 'market': {'matches': 152, 'log_loss': 0.963395, 'brier': 0.570564}, 'model': {'matches': 152, 'log_loss': 0.971083, 'brier': 0.575336}, 'log_loss_improvement': -0.007688, 'brier_improvement': -0.004772}",,
2020-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,1812.0,90.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1281, 'validation_rows': 531, 'market': {'matches': 177, 'log_loss': 0.960806, 'brier': 0.568419}, 'model': {'matches': 177, 'log_loss': 0.968791, 'brier': 0.57347}, 'log_loss_improvement': -0.007985, 'brier_improvement': -0.005051}",,
2020-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,1782.0,99.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1161, 'validation_rows': 621, 'market': {'matches': 207, 'log_loss': 0.96057, 'brier': 0.569008}, 'model': {'matches': 207, 'log_loss': 0.970483, 'brier': 0.575197}, 'log_loss_improvement': -0.009913, 'brier_improvement': -0.006189}",,
2021-01,ABSTAIN,no_candidates,,,,,
2021-02,ABSTAIN,no_candidates,,,,,
2021-03,ABSTAIN,no_candidates,,,,,
2021-04,ABSTAIN,no_candidates,,,,,
2021-05,INVEST,,1521.0,123.0,"{'passed': True, 'reason': None, 'fit_rows': 1332, 'validation_rows': 189, 'market': {'matches': 63, 'log_loss': 0.947374, 'brier': 0.562894}, 'model': {'matches': 63, 'log_loss': 0.930891, 'brier': 0.55461}, 'log_loss_improvement': 0.016483, 'brier_improvement': 0.008284}",8.0,0.0697
2021-06,INVEST,,1572.0,102.0,"{'passed': True, 'reason': None, 'fit_rows': 1350, 'validation_rows': 222, 'market': {'matches': 74, 'log_loss': 0.968838, 'brier': 0.573902}, 'model': {'matches': 74, 'log_loss': 0.957896, 'brier': 0.567464}, 'log_loss_improvement': 0.010942, 'brier_improvement': 0.006438}",9.0,0.0647
2021-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,1671.0,99.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1446, 'validation_rows': 225, 'market': {'matches': 75, 'log_loss': 1.003054, 'brier': 0.59799}, 'model': {'matches': 75, 'log_loss': 1.008276, 'brier': 0.600118}, 'log_loss_improvement': -0.005222, 'brier_improvement': -0.002128}",,
