month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2022-10,2022-01-01..2022-09-30,FROZEN_MODEL_EVALUATED,3663,6,6,1.77,0.31,17.51,3100.0,732.0,100.0,0.0,ridge,5.0,8.6005,,,0.0,0.232775,0.0,5.8488,1.0,"{'home': 2, 'away': 1, 'draw': 3}"
2022-11,2022-02-01..2022-10-31,FROZEN_MODEL_EVALUATED,3944,5,4,0.76,-0.34,-44.74,3000.0,340.0,100.0,0.0,ridge,5.0,8.5285,,,0.0,0.230574,0.0,1.723,0.6,"{'draw': 2, 'home': 3}"
2022-12,2022-03-01..2022-11-30,FROZEN_MODEL_EVALUATED,3639,1,1,0.15,-0.15,-100.0,3100.0,259.0,1.0,0.0,ridge,5.0,8.3789,,,0.0,0.231294,0.0,9.3001,1.0,{'away': 1}
2023-01,2022-04-01..2022-12-31,FROZEN_MODEL_EVALUATED,3409,5,5,0.67,-0.12,-17.91,3100.0,500.0,1.0,0.0,ridge,5.0,8.2039,,,0.0,0.225217,0.0,6.954,1.0,"{'away': 2, 'home': 2, 'draw': 1}"
2023-02,2022-05-01..2023-01-31,FROZEN_MODEL_EVALUATED,3232,12,9,1.74,-0.66,-37.93,2800.0,560.0,100.0,0.0,ridge,5.0,8.2166,,,0.0,0.225071,0.0,4.4552,0.5833,"{'away': 3, 'draw': 4, 'home': 5}"
2023-03,2022-06-01..2023-02-28,FROZEN_MODEL_EVALUATED,3447,9,6,1.69,-1.03,-60.95,3100.0,437.0,100.0,0.0,ridge,5.0,7.9958,,,0.0,0.221253,0.0,-1.1531,0.5556,"{'away': 5, 'draw': 3, 'home': 1}"
2023-04,2022-07-01..2023-03-31,FROZEN_MODEL_EVALUATED,3884,12,10,3.16,0.58,18.35,3000.0,656.0,10.0,0.0,ridge,5.0,7.9517,,,0.0,0.225185,0.0,5.4567,0.75,"{'home': 5, 'away': 4, 'draw': 3}"
2023-05,2022-08-01..2023-04-30,FROZEN_MODEL_EVALUATED,4476,3,3,0.92,0.35,38.04,3100.0,431.0,100.0,0.25,ridge,5.0,8.0736,,,0.0,0.224863,0.0,2.5907,0.6667,"{'draw': 1, 'home': 2}"
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,3239,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,3287,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
