month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,12122,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,12326,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-10,2023-01-01..2023-09-30,ABSTAIN_INNER_VALIDATION,13303,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2023-11,2023-02-01..2023-10-31,ABSTAIN_INNER_VALIDATION,13302,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2023-12,2023-03-01..2023-11-30,ABSTAIN_INNER_VALIDATION,12753,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,13261,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-02,2023-05-01..2024-01-31,ABSTAIN_INNER_VALIDATION,12335,0,0,0.0,0.0,0.0,2900.0,,,,,,,,,,,,,,
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,12790,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,14327,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-05,2023-08-01..2024-04-30,ABSTAIN_INNER_VALIDATION,16345,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,12207,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,12173,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2024-10,2024-01-01..2024-09-30,FROZEN_MODEL_EVALUATED,11707,7,6,1.34,-0.87,-64.93,3100.0,1801.0,10.0,0.0,ridge,5.0,8.2214,,,0.0,,0.0,6.2949,0.7143,"{'away': 5, 'home': 2}"
2024-11,2024-02-01..2024-10-31,FROZEN_MODEL_EVALUATED,11948,1,1,0.12,0.24,200.0,3000.0,1694.0,10.0,0.5,ridge,5.0,8.4006,,,0.0,,0.0,3.4052,1.0,{'draw': 1}
2024-12,2024-03-01..2024-11-30,FROZEN_MODEL_EVALUATED,11646,1,1,0.17,0.5,294.12,3100.0,2022.0,100.0,0.25,ridge,5.0,7.5338,,,0.0,,0.0,21.2515,1.0,{'home': 1}
2025-01,2024-04-01..2024-12-31,FROZEN_MODEL_EVALUATED,11986,10,7,1.14,0.83,72.81,3100.0,1828.0,100.0,0.0,ridge,5.0,7.4956,,,0.0,,0.0,4.4595,0.7,"{'draw': 8, 'away': 2}"
2025-02,2024-05-01..2025-01-31,FROZEN_MODEL_EVALUATED,11748,18,11,2.88,1.62,56.25,2800.0,1963.0,100.0,0.0,ridge,5.0,7.3537,,,0.0,,0.0,4.2348,0.8889,"{'away': 1, 'draw': 15, 'home': 2}"
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,12569,1,1,0.16,-0.16,-100.0,3100.0,1973.0,10.0,0.25,ridge,5.0,7.2931,,,0.0,,0.0,5.5663,1.0,{'draw': 1}
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,14506,7,4,0.85,-0.48,-56.47,3000.0,2055.0,10.0,0.0,ridge,5.0,6.9965,,,0.0,,0.0,1.6528,0.4286,{'draw': 7}
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,16540,10,6,1.96,0.92,46.94,3100.0,1382.0,1.0,0.0,ridge,5.0,7.224,,,0.0,,0.0,3.6817,0.5,"{'draw': 4, 'away': 2, 'home': 4}"
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,12967,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,12950,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2025-10,2025-01-01..2025-09-30,FROZEN_MODEL_EVALUATED,12556,13,11,1.98,-1.55,-78.28,3100.0,1739.0,10.0,0.0,ridge,5.0,7.7386,,,0.0,,0.0,4.9124,0.6923,"{'away': 12, 'home': 1}"
2025-11,2025-02-01..2025-10-31,FROZEN_MODEL_EVALUATED,12467,12,9,1.72,0.7,40.7,3000.0,1866.0,10.0,0.0,ridge,5.0,7.337,,,0.0,,0.0,2.0701,0.6667,"{'away': 11, 'home': 1}"
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,12370,10,8,1.13,-0.11,-9.73,3100.0,1838.0,100.0,0.0,ridge,5.0,6.6022,,,0.0,,0.0,8.2455,0.8,"{'away': 9, 'home': 1}"
2026-01,2025-04-01..2025-12-31,FROZEN_MODEL_EVALUATED,12235,10,9,1.68,0.29,17.26,3100.0,2004.0,100.0,0.0,ridge,5.0,6.3939,,,0.0,,0.0,4.5625,0.8,{'away': 10}
2026-02,2025-05-01..2026-01-31,FROZEN_MODEL_EVALUATED,12184,0,0,0.0,0.0,0.0,2800.0,2056.0,100.0,0.25,ridge,5.0,6.5632,,,0.0,,0.0,,,{}
2026-03,2025-06-01..2026-02-28,FROZEN_MODEL_EVALUATED,12858,5,3,0.59,0.24,40.68,3100.0,1870.0,100.0,0.25,ridge,5.0,6.5777,,,0.0,,0.0,5.5334,0.6,{'away': 5}
2026-04,2025-07-01..2026-03-31,FROZEN_MODEL_EVALUATED,14702,8,5,1.05,0.11,10.48,3000.0,2071.0,100.0,0.0,ridge,5.0,6.6563,,,0.0,,0.0,6.9089,0.625,"{'away': 6, 'home': 2}"
2026-05,2025-08-01..2026-04-30,FROZEN_MODEL_EVALUATED,16731,3,2,0.46,0.48,104.35,3100.0,1343.0,100.0,0.0,ridge,5.0,6.7435,,,0.0,,0.0,5.5509,0.3333,"{'home': 1, 'away': 2}"
