rules,rule_count,max_pairwise_monthly_profit_corr,bets,staked,profit,roi_pct,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
"['PS_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)']",3,0.1356,2054,2054.0,223.14,10.86,86,62,25,14,25,14,0.56
"['PS_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.0841,2285,2285.0,230.28,10.08,90,60,25,14,25,14,0.56
"['PS_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)']",3,0.1041,1716,1716.0,171.92,10.02,82,71,25,14,25,14,0.56
"['PS_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.1187,1603,1603.0,160.26,10.0,86,61,25,14,25,14,0.56
"['PS_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)']",3,0.1041,1663,1663.0,165.05,9.92,82,71,25,14,25,14,0.56
"['PS_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.0841,1703,1703.0,167.85,9.86,79,69,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.1235,1875,1875.0,176.5,9.41,87,62,25,14,25,14,0.56
"['PS_CLOSE::league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)', 'PS_CLOSE::league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)']",3,0.1245,1770,1770.0,166.17,9.39,81,64,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)']",3,0.1702,2049,2049.0,192.25,9.38,83,66,25,14,25,14,0.56
"['PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)']",3,0.1859,1996,1996.0,185.38,9.29,85,64,25,14,25,14,0.56
