test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2025-02,data\historical_csv\football-data\2425\I1.csv:243,data\historical_csv\football-data\2425\I1.csv,243,2025-02-15,I1,Lazio,Napoli,draw,0.3062823621568367,0.3002109049648068,3.3912,3.44,1.8075220916652812,0.004071457192029867,5,0.0,1XB,3.0-4.0,sportsbook,3.844419511917996,3.844419511917996,0.16,0.3062173257605509,True,0.3111227037507471,3.2141659478542595,5.50793129595335,True,draw,True,0.38
2025-02,data\historical_csv\football-data\2425\I2.csv:256,data\historical_csv\football-data\2425\I2.csv,256,2025-02-15,I2,Sudtirol,Sampdoria,draw,0.3244180040943885,0.31384582319497106,3.1364,3.18,-1.5653960131292721,0.008572180899417407,5,0.0,1XB,3.0-4.0,sportsbook,2.2295297530270077,2.2295297530270077,0.1,0.32594544622186905,True,0.3305234728694618,3.025503729942181,3.665382030777997,True,home,False,-0.1
2025-02,data\historical_csv\football-data\2425\I2.csv:260,data\historical_csv\football-data\2425\I2.csv,260,2025-02-16,I2,Palermo,Mantova,draw,0.28238404107963694,0.27072519873201645,3.7636,3.82,1.8901357947817,0.00965884234762049,5,0.0,1XB,3.0-4.0,sportsbook,6.12578706658894,6.12578706658894,0.22,0.2819794533600514,True,0.271874817174701,3.6781633929611846,2.3228061918704634,True,draw,True,0.61
2025-02,data\historical_csv\football-data\2425\I2.csv:259,data\historical_csv\football-data\2425\I2.csv,259,2025-02-16,I2,Juve Stabia,Cosenza,home,0.4811431133547002,0.46592543512402534,2.176,2.2,1.3853746829879166,0.013217678230674896,5,0.0,WH,2.0-3.0,sportsbook,4.570131943741261,4.570131943741261,0.39,0.48056126812381084,True,0.4481010114668499,2.2316396848257933,-2.4932199048134596,False,home,True,0.46
2025-02,data\historical_csv\football-data\2425\E1.csv:393,data\historical_csv\football-data\2425\E1.csv,393,2025-02-17,E1,Leeds,Sunderland,draw,0.23127079504758852,0.22685964883067855,4.6309000000000005,4.8,5.05643477699893,0.0024111462169099694,4,0.025,BFE,4.0-5.0,exchange,5.197939926179901,5.197939926179901,0.14,0.22716521610524928,True,0.23517302207554197,4.2521884150418465,8.906274792962732,True,home,False,-0.14
2025-02,data\historical_csv\football-data\2425\I1.csv:250,data\historical_csv\football-data\2425\I1.csv,250,2025-02-17,I1,Genoa,Venezia,draw,0.2802803039263192,0.2687302498891396,3.695,3.75,-0.70417266596291,0.009550054037179576,5,0.0,1XB,3.0-4.0,sportsbook,3.429905825259326,3.429905825259326,0.13,0.27991855433087776,True,0.28366735049793573,3.525255896544488,4.815086008987257,True,home,False,-0.13
2025-02,data\historical_csv\football-data\2425\B1.csv:210,data\historical_csv\football-data\2425\B1.csv,210,2025-02-21,B1,Mechelen,St Truiden,home,0.5306238634425482,0.5260558996392607,1.98,2.0,4.159068128573606,0.002567963803287489,5,0.0,WH,1.5-2.0,sportsbook,3.167251869603847,3.167251869603847,0.32,0.5210467266141608,True,0.5191883950782351,1.9260831125651656,2.799302225490541,True,draw,False,-0.32
2025-02,data\historical_csv\football-data\2425\D1.csv:200,data\historical_csv\football-data\2425\D1.csv,200,2025-02-21,D1,Freiburg,Werder Bremen,draw,0.2790610534513509,0.2730637601384135,3.7047999999999996,3.76,1.1646618560794186,0.003997293312937395,5,0.0,1XB,3.0-4.0,sportsbook,2.8825566720046694,2.8825566720046694,0.11,0.27770070360614524,True,0.27727149633866616,3.606573388194853,2.7235439635490355,True,home,False,-0.11
2025-02,data\historical_csv\football-data\2425\T1.csv:220,data\historical_csv\football-data\2425\T1.csv,220,2025-02-22,T1,Sivasspor,Konyaspor,draw,0.3030450552639176,0.28731946492375393,3.3912,3.44,-2.5642230550565692,0.01372559034016369,5,0.0,1XB,3.0-4.0,sportsbook,3.0327371366936657,3.0327371366936657,0.13,0.303823829726037,True,0.3047571140346444,3.281301580662433,3.3492325114286015,True,draw,True,0.31
2025-02,data\historical_csv\football-data\2425\I1.csv:257,data\historical_csv\football-data\2425\I1.csv,257,2025-02-23,I1,Verona,Fiorentina,draw,0.2775296570005414,0.2711563545653038,3.7146,3.77,0.723739466827733,0.004373302435237616,5,0.0,1XB,3.0-4.0,sportsbook,3.1716755150968647,3.1716755150968647,0.12,0.2777463939996147,True,0.290039593252675,3.447805138551639,7.738107309638642,True,home,False,-0.12
2025-02,data\historical_csv\football-data\2425\T1.csv:226,data\historical_csv\football-data\2425\T1.csv,226,2025-02-24,T1,Galatasaray,Fenerbahce,draw,0.2641080870802544,0.25649655387165815,4.0576,4.12,4.076041698964006,0.00561153320859628,5,0.0,1XB,4.0-5.0,sportsbook,7.151819403920925,7.151819403920925,0.23,0.26407684198521525,True,0.27427523864862136,3.6459725818746507,11.289920834064592,True,draw,True,0.7
2025-02,data\historical_csv\football-data\2425\P1.csv:208,data\historical_csv\football-data\2425\P1.csv,208,2025-02-24,P1,Porto,Guimaraes,draw,0.25531077881714165,0.249296068445147,4.2487,4.4,5.91842060028962,0.004014710371994622,5,0.025,BFE,4.0-5.0,exchange,6.918989521070586,6.918989521070586,0.21,0.25165106861174147,True,0.2710770271856528,3.6889883675577164,15.172496540368318,True,draw,True,0.68
2025-03,data\historical_csv\football-data\2425\SP1.csv:255,data\historical_csv\football-data\2425\SP1.csv,255,2025-03-01,SP1,Betis,Real Madrid,draw,0.23643560843876102,0.23132251300962806,4.3515999999999995,4.42,0.6623047612697386,0.0031130954291329676,5,0.0,1XB,4.0-5.0,sportsbook,3.227833723960919,3.227833723960919,0.1,0.2372181122436826,True,0.2556066194865565,3.9122617481844775,11.229776535769908,True,home,False,-0.1
2025-03,data\historical_csv\football-data\2425\D1.csv:211,data\historical_csv\football-data\2425\D1.csv,211,2025-03-01,D1,Heidenheim,M'gladbach,draw,0.2714877791384305,0.26588960582137633,3.793,3.85,0.8519274880480543,0.0035981733170541244,5,0.0,1XB,3.0-4.0,sportsbook,2.914952756542612,2.914952756542612,0.1,0.27132863895740206,True,0.2790845855396229,3.5831430749443003,5.85678329517898,True,away,False,-0.1
2025-03,data\historical_csv\football-data\2425\N1.csv:216,data\historical_csv\football-data\2425\N1.csv,216,2025-03-02,N1,Heracles,Zwolle,draw,0.2925455205583096,0.2798723846167155,3.5284,3.58,-1.2498278118381112,0.010673135941594133,5,0.0,1XB,3.0-4.0,sportsbook,2.6608998801147212,2.6608998801147212,0.11,0.29095595703467503,True,0.28474054556609235,3.5119691086209768,0.4678540975400214,True,home,False,-0.11
2025-03,data\historical_csv\football-data\2425\E2.csv:422,data\historical_csv\football-data\2425\E2.csv,422,2025-03-08,E2,Stevenage,Mansfield,away,0.2418305237738741,0.2339819074612719,4.4398,4.6,3.8832872746555003,0.005848616312602193,5,0.025,BFE,4.0-5.0,exchange,4.6932910267025,4.6932910267025,0.14,0.23580632241700641,True,0.25823449411782784,3.8724493542823044,14.650950698433206,True,draw,False,-0.14
2025-03,data\historical_csv\football-data\2425\P1.csv:220,data\historical_csv\football-data\2425\P1.csv,220,2025-03-08,P1,Estoril,Farense,away,0.26046511627906976,0.24982981772470142,4.153149999999999,4.3,3.758070748334341,0.008635298554368351,5,0.025,BFE,4.0-5.0,exchange,4.390969756328039,4.390969756328039,0.14,0.2513537188792316,True,0.30463036869463,3.282666807925601,26.51756157441023,True,draw,False,-0.14
2025-03,data\historical_csv\football-data\2425\D1.csv:223,data\historical_csv\football-data\2425\D1.csv,223,2025-03-08,D1,Wolfsburg,St Pauli,draw,0.25939854851338584,0.2532417376906059,3.9792,4.04,0.7699522618458854,0.004156810822779986,5,0.0,1XB,3.0-4.0,sportsbook,3.1050774109550305,3.1050774109550305,0.1,0.2591100658699111,True,0.27096901298367737,3.6904588793709707,7.823989646464891,True,draw,True,0.3
2025-03,data\historical_csv\football-data\2425\T1.csv:243,data\historical_csv\football-data\2425\T1.csv,243,2025-03-09,T1,Alanyaspor,Galatasaray,draw,0.22996493482764602,0.22289223955077064,4.822,5.0,7.478637911381614,0.005072695276875378,5,0.025,BFE,4.0-5.0,exchange,9.860504377284101,9.860504377284101,0.26,0.22783182160365842,True,0.2189263566889847,4.567746045400275,5.566289195428409,True,away,False,-0.26
2025-03,data\historical_csv\football-data\2425\P1.csv:223,data\historical_csv\football-data\2425\P1.csv,223,2025-03-09,P1,Casa Pia,Sp Lisbon,draw,0.22271512115733622,0.21498520674190474,4.72645,4.9,1.6116830405275673,0.00572991441543147,5,0.025,BFE,4.0-5.0,exchange,4.212070199198802,4.212070199198802,0.11,0.22048698325212115,True,0.21874694622719842,4.571492389938848,3.3896503995541893,True,away,False,-0.11
2025-03,data\historical_csv\football-data\2425\T1.csv:241,data\historical_csv\football-data\2425\T1.csv,241,2025-03-09,T1,Eyupspor,Konyaspor,draw,0.28951500304864275,0.283325793317121,3.5284,3.58,-0.03132708598703182,0.004189209731521767,5,0.0,1XB,3.0-4.0,sportsbook,2.86145054699826,2.86145054699826,0.11,0.2915243468625957,True,0.28625369507135967,3.493404686883472,1.0017537689785527,True,home,False,-0.11
2025-03,data\historical_csv\football-data\2425\I2.csv:295,data\historical_csv\football-data\2425\I2.csv,295,2025-03-15,I2,Frosinone,Brescia,draw,0.35732198390847764,0.3537496576184573,2.8536699999999997,2.94,0.9484785456062905,0.0015723262900203428,5,0.025,BFE,2.0-3.0,exchange,2.154866548251819,2.154866548251819,0.12,0.3579771541497504,True,0.3456517571730437,2.893085249091819,-1.3623950108000549,False,home,False,-0.12
2025-03,data\historical_csv\football-data\2425\T1.csv:257,data\historical_csv\football-data\2425\T1.csv,257,2025-03-28,T1,Konyaspor,Gaziantep,draw,0.28544782852785905,0.28051487104522116,3.597,3.65,0.9011991149660448,0.0029329574826378714,4,0.0,1XB,3.0-4.0,sportsbook,3.139050191927141,3.139050191927141,0.12,0.28673630856804877,True,0.2859373373402447,3.4972697490362115,2.8516602412860026,True,home,False,-0.12
2025-03,data\historical_csv\football-data\2425\I1.csv:300,data\historical_csv\football-data\2425\I1.csv,300,2025-03-31,I1,Verona,Parma,draw,0.3091434557226569,0.29552521511045043,3.352,3.4,-0.9399478949770224,0.011618240612206463,4,0.0,1XB,3.0-4.0,sportsbook,3.476756710644815,3.476756710644815,0.15,0.3087015414995371,True,0.32102126070203285,3.115058478722333,7.60632658732141,True,draw,True,0.35
2025-04,data\historical_csv\football-data\2425\B1.csv:283,data\historical_csv\football-data\2425\B1.csv,283,2025-04-27,B1,Gent,Anderlecht,draw,0.30564700017842655,0.28697405816791577,3.4793999999999996,3.53,-0.15024620105540398,0.016672942010510807,4,0.0,1XB,3.0-4.0,sportsbook,7.258240963896601,5.3217991550118136,0.21,0.3027010379807203,True,0.2851052755817808,3.507476310143394,-0.800470414075205,False,away,False,-0.21
2025-04,data\historical_csv\football-data\2425\I1.csv:341,data\historical_csv\football-data\2425\I1.csv,341,2025-04-28,I1,Verona,Cagliari,draw,0.3486250547922202,0.341441124880937,2.9208,2.96,-0.2718762447759371,0.005183929911283274,4,0.0,1XB,2.0-3.0,sportsbook,4.310613475663226,2.3741716667784387,0.12,0.3505004507901207,True,0.3466573381935174,2.8846930089844562,1.2516753395625635,True,away,False,-0.12
2025-05,data\historical_csv\football-data\2425\I2.csv:349,data\historical_csv\football-data\2425\I2.csv,349,2025-05-01,I2,Spezia,Salernitana,draw,0.3046652295201723,0.2867829816187305,3.45,3.5,-1.0598713415379657,0.015882247901441743,4,0.0,B365,3.0-4.0,sportsbook,3.5865154664047036,3.5865154664047036,0.15,0.3002507694678397,True,0.2840748226305683,3.5201993289650773,-1.9941861924539284,False,home,False,-0.15
2025-05,data\historical_csv\football-data\2425\I1.csv:344,data\historical_csv\football-data\2425\I1.csv,344,2025-05-03,I1,Parma,Como,draw,0.28800909862177326,0.2816214507348417,3.5382,3.59,-0.356698300998326,0.004387647886931577,4,0.0,1XB,3.0-4.0,sportsbook,3.3359694672974793,3.3359694672974793,0.13,0.29205802234836215,True,0.28895799398076094,3.460710625180284,2.23911743027283,True,away,False,-0.13
