date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,won,unit_profit
2021-07-31,2021-07,SC0,Hearts,Celtic,home,home,4.5,"[4.0,5.0)",0.20955315870570107,"[0.20,0.28)",market_non_favorite,True,3.5
2021-07-31,2021-07,SC0,Hearts,Celtic,draw,home,4.0,"[4.0,5.0)",0.2357473035439137,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,SC0,Hearts,Celtic,away,home,1.7,"[1.0,1.8)",0.5546995377503853,"[0.55,1.00]",market_favorite,False,-1.0
2021-07-31,2021-07,SC0,Dundee,St Mirren,home,draw,2.55,"[2.2,2.8)",0.3670872875169465,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-31,2021-07,SC0,Dundee,St Mirren,draw,draw,3.2,"[2.8,3.5)",0.2925226822400667,"[0.28,0.34)",market_non_favorite,True,2.2
2021-07-31,2021-07,SC0,Dundee,St Mirren,away,draw,2.75,"[2.2,2.8)",0.34039003024298675,"[0.34,0.42)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Sochaux,Le Havre,home,away,2.25,"[2.2,2.8)",0.41929720071471116,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-31,2021-07,F2,Sochaux,Le Havre,draw,away,3.3,"[2.8,3.5)",0.2858844550327576,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Sochaux,Le Havre,away,away,3.2,"[2.8,3.5)",0.2948183442525313,"[0.28,0.34)",market_non_favorite,True,2.2
2021-07-31,2021-07,F2,Niort,Caen,home,away,2.6,"[2.2,2.8)",0.3603002502085071,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-31,2021-07,F2,Niort,Caen,draw,away,3.2,"[2.8,3.5)",0.29274395329441205,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Niort,Caen,away,away,2.7,"[2.2,2.8)",0.3469557964970809,"[0.34,0.42)",market_non_favorite,True,1.7000000000000002
2021-07-31,2021-07,F2,Nimes,Dijon,home,home,2.0,"[1.8,2.2)",0.47291361639824303,"[0.42,0.55)",market_favorite,True,1.0
2021-07-31,2021-07,F2,Nimes,Dijon,draw,home,3.4,"[2.8,3.5)",0.2781844802342606,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Nimes,Dijon,away,home,3.8,"[3.5,4.0)",0.24890190336749632,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Nancy,Toulouse,home,away,3.6,"[3.5,4.0)",0.26212861978187285,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Nancy,Toulouse,draw,away,3.4,"[2.8,3.5)",0.27754795035727714,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Nancy,Toulouse,away,away,2.05,"[1.8,2.2)",0.4603234298608499,"[0.42,0.55)",market_favorite,True,1.0499999999999998
2021-07-31,2021-07,F2,Paris FC,Dunkerque,home,home,1.61,"[1.0,1.8)",0.589043785588062,"[0.55,1.00]",market_favorite,True,0.6100000000000001
2021-07-31,2021-07,F2,Paris FC,Dunkerque,draw,home,3.75,"[3.5,4.0)",0.252896131945808,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Paris FC,Dunkerque,away,home,6.0,"[5.0,7.0)",0.15806008246613,"[0.00,0.20)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Ajaccio,Amiens,home,home,1.9,"[1.8,2.2)",0.4909188994785111,"[0.42,0.55)",market_favorite,True,0.8999999999999999
2021-07-31,2021-07,F2,Ajaccio,Amiens,draw,home,3.25,"[2.8,3.5)",0.2869987412335911,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Ajaccio,Amiens,away,home,4.2,"[4.0,5.0)",0.22208235928789785,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,F2,Guingamp,Valenciennes,home,draw,1.85,"[1.8,2.2)",0.511449105799766,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-31,2021-07,F2,Guingamp,Valenciennes,draw,draw,3.4,"[2.8,3.5)",0.27828848403810796,"[0.20,0.28)",market_non_favorite,True,2.4
2021-07-31,2021-07,F2,Guingamp,Valenciennes,away,draw,4.5,"[4.0,5.0)",0.21026241016212602,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,B1,Charleroi,St Truiden,home,draw,1.95,"[1.8,2.2)",0.46933543679747586,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-31,2021-07,B1,Charleroi,St Truiden,draw,draw,3.4,"[2.8,3.5)",0.2691776769867876,"[0.20,0.28)",market_non_favorite,True,2.4
2021-07-31,2021-07,B1,Charleroi,St Truiden,away,draw,3.5,"[3.5,4.0)",0.2614868862157365,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,B1,Eupen,Anderlecht,home,draw,3.25,"[2.8,3.5)",0.2863961813842482,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,B1,Eupen,Anderlecht,draw,draw,3.75,"[3.5,4.0)",0.24821002386634847,"[0.20,0.28)",market_non_favorite,True,2.75
2021-07-31,2021-07,B1,Eupen,Anderlecht,away,draw,2.0,"[1.8,2.2)",0.46539379474940334,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-31,2021-07,B1,Seraing,Mechelen,home,home,3.4,"[2.8,3.5)",0.2691776769867876,"[0.20,0.28)",market_non_favorite,True,2.4
2021-07-31,2021-07,B1,Seraing,Mechelen,draw,home,3.5,"[3.5,4.0)",0.2614868862157365,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,B1,Seraing,Mechelen,away,home,1.95,"[1.8,2.2)",0.46933543679747586,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-31,2021-07,B1,Cercle Brugge,Oud-Heverlee Leuven,home,draw,2.15,"[1.8,2.2)",0.4257095158597663,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-31,2021-07,B1,Cercle Brugge,Oud-Heverlee Leuven,draw,draw,3.4,"[2.8,3.5)",0.2691986644407346,"[0.20,0.28)",market_non_favorite,True,2.4
2021-07-31,2021-07,B1,Cercle Brugge,Oud-Heverlee Leuven,away,draw,3.0,"[2.8,3.5)",0.30509181969949917,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,D2,Hannover,Hansa Rostock,home,away,1.8,"[1.8,2.2)",0.5275084060230983,"[0.42,0.55)",market_favorite,False,-1.0
2021-07-31,2021-07,D2,Hannover,Hansa Rostock,draw,away,3.75,"[3.5,4.0)",0.25320403489108717,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,D2,Hannover,Hansa Rostock,away,away,4.33,"[4.0,5.0)",0.21928755908581452,"[0.20,0.28)",market_non_favorite,True,3.33
2021-07-31,2021-07,D2,Ingolstadt,Heidenheim,home,away,3.0,"[2.8,3.5)",0.31097560975609756,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,D2,Ingolstadt,Heidenheim,draw,away,3.4,"[2.8,3.5)",0.27439024390243905,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,D2,Ingolstadt,Heidenheim,away,away,2.25,"[2.2,2.8)",0.4146341463414634,"[0.34,0.42)",market_favorite,True,1.25
2021-07-31,2021-07,D2,Regensburg,Sandhausen,home,home,2.2,"[2.2,2.8)",0.43220338983050843,"[0.42,0.55)",market_favorite,True,1.2000000000000002
2021-07-31,2021-07,D2,Regensburg,Sandhausen,draw,home,3.4,"[2.8,3.5)",0.2796610169491525,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,D2,Regensburg,Sandhausen,away,home,3.3,"[2.8,3.5)",0.288135593220339,"[0.28,0.34)",market_non_favorite,False,-1.0
2021-07-31,2021-07,D2,Fortuna Dusseldorf,Werder Bremen,home,away,2.25,"[2.2,2.8)",0.4146341463414634,"[0.34,0.42)",market_favorite,False,-1.0
2021-07-31,2021-07,D2,Fortuna Dusseldorf,Werder Bremen,draw,away,3.4,"[2.8,3.5)",0.27439024390243905,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-07-31,2021-07,D2,Fortuna Dusseldorf,Werder Bremen,away,away,3.0,"[2.8,3.5)",0.31097560975609756,"[0.28,0.34)",market_non_favorite,True,2.0
2021-08-01,2021-08,SC0,Aberdeen,Dundee United,home,home,1.7,"[1.0,1.8)",0.5526315789473685,"[0.55,1.00]",market_favorite,True,0.7
2021-08-01,2021-08,SC0,Aberdeen,Dundee United,draw,home,3.5,"[3.5,4.0)",0.26842105263157895,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-08-01,2021-08,SC0,Aberdeen,Dundee United,away,home,5.25,"[5.0,7.0)",0.17894736842105263,"[0.00,0.20)",market_non_favorite,False,-1.0
2021-08-01,2021-08,B1,Antwerp,Kortrijk,home,away,1.7,"[1.0,1.8)",0.5327695560253699,"[0.42,0.55)",market_favorite,False,-1.0
2021-08-01,2021-08,B1,Antwerp,Kortrijk,draw,away,3.6,"[3.5,4.0)",0.25158562367864695,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-08-01,2021-08,B1,Antwerp,Kortrijk,away,away,4.2,"[4.0,5.0)",0.21564482029598306,"[0.20,0.28)",market_non_favorite,True,3.2
2021-08-01,2021-08,B1,Gent,Beerschot VA,home,draw,1.36,"[1.0,1.8)",0.6687079676631565,"[0.55,1.00]",market_favorite,False,-1.0
2021-08-01,2021-08,B1,Gent,Beerschot VA,draw,draw,4.33,"[4.0,5.0)",0.21003298753392446,"[0.20,0.28)",market_non_favorite,True,3.33
2021-08-01,2021-08,B1,Gent,Beerschot VA,away,draw,7.5,"[7.0,inf)",0.12125904480291906,"[0.00,0.20)",market_non_favorite,False,-1.0
2021-08-01,2021-08,B1,St. Gilloise,Club Brugge,home,away,4.33,"[4.0,5.0)",0.2160033035799371,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-08-01,2021-08,B1,St. Gilloise,Club Brugge,draw,away,4.0,"[4.0,5.0)",0.23382357612528193,"[0.20,0.28)",market_non_favorite,False,-1.0
2021-08-01,2021-08,B1,St. Gilloise,Club Brugge,away,away,1.7,"[1.0,1.8)",0.550173120294781,"[0.55,1.00]",market_favorite,True,0.7
2021-08-01,2021-08,B1,Waregem,Standard,home,away,2.9,"[2.8,3.5)",0.31472187369301546,"[0.28,0.34)",market_non_favorite,False,-1.0
