month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-12,2024-03-01..2024-11-30,FROZEN_MODEL_EVALUATED,3081,13,6,1.69,0.78,46.15,3100.0,531.0,0.0,0.0,extra_trees,5.0,0.0228,,,0.0,3.4111,0.7692,"{'draw': 9, 'away': 2, 'home': 2}"
2025-01,2024-04-01..2024-12-31,FROZEN_MODEL_EVALUATED,3164,3,3,0.38,0.56,147.37,3100.0,486.0,0.0,0.25,extra_trees,5.0,0.0225,,,0.0,2.9597,0.6667,{'draw': 3}
2025-02,2024-05-01..2025-01-31,FROZEN_MODEL_EVALUATED,3094,33,13,5.54,1.57,28.34,2800.0,514.0,0.0,0.0,extra_trees,5.0,0.0217,,,0.0,2.9041,0.8182,"{'away': 4, 'draw': 26, 'home': 3}"
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,3354,18,11,2.75,-1.23,-44.73,3100.0,495.0,0.0,0.0,extra_trees,5.0,0.0215,,,0.0,3.771,0.8333,"{'draw': 15, 'away': 3}"
2025-04,2024-07-01..2025-03-31,FROZEN_MODEL_EVALUATED,3844,1,1,0.18,-0.18,-100.0,3000.0,526.0,0.0,0.25,extra_trees,5.0,0.0204,,,0.0,-0.8005,0.0,{'draw': 1}
2025-05,2024-08-01..2025-04-30,FROZEN_MODEL_EVALUATED,4364,6,4,1.22,0.61,50.0,3100.0,347.0,0.0,0.25,extra_trees,5.0,0.0212,,,0.0,2.6991,0.5,"{'away': 3, 'draw': 1, 'home': 2}"
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,3372,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,3400,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2025-10,2025-01-01..2025-09-30,FROZEN_MODEL_EVALUATED,3346,27,11,4.69,-1.96,-41.79,3100.0,481.0,0.0,0.0,extra_trees,5.0,0.024,,,0.0,0.6456,0.4444,"{'away': 22, 'draw': 1, 'home': 4}"
2025-11,2025-02-01..2025-10-31,FROZEN_MODEL_EVALUATED,3341,10,7,1.63,0.95,58.28,3000.0,524.0,0.0,0.25,extra_trees,5.0,0.0228,,,0.0,6.1945,0.8,"{'away': 9, 'home': 1}"
2025-12,2025-03-01..2025-11-30,FROZEN_MODEL_EVALUATED,3351,7,6,0.92,0.03,3.26,3100.0,479.0,0.0,0.25,extra_trees,5.0,0.0218,,,0.0,11.6973,1.0,"{'away': 5, 'home': 2}"
2026-01,2025-04-01..2025-12-31,FROZEN_MODEL_EVALUATED,3335,34,17,5.52,1.22,22.1,3100.0,538.0,0.0,0.0,extra_trees,5.0,0.0215,,,0.0,2.9694,0.7059,"{'away': 32, 'draw': 1, 'home': 1}"
2026-02,2025-05-01..2026-01-31,FROZEN_MODEL_EVALUATED,3347,1,1,0.1,0.35,350.0,2800.0,526.0,0.0,0.25,extra_trees,5.0,0.0216,,,0.0,4.5603,1.0,{'home': 1}
2026-03,2025-06-01..2026-02-28,FROZEN_MODEL_EVALUATED,3526,6,5,0.99,-0.34,-34.34,3100.0,469.0,0.0,0.25,extra_trees,5.0,0.0209,,,0.0,7.6525,0.8333,{'away': 6}
2026-04,2025-07-01..2026-03-31,FROZEN_MODEL_EVALUATED,3988,6,5,0.94,-0.05,-5.32,3000.0,428.0,0.0,0.25,extra_trees,5.0,0.0208,,,0.0,-1.4726,0.5,"{'away': 5, 'home': 1}"
