month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2022-10,2022-04-01..2022-09-30,FROZEN_MODEL_EVALUATED,2078,7,7,1.74,0.23,13.22,3100.0,732.0,10.0,0.0,ridge,5.0,8.667,,,0.0,6.9583,1.0,"{'away': 2, 'home': 3, 'draw': 2}"
2022-11,2022-05-01..2022-10-31,FROZEN_MODEL_EVALUATED,2133,0,0,0.0,0.0,0.0,3000.0,340.0,100.0,0.25,ridge,5.0,8.3656,,,0.0,,,{}
2022-12,2022-06-01..2022-11-30,ABSTAIN_INNER_VALIDATION,2128,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2023-01,2022-07-01..2022-12-31,FROZEN_MODEL_EVALUATED,2387,4,4,0.55,0.5,90.91,3100.0,500.0,100.0,0.0,ridge,5.0,8.0984,,,0.0,1.8075,0.5,"{'away': 3, 'home': 1}"
2023-02,2022-08-01..2023-01-31,FROZEN_MODEL_EVALUATED,2823,8,6,0.98,0.06,6.12,2800.0,560.0,100.0,0.0,ridge,5.0,8.2846,,,0.0,3.3911,0.5,"{'draw': 3, 'home': 3, 'away': 2}"
2023-03,2022-09-01..2023-02-28,FROZEN_MODEL_EVALUATED,2814,7,5,1.27,-0.57,-44.88,3100.0,437.0,100.0,0.0,ridge,5.0,7.9358,,,0.0,-0.9952,0.4286,"{'away': 5, 'draw': 1, 'home': 1}"
2023-04,2022-10-01..2023-03-31,ABSTAIN_INNER_VALIDATION,2828,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2023-05,2022-11-01..2023-04-30,ABSTAIN_INNER_VALIDATION,2752,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2023-08,2023-02-01..2023-07-31,ABSTAIN_INNER_VALIDATION,2140,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2023-09,2023-03-01..2023-08-31,ABSTAIN_INNER_VALIDATION,1968,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2023-10,2023-04-01..2023-09-30,ABSTAIN_INNER_VALIDATION,2067,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2023-11,2023-05-01..2023-10-31,ABSTAIN_INNER_VALIDATION,1895,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2023-12,2023-06-01..2023-11-30,ABSTAIN_INNER_VALIDATION,1835,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-01,2023-07-01..2023-12-31,ABSTAIN_INNER_VALIDATION,2366,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2024-02,2023-08-01..2024-01-31,ABSTAIN_INNER_VALIDATION,2748,0,0,0.0,0.0,0.0,2900.0,,,,,,,,,,,,
2024-03,2023-09-01..2024-02-29,ABSTAIN_INNER_VALIDATION,2856,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
