test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2022-10,data\historical_csv\football-data\2223\I2.csv:64,data\historical_csv\football-data\2223\I2.csv,64,2022-10-01,I2,Cagliari,Venezia,away,0.2214615119084282,0.2098969703719949,4.9004,4.98,2.857911361092391,0.0095645415364333,5,0.0,PS,4.0-5.0,sportsbook,0.2040649742878132,1.085249992956062,0.0115645415364333,0.0431882788752394,1.5893168344378783,0.0490452012567669,0.3519725090561297,0.2,1.6243571953310054,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,4.550772984274645,4.550772984274645,True,4.352969607374457,4.352969607374457,4.451871295824551,0.1978033769001879,4.352969607374457,0.56,model_agreement_half_kelly,away,9.722368932822434,True,0.2239049239507436,4.466181369999651,True,2.18
2022-10,data\historical_csv\football-data\2223\I2.csv:72,data\historical_csv\football-data\2223\I2.csv,72,2022-10-07,I2,Genoa,Cagliari,home,0.5392195506503745,0.5291989829196576,1.8918,1.91,0.1138635887408145,0.0080205677307168,5,0.0,WH,1.5-2.0,sportsbook,0.528597103287874,1.0200955459203784,0.0100205677307169,0.0148744008280912,0.637528756796933,0.2907577238035918,0.3437679697667341,0.2,0.9620467279839228,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,2.9759648718728746,2.9759648718728746,True,1.8407071668406605,1.8407071668406605,2.4083360193567676,1.1352577050322141,1.8407071668406605,1.03,model_agreement_half_kelly,draw,4.215892161043455,True,0.5508821871288903,1.8152701673144305,False,-1.03
2022-10,data\historical_csv\football-data\2223\E3.csv:147,data\historical_csv\football-data\2223\E3.csv,147,2022-10-08,E3,Stevenage,Swindon,away,0.2223827970979826,0.2166092223593388,4.92,5.0,6.571737400794708,0.0037735747386437,5,0.0,B365,4.0-5.0,sportsbook,0.2032520325203252,1.0941233617220745,0.0057735747386437,0.0169688248726412,1.5933085305042167,0.0494541084451225,0.354324407653604,0.2,1.6260162601626105,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,8.080608410472589,8.080608410472589,True,8.486250092685443,8.486250092685443,8.283429251579015,0.40564168221285435,8.080608410472589,1.03,model_agreement_half_kelly,home,2.682718977590381,True,0.2087047133690861,4.791458630028825,False,-1.03
2022-10,data\historical_csv\football-data\2223\I2.csv:82,data\historical_csv\football-data\2223\I2.csv,82,2022-10-14,I2,Venezia,Frosinone,home,0.343865160521059,0.3411624678312342,2.96,3.0,0.9840904780453296,0.0007026926898248,5,0.0,WH,2.0-3.0,sportsbook,0.3378378378378378,1.017840875142335,0.0027026926898248,0.0020435123138384,1.085189268335969,0.1182432486201737,0.3731587819520786,0.2,1.3513513513513598,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,3.2489599148506896,3.2489599148506896,True,2.2363802505020347,2.2363802505020347,2.742670082676362,1.0125796643486549,2.2363802505020347,0.57,model_agreement_half_kelly,away,10.83706197221086,True,0.3744495336899016,2.6705868482350543,False,-0.57
2022-10,data\historical_csv\football-data\2223\B1.csv:113,data\historical_csv\football-data\2223\B1.csv,113,2022-10-18,B1,Seraing,Cercle Brugge,away,0.4912235605170387,0.4863664058601483,2.47,2.5,20.132502247456618,0.0028571546568904,5,0.0,IW,2.0-3.0,sportsbook,0.4048582995951417,1.2133221944770856,0.0048571546568904,0.0058164039483023,0.9042181506398858,0.2413005864070368,0.4441732594414568,0.2,1.2145748987854257,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,20.213663450609022,20.213663450609022,True,21.34596531533817,21.34596531533817,20.779814382973598,1.132301864729147,20.213663450609022,6.88,model_agreement_half_kelly,away,18.18359930360509,True,0.4784761105409113,2.089968502020952,True,10.11
2022-10,data\historical_csv\football-data\2223\B1.csv:116,data\historical_csv\football-data\2223\B1.csv,116,2022-10-19,B1,Mechelen,Standard,draw,0.2744976098153741,0.2654818008780744,3.8224,3.88,1.477763567635182,0.0070158089372996,5,0.0,PS,3.0-4.0,sportsbook,0.2616157388028464,1.049239663758286,0.0090158089372996,0.0255587250541761,1.340878497589408,0.0753489377943533,0.3680679426411224,0.2,1.506906655504392,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,3.68401837677631,3.68401837677631,True,4.01320372673053,4.01320372673053,3.84861105175342,0.32918534995421966,3.68401837677631,0.65,model_agreement_half_kelly,home,3.2245141291396218,True,0.2700515752645971,3.702996359196193,False,-0.65
2022-10,data\historical_csv\football-data\2223\SP1.csv:95,data\historical_csv\football-data\2223\SP1.csv,95,2022-10-19,SP1,Cadiz,Betis,home,0.261373581783174,0.2588471928183051,3.94,4.0,1.9857939704122085,0.0005263889648688,5,0.0,B365,3.0-4.0,sportsbook,0.2538071065989847,1.0298119122257057,0.0025263889648688,0.0020139333182707,1.3711807233098423,0.0683161492541655,0.3583904169235368,0.2,1.522842639593902,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,2.8621507933589325,2.8621507933589325,True,3.167534435485364,3.167534435485364,3.0148426144221485,0.30538364212643154,2.8621507933589325,0.49,model_agreement_half_kelly,draw,7.287956045724475,True,0.2723044569688438,3.6723600161800394,False,-0.49
2022-10,data\historical_csv\football-data\2223\T1.csv:92,data\historical_csv\football-data\2223\T1.csv,92,2022-10-21,T1,Antalyaspor,Istanbulspor,home,0.5424024404823852,0.5382719030360479,2.0780000000000003,2.1,11.852901450890773,0.0021305374463372,5,0.0,VC,2.0-3.0,sportsbook,0.4812319538017324,1.1271122713223964,0.0041305374463372,0.0039279643440439,0.7314058926770358,0.2942004074412473,0.3967163411712217,0.2,1.0587102983637964,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,11.538943708945297,11.538943708945297,True,12.238988541111762,12.238988541111762,11.88896612502853,0.7000448321664656,11.538943708945297,5.35,model_agreement_half_kelly,home,13.01538114565053,True,0.5438661267836887,1.838687777659168,True,5.77
2022-10,data\historical_csv\football-data\2223\P1.csv:100,data\historical_csv\football-data\2223\P1.csv,100,2022-10-31,P1,Guimaraes,Famalicao,draw,0.2945858409566534,0.288593973582527,3.548,3.6,2.3931418270805915,0.0039918673741263,5,0.0,B365,3.0-4.0,sportsbook,0.2818489289740699,1.0451905637142065,0.0059918673741263,0.0135507781404665,1.266384064447333,0.0867808176921387,0.3730588145993223,0.2,1.4656144306651742,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,5.3374020897940815,5.3374020897940815,True,5.3771499412134105,5.3771499412134105,5.357276015503746,0.03974785141932902,5.3374020897940815,1.05,model_agreement_half_kelly,home,7.381883213932028,True,0.3026546877506539,3.3040955269256003,False,-1.05
2022-11,data\historical_csv\football-data\2223\E1.csv:230,data\historical_csv\football-data\2223\E1.csv,230,2022-11-05,E1,Watford,Coventry,away,0.2473708030750493,0.2386624355793238,4.2634,4.33,1.7513427848889318,0.0067083674957254,5,0.0,B365,4.0-5.0,sportsbook,0.234554580850964,1.0546406818301652,0.0087083674957254,0.027118671291576,1.450066964016957,0.0611923142139948,0.3587042294014733,0.2,1.5621335084674337,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,3.433791219088393,3.433791219088393,True,3.5158434069755278,3.5158434069755278,3.47481731303196,0.08205218788713475,3.433791219088393,0.53,model_agreement_half_kelly,away,-10.179312709196164,False,0.2106785365924,4.746567999637765,True,1.73
