test_month,date,league,match,outcome,probability,conservative_probability,odds,raw_odds,execution_cost_rate,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,stake,actual_outcome,profit,won,source_file,source_row
2025-10,2025-10-18,D2,Paderborn v Bielefeld,away,0.23110652182038943,0.2179985245973972,4.72645,4.9,0.025,0.030359126583367813,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.008107997222992235,0.20592857749146723,4.856052579887488,-2.6688874915454797,False,0.2,home,-0.2,False,data\historical_csv\football-data\2526\D2.csv,77
2025-10,2025-10-19,D2,Darmstadt v Magdeburg,away,0.24051483502637558,0.22450827714627458,4.535349999999999,4.7,0.025,0.018223614755356277,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.011006557880101004,0.23452857712671654,4.263872711169423,6.366918227165375,True,0.13,draw,-0.13,False,data\historical_csv\football-data\2526\D2.csv,80
2025-10,2025-10-19,T1,Gaziantep v Antalyaspor,away,0.2405111522911209,0.2277342085992281,4.4398,4.6,0.025,0.011094339338852954,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB', 'PS']",0.007776943691892812,0.21572119070315834,4.635613203971431,-4.224105751611762,False,0.08,home,-0.08,False,data\historical_csv\football-data\2526\T1.csv,78
2025-10,2025-10-20,B1,Standard v Antwerp,away,0.2555302070719659,0.24074740038825782,4.2487,4.4,0.025,0.022863480029591043,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.009782806683708066,0.2448904683486052,4.083458236424642,4.046613287271894,True,0.18,home,-0.18,False,data\historical_csv\football-data\2526\B1.csv,89
2025-10,2025-10-24,B1,Charleroi v Anderlecht,home,0.3578313008516028,0.34467655487363785,3.0873999999999997,3.13,0.0,0.0641543955168693,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.008154745977964976,0.3482359631268029,2.8716161048417357,7.514371255769103,True,0.77,home,1.61,True,data\historical_csv\football-data\2526\B1.csv,90
2025-10,2025-10-24,SP2,Huesca v Las Palmas,home,0.3232277374997826,0.3143580124469385,3.2834,3.33,0.0,0.032163098068277884,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0038697250528441176,0.32702216950390917,3.05789666039154,7.374459134913525,True,0.35,draw,-0.35,False,data\historical_csv\football-data\2526\SP2.csv,111
2025-10,2025-10-25,F2,Annecy v St Etienne,home,0.27113676132105435,0.25471439556229947,4.0478000000000005,4.11,0.0,0.031032930357075994,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.01142236575875488,0.22891014742396912,4.3685263028024695,-7.341750525725765,False,0.25,home,0.76,True,data\historical_csv\football-data\2526\F2.csv,99
2025-10,2025-10-25,T1,Kocaelispor v Alanyaspor,away,0.32169394615266306,0.3070436026550287,3.340975,3.45,0.025,0.0258250003803846,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.009650343497634346,0.3041770840996449,3.2875586369695475,1.624803354981097,True,0.28,home,-0.28,False,data\historical_csv\football-data\2526\T1.csv,84
2025-10,2025-10-25,SC0,Livingston v Motherwell,away,0.4537152550627602,0.44330953247182975,2.2935999999999996,2.32,0.0,0.016774743677388626,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005405722590930451,0.42593103472406396,2.3477979261310273,-2.3084578756887075,False,0.32,away,0.41,True,data\historical_csv\football-data\2526\SC0.csv,53
2025-10,2025-10-26,SP2,Malaga v Andorra,away,0.3006769352956935,0.29112970211070516,3.6557999999999997,3.71,0.0,0.06431196497631575,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0045472331849883176,0.2581814048222809,3.8732456378427007,-5.614042025070553,False,0.61,home,-0.61,False,data\historical_csv\football-data\2526\SP2.csv,118
2025-10,2025-10-26,SP2,Almeria v Castellon,away,0.2682081161683699,0.257297829288861,4.087,4.15,0.0,0.051576228303575,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005910286879508872,0.26588444355266444,3.761032374208562,8.666972079973956,True,0.42,home,-0.42,False,data\historical_csv\football-data\2526\SP2.csv,119
2025-10,2025-10-26,B1,Cercle Brugge v Waregem,away,0.23695068698475075,0.2248776260830548,4.535349999999999,4.7,0.025,0.01989874145578252,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.007073060901695927,0.26911203922280735,3.715924426450742,22.051728708915917,True,0.14,draw,-0.14,False,data\historical_csv\football-data\2526\B1.csv,95
2025-10,2025-10-26,P1,Famalicao v Guimaraes,away,0.23500273536610783,0.22480558127878647,4.535349999999999,4.7,0.025,0.01957199305274404,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005197154087321366,0.20779981688489574,4.812323778677433,-5.755510049108825,False,0.14,home,-0.14,False,data\historical_csv\football-data\2526\P1.csv,79
2025-10,2025-10-27,T1,Samsunspor v Rizespor,away,0.24361228438114552,0.236091889228562,4.535349999999999,4.7,0.025,0.07075934981275855,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.002520395152583516,0.23117720999479804,4.3256859100536,4.846955934990715,True,0.5,draw,-0.5,False,data\historical_csv\football-data\2526\T1.csv,91
2025-10,2025-10-31,F2,Guingamp v Laval,away,0.2391304347826087,0.22223892862392947,4.72645,4.9,0.025,0.05040118419457129,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.011891506158679246,0.20296555870670746,4.926944287355846,-4.069343505068257,False,0.34,home,-0.34,False,data\historical_csv\football-data\2526\F2.csv,111
2025-10,2025-10-31,T1,Buyuksehyr v Kocaelispor,away,0.22111544769312239,0.21228341116845953,4.917549999999999,5.1,0.025,0.04391428859145807,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0038320365246628445,0.2600948095056724,3.8447518499141413,27.902923048461915,True,0.28,home,-0.28,False,data\historical_csv\football-data\2526\T1.csv,92
2025-11,2025-11-01,D2,Hertha v Dresden,away,0.26751539980115147,0.2552222065646775,3.962049999999999,4.1,0.025,0.011203143519580294,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.007293193236473988,0.2121156504253221,4.714409323380229,-15.958718723235277,False,0.09,home,-0.09,False,data\historical_csv\football-data\2526\D2.csv,94
2025-11,2025-11-02,B1,St Truiden v Antwerp,away,0.277940908734857,0.2668996094017852,3.962049999999999,4.1,0.025,0.057469597430342745,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB']",0.006041299333071819,0.28231985151007044,3.5420817723274047,11.856536767547432,True,0.49,home,-0.49,False,data\historical_csv\football-data\2526\B1.csv,104
2025-11,2025-11-02,T1,Konyaspor v Samsunspor,away,0.3231109129525245,0.3142889092478377,3.245425,3.35,0.025,0.020001083295663635,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB']",0.0038220037046867565,0.341777651860807,2.925878841274449,10.921373579035954,True,0.22,away,0.49,True,data\historical_csv\football-data\2526\T1.csv,95
2025-11,2025-11-05,SP2,Sociedad B v Huesca,away,0.37391681894744455,0.3617450956592896,2.8718000000000004,2.91,0.0,0.03885956571434801,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.00717172328815498,0.3810818148935345,2.624108422175372,9.439075601125246,True,0.52,home,-0.52,False,data\historical_csv\football-data\2526\SP2.csv,133
2025-11,2025-11-08,B1,Cercle Brugge v Oud-Heverlee Leuven,away,0.2777651820408236,0.2716541114915779,3.8665,4.0,0.025,0.05035062208218588,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.001111070549245704,0.27481120612172527,3.6388617993876804,6.255752846965068,True,0.44,away,1.26,True,data\historical_csv\football-data\2526\B1.csv,107
2025-11,2025-11-08,B1,Antwerp v RAAL La Louviere,away,0.2796610169491525,0.2716487044340094,3.8665,4.0,0.025,0.05032971569409739,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0030123125151431027,0.2580078327602541,3.8758513232007945,-0.24127146324777193,False,0.44,home,-0.44,False,data\historical_csv\football-data\2526\B1.csv,109
2025-11,2025-11-08,D2,Hannover v Darmstadt,away,0.2853043251844767,0.2717705301769943,3.818725,3.95,0.025,0.03781691785014263,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.00853379500748234,0.2814697538643365,3.5527796016121242,7.485558582558838,True,0.34,away,0.96,True,data\historical_csv\football-data\2526\D2.csv,104
2025-11,2025-11-08,D1,Hamburg v Dortmund,home,0.21630505645635517,0.20702196806384432,4.917549999999999,5.1,0.025,0.018040879052357406,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.0042830883925108545,0.2463737852531749,4.058873386112873,21.155540767175008,True,0.12,draw,-0.12,False,data\historical_csv\football-data\2526\D1.csv,84
2025-11,2025-11-08,B1,Charleroi v Westerlo,away,0.29270593663802896,0.2841555410548818,3.5798500000000004,3.7,0.025,0.01723421364531874,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0035503955831471716,0.2712853539470634,3.686155501764141,-2.883912567260505,False,0.17,home,-0.17,False,data\historical_csv\football-data\2526\B1.csv,108
2025-11,2025-11-08,F1,Le Havre v Nantes,away,0.22295001969525885,0.2138537690524949,4.72645,4.9,0.025,0.010769146738164537,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.00409625064276395,0.20491831414742329,4.879993299576803,-3.1463834097911203,False,0.07,draw,-0.07,False,data\historical_csv\football-data\2526\F1.csv,103
2025-11,2025-11-09,B1,St Truiden v Standard,away,0.27454526786235295,0.26509349079537836,3.8665,4.0,0.025,0.024983982160330376,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.004451777066974606,0.2660704641789057,3.758402884311129,2.8761449747738643,True,0.22,home,-0.22,False,data\historical_csv\football-data\2526\B1.csv,111
2025-11,2025-11-09,T1,Samsunspor v Eyupspor,away,0.2129125402400751,0.20661058573056953,4.917549999999999,5.1,0.025,0.016017885859362035,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0013019545095055694,0.21086946395385645,4.742270318564594,3.696113246628663,True,0.1,home,-0.1,False,data\historical_csv\football-data\2526\T1.csv,109
2025-11,2025-11-22,E1,Bristol City v Swansea,away,0.28614341124896564,0.2771450594625245,3.6754,3.8,0.025,0.018618951548562412,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.003998351786441127,0.2426667979937832,4.120876890729892,-10.81024506536492,False,0.17,home,-0.17,False,data\historical_csv\football-data\2526\E1.csv,182
2025-11,2025-11-23,B1,Antwerp v Dender,away,0.2419339362135399,0.22478978032090907,5.0131,5.2,0.025,0.12689364772674927,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.012144155892630825,0.27139140238540066,3.6847151059704846,36.051223929825206,True,0.79,away,3.17,True,data\historical_csv\football-data\2526\B1.csv,119
2025-11,2025-11-23,SP2,Cadiz v Cultural Leonesa,away,0.23096922862616753,0.21965999159710337,4.6358,4.71,0.0,0.01829978904585161,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.006309237029064173,0.25788049070372626,3.877765228657332,19.548237880433405,True,0.13,away,0.47,True,data\historical_csv\football-data\2526\SP2.csv,161
2025-11,2025-11-25,E2,Peterboro v Stevenage,home,0.3814568809691414,0.3735333921484713,3.45,3.5,0.0,0.288690202912226,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.002923488820670054,0.41831169045475847,2.390561925039369,44.31753320689167,True,2.95,away,-2.95,False,data\historical_csv\football-data\2526\E2.csv,195
2025-11,2025-11-25,E2,Luton v Huddersfield,away,0.29411808007103957,0.28001276045629053,3.7243999999999997,3.78,0.0,0.04287952504340842,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.009105319614749056,0.2995776349980648,3.338032894232775,11.57469437867924,True,0.39,home,-0.39,False,data\historical_csv\football-data\2526\E2.csv,194
2025-11,2025-11-29,T1,Rizespor v Kayserispor,away,0.25252646549265173,0.24334260553343923,4.34425,4.5,0.025,0.05714111408864331,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004183859959212505,0.24750267570460222,4.04036036036036,7.521349892971818,True,0.43,away,1.44,True,data\historical_csv\football-data\2526\T1.csv,120
2025-11,2025-11-29,B1,Charleroi v RAAL La Louviere,away,0.213769604361221,0.20609964280531004,5.10865,5.3,0.025,0.05289094021734719,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0026699615559109676,0.25584508523614724,3.908615242997501,30.702299469164362,True,0.32,draw,-0.32,False,data\historical_csv\football-data\2526\B1.csv,125
