label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_CLOSE_train42_n240_ev0p04_top3_ridge10,AVG_CLOSE,42,240,0.04,3,10.0,2044,870,870,824.9,9.48,195.0,26,15,6,4,6,4,0.6667
AVG_OPEN_train18_n120_evneg0p01_top3_ridge35,AVG_OPEN,18,120,-0.01,3,35.0,2063,908,908,835.4,9.2,221.4,22,19,6,4,6,4,0.6667
AVG_OPEN_train18_n240_evneg0p01_top3_ridge35,AVG_OPEN,18,240,-0.01,3,35.0,2063,908,908,835.4,9.2,221.4,22,19,6,4,6,4,0.6667
AVG_CLOSE_train42_n120_ev0p02_top3_ridge10,AVG_CLOSE,42,120,0.02,3,10.0,2044,896,896,800.5,8.93,201.9,24,17,6,4,6,4,0.6667
AVG_CLOSE_train42_n240_ev0p02_top3_ridge10,AVG_CLOSE,42,240,0.02,3,10.0,2044,896,896,800.5,8.93,201.9,24,17,6,4,6,4,0.6667
AVG_CLOSE_train42_n120_ev0p04_top3_ridge35,AVG_CLOSE,42,120,0.04,3,35.0,2044,876,876,781.1,8.92,185.0,25,16,6,4,6,4,0.6667
AVG_CLOSE_train42_n240_ev0p04_top3_ridge35,AVG_CLOSE,42,240,0.04,3,35.0,2044,876,876,781.1,8.92,185.0,25,16,6,4,6,4,0.6667
AVG_CLOSE_train42_n120_evneg0p01_top3_ridge35,AVG_CLOSE,42,120,-0.01,3,35.0,2044,928,928,821.9,8.86,181.8,26,15,6,4,6,4,0.6667
AVG_CLOSE_train42_n240_evneg0p01_top3_ridge35,AVG_CLOSE,42,240,-0.01,3,35.0,2044,928,928,821.9,8.86,181.8,26,15,6,4,6,4,0.6667
AVG_CLOSE_train42_n120_ev0p02_top3_ridge35,AVG_CLOSE,42,120,0.02,3,35.0,2044,899,899,755.3,8.4,201.9,25,16,6,4,6,4,0.6667
AVG_CLOSE_train42_n240_ev0p02_top3_ridge35,AVG_CLOSE,42,240,0.02,3,35.0,2044,899,899,755.3,8.4,201.9,25,16,6,4,6,4,0.6667
AVG_CLOSE_train42_n120_evneg0p01_top3_ridge10,AVG_CLOSE,42,120,-0.01,3,10.0,2044,926,926,772.3,8.34,181.8,24,17,6,4,6,4,0.6667
AVG_CLOSE_train42_n240_evneg0p01_top3_ridge10,AVG_CLOSE,42,240,-0.01,3,10.0,2044,926,926,772.3,8.34,181.8,24,17,6,4,6,4,0.6667
AVG_CLOSE_train18_n120_ev0p0_top3_ridge10,AVG_CLOSE,18,120,0.0,3,10.0,2044,889,889,735.0,8.27,216.1,25,16,6,4,6,4,0.6667
AVG_CLOSE_train18_n240_ev0p0_top3_ridge10,AVG_CLOSE,18,240,0.0,3,10.0,2044,889,889,735.0,8.27,216.1,25,16,6,4,6,4,0.6667
AVG_CLOSE_train30_n120_ev0p0_top3_ridge35,AVG_CLOSE,30,120,0.0,3,35.0,2044,921,921,758.3,8.23,181.8,25,16,6,4,6,4,0.6667
AVG_CLOSE_train30_n240_ev0p0_top3_ridge35,AVG_CLOSE,30,240,0.0,3,35.0,2044,921,921,758.3,8.23,181.8,25,16,6,4,6,4,0.6667
AVG_OPEN_train18_n120_ev0p02_top1_ridge35,AVG_OPEN,18,120,0.02,1,35.0,2063,416,416,543.2,13.06,145.3,27,14,6,3,6,3,0.5
AVG_OPEN_train18_n240_ev0p02_top1_ridge35,AVG_OPEN,18,240,0.02,1,35.0,2063,416,416,543.2,13.06,145.3,27,14,6,3,6,3,0.5
AVG_OPEN_train30_n120_ev0p02_top1_ridge35,AVG_OPEN,30,120,0.02,1,35.0,2063,422,422,541.6,12.83,131.6,23,18,6,3,6,3,0.5
AVG_OPEN_train30_n240_ev0p02_top1_ridge35,AVG_OPEN,30,240,0.02,1,35.0,2063,422,422,541.6,12.83,131.6,23,18,6,3,6,3,0.5
AVG_OPEN_train30_n120_ev0p04_top1_ridge35,AVG_OPEN,30,120,0.04,1,35.0,2063,416,416,529.0,12.72,131.6,24,17,6,3,6,3,0.5
AVG_OPEN_train30_n240_ev0p04_top1_ridge35,AVG_OPEN,30,240,0.04,1,35.0,2063,416,416,529.0,12.72,131.6,24,17,6,3,6,3,0.5
