label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_OPEN_train42_n120_evneg0p01_top1_ridge10_cap0.12,AVG_OPEN,42,120,-0.01,1,10.0,2063,443,443,450.9,10.18,182.5,27,14,6,3,6,3,0.5
AVG_OPEN_train30_n120_ev0p02_top1_ridge10_cap0.12,AVG_OPEN,30,120,0.02,1,10.0,2063,423,423,409.3,9.68,176.5,24,17,6,3,6,3,0.5
AVG_OPEN_train30_n120_evneg0p01_top1_ridge10_cap0.04,AVG_OPEN,30,120,-0.01,1,10.0,2063,440,440,279.0,6.34,236.7,20,21,6,3,6,3,0.5
AVG_OPEN_train30_n120_ev0p0_top1_ridge10_cap0.04,AVG_OPEN,30,120,0.0,1,10.0,2063,421,421,264.5,6.28,214.5,19,22,6,3,6,3,0.5
AVG_OPEN_train30_n120_ev0p02_top1_ridge10_cap0.04,AVG_OPEN,30,120,0.02,1,10.0,2063,371,371,223.3,6.02,248.5,21,20,6,3,6,3,0.5
AVG_CLOSE_train42_n120_ev0p0_top1_ridge10_cap0.08,AVG_CLOSE,42,120,0.0,1,10.0,2044,435,435,245.8,5.65,191.6,22,19,6,3,6,3,0.5
AVG_CLOSE_train42_n120_evneg0p01_top1_ridge10_cap0.08,AVG_CLOSE,42,120,-0.01,1,10.0,2044,438,438,244.9,5.59,191.6,22,19,6,3,6,3,0.5
AVG_CLOSE_train42_n120_ev0p02_top1_ridge10_cap0.08,AVG_CLOSE,42,120,0.02,1,10.0,2044,427,427,227.4,5.33,191.6,22,19,6,3,6,3,0.5
AVG_OPEN_train30_n120_ev0p0_top1_ridge10_cap0.12,AVG_OPEN,30,120,0.0,1,10.0,2063,435,435,412.8,9.49,167.1,24,17,6,2,6,2,0.3333
AVG_OPEN_train30_n120_evneg0p01_top1_ridge10_cap0.12,AVG_OPEN,30,120,-0.01,1,10.0,2063,443,443,386.3,8.72,167.1,23,18,6,2,6,2,0.3333
AVG_CLOSE_train30_n120_ev0p0_top1_ridge10_cap0.04,AVG_CLOSE,30,120,0.0,1,10.0,2044,425,425,283.0,6.66,213.4,25,16,6,2,6,2,0.3333
AVG_CLOSE_train30_n120_evneg0p01_top1_ridge10_cap0.04,AVG_CLOSE,30,120,-0.01,1,10.0,2044,434,434,285.9,6.59,218.6,25,16,6,2,6,2,0.3333
AVG_CLOSE_train30_n120_ev0p02_top1_ridge10_cap0.04,AVG_CLOSE,30,120,0.02,1,10.0,2044,374,374,209.8,5.61,236.0,22,19,6,2,6,2,0.3333
AVG_CLOSE_train42_n120_ev0p0_top1_ridge10_cap0.04,AVG_CLOSE,42,120,0.0,1,10.0,2044,425,425,220.2,5.18,215.4,25,16,6,2,6,2,0.3333
AVG_CLOSE_train42_n120_evneg0p01_top1_ridge10_cap0.04,AVG_CLOSE,42,120,-0.01,1,10.0,2044,435,435,213.1,4.9,220.6,25,16,6,2,6,2,0.3333
AVG_CLOSE_train42_n120_ev0p0_top1_ridge10_cap0.12,AVG_CLOSE,42,120,0.0,1,10.0,2044,435,435,129.2,2.97,183.1,22,19,6,2,6,2,0.3333
AVG_OPEN_train42_n120_evneg0p01_top1_ridge10_cap0.04,AVG_OPEN,42,120,-0.01,1,10.0,2063,440,440,120.6,2.74,272.9,19,22,6,2,6,2,0.3333
AVG_OPEN_train42_n120_ev0p0_top1_ridge10_cap0.04,AVG_OPEN,42,120,0.0,1,10.0,2063,424,424,101.8,2.4,250.7,18,23,6,2,6,2,0.3333
AVG_OPEN_train42_n120_ev0p02_top1_ridge10_cap0.04,AVG_OPEN,42,120,0.02,1,10.0,2063,377,377,75.9,2.01,262.7,19,22,6,2,6,2,0.3333
AVG_CLOSE_train42_n120_ev0p02_top1_ridge10_cap0.04,AVG_CLOSE,42,120,0.02,1,10.0,2044,379,379,165.1,4.36,213.4,23,18,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_evneg0p01_top1_ridge10_cap0.12,AVG_CLOSE,42,120,-0.01,1,10.0,2044,438,438,128.3,2.93,174.0,22,19,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_ev0p02_top1_ridge10_cap0.12,AVG_CLOSE,42,120,0.02,1,10.0,2044,427,427,110.8,2.59,178.8,22,19,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_ev0p02_top1_ridge10_cap0.12,AVG_CLOSE,30,120,0.02,1,10.0,2044,426,426,81.6,1.92,182.7,20,21,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_ev0p0_top1_ridge10_cap0.12,AVG_CLOSE,30,120,0.0,1,10.0,2044,434,434,75.4,1.74,183.1,21,20,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_evneg0p01_top1_ridge10_cap0.12,AVG_CLOSE,30,120,-0.01,1,10.0,2044,437,437,74.5,1.7,182.2,20,21,6,1,6,1,0.1667
